rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,web_impact,international_research,employer_reputation,overall_score
171,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",14.9,9.5,9,45.7,96.7,15.3,30.4,5.6,n/a
171,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",2.1,9.5,36.8,82.9,97.1,16.8,13.3,3.9,n/a
181,Pontifícia Universidade Católica de Campinas,"Campinas, Brazil",23,5.6,22.1,22,85.5,21.3,3.2,15.4,n/a
181,Universidade Federal do Maranhão,"São Luís, Brazil",6.2,18.4,21.1,39,78.3,32.9,41.5,6.5,n/a
191,Universidade Federal do Pampa,"Bagé, Brazil",2.8,10.6,32.8,55.2,94,19.8,27.9,3.9,n/a
191,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",2.9,11.9,31.8,76.5,87.7,19.9,19.3,2.4,n/a
201,Universidade Católica Dom Bosco,"Campo Grande, Brazil",n/a,95.2,60.4,6.1,35.3,9.8,7.7,1.5,n/a
201,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",5.7,3.4,23.6,79.9,73.5,19.4,6.1,5.2,n/a
201,Instituto Federal do Paraná,"Paranavaí, Brazil",4.8,65.2,9.1,30.8,37.8,n/a,12.1,5.5,n/a
201,Universidade do Estado da Bahia,"Salvador, Brazil",6.7,1.7,4.6,81,40.7,27,3.9,6.1,n/a
201,Universidade do Estado de Santa Catarina,"Florianópolis, Brazil",16.2,3.4,58.2,47.3,n/a,37.6,35.1,3.3,n/a
201,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",6.1,16.8,25,88.4,22.7,35.9,18.4,1.8,n/a
201,Universidade Federal de Roraima,"Boa Vista, Brazil",2.2,1.6,9.6,86.9,62.7,11.5,3,3,n/a
201,Universidade Federal de São João del-Rei,"São João del Rei, Brazil",7.9,18.1,51.6,21.7,84.1,26.4,25.4,4.4,n/a
201,Universidade Federal do Amazonas,"Manaus, Brazil",11.2,9.3,23.7,33.4,70.5,37.6,39.3,4.7,n/a
251,Pontifícia Universidade Católica de Minas Gerais,"Belo Horizonte, Brazil",19.7,12.1,5.3,22.7,12.4,25.8,17.2,17.5,n/a
251,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",5.2,70.9,28.7,10.3,12.6,26.2,20.8,3.4,n/a
251,Universidade de Passo Fundo,"Passo Fundo, Brazil",8,54.8,20.4,5.3,n/a,23.8,28.2,2.7,n/a
251,Universidade de Pernambuco,"Recife, Brazil",4.4,24.7,7.4,100,n/a,n/a,n/a,1.8,n/a
251,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",6.7,23.8,8.9,23.3,66.7,9.1,11.8,3,n/a
251,Universidade Estadual da Paraíba,"Campina Grande, Brazil",6.2,4.3,14.4,44.5,56.4,16.3,18,3,n/a
251,Universidade Estadual de Feira de Santana,"Feira de Santana, Brazil",3.9,8.5,11.1,99.6,n/a,16.8,28.2,2.3,n/a
251,Universidade Estadual de Goiás,"Goiânia, Brazil",3.5,2.8,6,80.6,18.1,17.5,22,2,n/a
251,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",3.8,4.1,8.2,84,29,13.5,11.5,2.3,n/a
251,Universidade Estadual do Centro-Oeste,"Guarapuava, Brazil",2.6,3.3,16.4,40.4,71.2,27.6,15.4,4,n/a
251,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Campos dos Goytacazes, Brazil",3.7,6.5,98.5,37,27.3,19.6,21.9,5.6,n/a
251,Universidade Federal de Mato Grosso,"Cuiabá, Brazil",6.2,9.6,34.9,26.4,27.2,33,36.9,2.6,n/a
251,Universidade Federal do Acre,"Rio Branco, Brazil",3.6,4.1,10.9,67.1,53.9,9.5,18.7,3,n/a
251,Universidade Nove de Julho,"São Paulo, Brazil",1.8,30,3.4,6.6,31.4,21.1,24.6,15.6,n/a
251,Universidade Paulista,"São Paulo, Brazil",9.2,9.6,48.1,1.1,n/a,49.7,20.4,26.3,n/a
251,Universidade Potiguar,"Natal, Brazil",1,99.7,8.7,1.9,42,7.2,n/a,2.4,n/a
301,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",5.5,21.5,9.8,9.2,44.4,60,2.1,3.9,n/a
301,Universidade do Vale do Paraíba,"São José, Brazil",2,44.3,19.2,17.8,n/a,14.5,9.9,2.5,n/a
301,Universidade do Vale do Itajaí,"Itajaí, Brazil",4.1,6.5,17.9,8.8,39.7,23,25.1,6.5,n/a
301,Universidade Estadual do Maranhão,"São Luís, Brazil",2.6,1.6,7.7,26.4,43,19.3,14.3,1.8,n/a
301,Universidade Luterana do Brasil,"Canoas, Brazil",12.9,45.9,3.4,4.9,n/a,18.4,16.3,9.5,n/a
301,Universidade Regional de Blumenau,"Blumenau, Brazil",2.2,12.7,13.3,39.4,n/a,21.4,18.2,3.2,n/a
