rank,university_name,location,academic_reputation,papers_per_faculty,citation_per_paper,faculty_student,staff_with_phd,web_impact,international_research,employer_reputation,overall_score
161-170,Universidade do Vale do Paraíba,"São José, Brazil",n/a,96.3,52.9,66.6,59.1,27.6,55.4,n/a,n/a
161-170,Universidade Federal de Alagoas,"Maceio, Brazil",n/a,41.4,56.6,n/a,93.6,36.6,80,n/a,n/a
161-170,Universidade Federal de Mato Grosso do Sul,"Campo Grande, Brazil",n/a,41.8,32,61.5,93.1,47.6,56.1,n/a,n/a
161-170,Universidade Federal do Rio Grande,"Rio Grande, Brazil",n/a,40.4,85.7,45.4,83,52.7,26,n/a,n/a
171-180,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",n/a,42.8,16.5,98.2,94.8,35.5,n/a,n/a,n/a
171-180,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",n/a,42.3,45,88,80.1,n/a,26.3,n/a,n/a
171-180,Universidade Federal Rural do Rio de Janeiro,"Rio de Janeiro, Brazil",n/a,72.8,22.7,39.6,100,39.9,26.4,n/a,n/a
181-190,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",n/a,50.8,75.5,n/a,71.6,42.8,27.6,n/a,n/a
181-190,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",21.7,n/a,n/a,48.9,96.1,31.9,n/a,n/a,n/a
191-200,Universidade Federal do Maranhão,"São Luís, Brazil",n/a,26.6,41,37,67.9,39.8,54.4,n/a,n/a
201-250,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",n/a,34.5,34.1,60.9,70.9,n/a,25.6,n/a,n/a
201-250,Universidade de Passo Fundo,"Passo Fundo, Brazil",n/a,31.4,33.4,n/a,61.2,46.7,25.5,n/a,n/a
201-250,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",n/a,26.1,54.2,32.4,70.3,n/a,n/a,n/a,n/a
201-250,Universidade do Estado da Bahia,"Salvador, Brazil",n/a,n/a,67.7,70.1,n/a,27.8,28.4,n/a,n/a
201-250,Universidade Estadual de Goiás,"Goiânia, Brazil",n/a,n/a,41.1,93.6,n/a,n/a,n/a,n/a,n/a
201-250,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",n/a,14.1,15.4,95.2,39.4,68.3,n/a,n/a,n/a
201-250,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",n/a,12.3,n/a,79,88.6,n/a,n/a,n/a,n/a
201-250,Universidade Federal do Acre,"Rio Branco, Brazil",n/a,15.9,58.7,51.3,46,n/a,n/a,n/a,n/a
201-250,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",n/a,27.8,21.8,54.4,93.4,32.6,n/a,n/a,n/a
201-250,Universidade Luterana do Brasil,"Canoas, Brazil",n/a,23.8,57.8,n/a,26.9,n/a,n/a,22.8,n/a
201-250,Universidade Paulista,"São Paulo, Brazil",n/a,24.3,n/a,n/a,n/a,29,29.6,53.8,n/a
201-250,Universidade Positivo,"Curitiba, Brazil",n/a,23.4,65.2,n/a,43.5,n/a,n/a,22.6,n/a
251-300,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",n/a,13.9,22.5,30.1,57.9,51.3,n/a,n/a,n/a
251-300,Universidade do Estado do Pará,"Belém, Brazil",n/a,n/a,63.9,59.4,32.1,n/a,n/a,n/a,n/a
251-300,Universidade Estadual da Paraíba,"Campina Grande, Brazil",n/a,19.1,18,54.2,67.3,28.5,n/a,n/a,n/a
251-300,Universidade Federal de Roraima,"Boa Vista, Brazil",n/a,n/a,n/a,58.8,54.6,n/a,n/a,n/a,n/a
251-300,Universidade Federal do Amazonas,"Manaus, Brazil",n/a,31.8,33.2,n/a,n/a,59.4,28.7,n/a,n/a
251-300,Universidade Regional de Blumenau,"Blumenau, Brazil",n/a,23.3,24.7,49.3,38.7,29.7,n/a,n/a,n/a
301-400,Instituto Federal do Paraná,"Paranavaí, Brazil",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
301-400,Senac São Paulo,"São Paulo, Brazil",n/a,n/a,n/a,48.9,n/a,28.7,n/a,n/a,n/a
301-400,Universidade de Taubaté,"Taubaté, Brazil",n/a,27,25.2,n/a,51.9,27.7,n/a,n/a,n/a
301-400,Universidade do Estado de Minas Gerais,"Belo Horizonte, Brazil",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
301-400,Universidade Estadual do Maranhão,"São Luís, Brazil",n/a,n/a,n/a,58.6,37.8,n/a,n/a,n/a,n/a
301-400,Universidade Ibirapuera,"São Paulo, Brazil",n/a,n/a,n/a,n/a,67.6,n/a,n/a,n/a,n/a
301-400,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,"Ijuí, Brazil",n/a,n/a,n/a,33.3,39.9,n/a,n/a,n/a,n/a
