rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
171,Universidade Estadual de Feira de Santana,"Feira de Santana, Brazil",4,7.1,14.9,94.7,85.8,22.2,14.4,1.9,n/a
171,Universidade Federal de Alagoas,"Maceio, Brazil",4.6,29.4,26.8,42.2,70.2,59.9,23.3,1.7,n/a
181,Universidade Federal do Amazonas,"Manaus, Brazil",11.1,11.2,25.3,31.6,66.2,37.8,63.1,5.5,n/a
181,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",13.8,7,16.4,30.3,95,30.5,11.1,7.1,n/a
181,Universidade Federal do Pampa,"Bagé, Brazil",3.5,15.4,30.9,51.7,91.7,30.7,20.8,3.2,n/a
191,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",2.1,9.5,38.1,65.7,96.1,10.9,9.2,3.9,n/a
201,Universidade Católica Dom Bosco,"Campo Grande, Brazil",n/a,97.8,63.6,6.4,34.3,6.6,9.8,1.5,n/a
201,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",4.2,3.7,23.1,75.9,69.3,12.4,17,5.5,n/a
201,Instituto Federal do Paraná,"Paranavaí, Brazil",4.4,67.8,13.4,29.5,34.5,8.7,40.9,5.6,n/a
201,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Campos dos Goytacazes, Brazil",3.4,15,98.4,35.1,26.4,30.1,20.3,7.7,n/a
201,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",6.4,20.2,22.4,85.3,21.8,15.3,27,1.7,n/a
201,Universidade Federal de Roraima,"Boa Vista, Brazil",2.3,2.3,9.2,83.4,58.4,5.7,26.7,3.3,n/a
201,Universidade Federal de São João del-Rei,"São João del Rei, Brazil",7.4,20,48.4,21,83.5,22.3,29.9,5.2,n/a
201,Universidade Federal do Maranhão,"São Luís, Brazil",6.3,13.7,21.5,35.4,74.3,24.1,35.3,7.3,n/a
201,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",2,8.1,33.4,72.5,84.5,11.3,19.4,3,n/a
201,Universidade Paulista,"São Paulo, Brazil",9.5,47.2,45,1.1,n/a,24.5,41.4,27.6,n/a
201,Universidade de Passo Fundo,"Passo Fundo, Brazil",7.4,88.5,18.1,5.6,n/a,38.6,21.5,3.1,n/a
