rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
161,Universidade do Vale do Paraíba,"São José, Brazil",94.6,52.5,n/a,68.6,85.5,22.6,n/a,n/a,n/a
161,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",51.6,n/a,n/a,97.7,99.5,20,34.6,n/a,n/a
161,Universidade Federal de Alfenas,"Alfenas, Brazil",73.2,43.6,n/a,100,74,n/a,33.5,n/a,n/a
161,Universidade Federal do Amazonas,"Manaus, Brazil",38.9,35.8,n/a,82.5,30.7,56.2,80.4,n/a,n/a
161,Universidade Federal do Maranhão,"São Luís, Brazil",31.4,48.4,n/a,89.3,42.6,35.7,71.8,n/a,n/a
161,Universidade Federal do Pampa,"Bagé, Brazil",48.9,48.6,n/a,99.3,63.3,19.4,n/a,n/a,n/a
171,Universidade Federal Rural do Rio de Janeiro,"Rio de Janeiro, Brazil",68.9,n/a,n/a,100,48.3,27.6,n/a,n/a,n/a
181,Pontifícia Universidade Católica de Campinas,"Campinas, Brazil",33.2,n/a,24.2,91.8,28.8,n/a,35.8,n/a,n/a
181,Universidade do Estado da Bahia,"Salvador, Brazil",n/a,93.1,n/a,33.7,87.3,n/a,41.3,n/a,n/a
181,Universidade Estadual de Feira de Santana,"Feira de Santana, Brazil",35.9,36.5,n/a,66.6,91.8,21.4,40.7,n/a,n/a
181,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Campos dos Goytacazes, Brazil",99.7,n/a,n/a,100,n/a,21.9,32.8,n/a,n/a
191,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",58.5,70.9,n/a,72.6,n/a,n/a,39.9,n/a,n/a
201,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",38.2,n/a,n/a,85.4,71,n/a,n/a,n/a,n/a
201,Pontifícia Universidade Católica de Minas Gerais,"Belo Horizonte, Brazil",16.8,29.2,n/a,71.4,n/a,n/a,58.4,n/a,n/a
201,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",19.9,37.8,n/a,78.7,n/a,n/a,n/a,n/a,n/a
