rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
2,Universidade de São Paulo,"São Paulo, Brazil",79.9,100,100,46.8,100,100,100,99.1,99.7
5,Universidade Estadual de Campinas,"Campinas, Brazil",87.5,100,99.9,39.1,100,99.5,99.9,81,95.7
9,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",71.4,96.8,99.3,38.2,100,99.7,100,61.3,89.2
12,UNESP,"Sao Paulo, Brazil",44.4,100,88.5,51.4,100,99.1,98.6,54.3,82.8
15,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",66.3,94.9,88.2,38.1,100,98.9,95.4,29.5,77.8
17,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",59.2,99.2,86.4,25.9,100,81.7,75.7,47.6,76.4
19,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",83.1,99.5,85.5,24.5,100,99.7,98.5,16.6,75
23,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",60.6,93.7,68.8,46.4,100,98.5,99,20.9,70.1
26,Universidade Federal de São Paulo,"São Paulo, Brazil",88.1,87.2,51.5,100,100,85.3,40.7,16.8,67.4
29,Universidade de Brasília,"Brasília, Brazil",25,68.5,77.9,33.4,100,98.7,90,25.9,67
32,Universidade Federal de São Carlos,"São Paulo, Brazil",77.7,99.8,55.7,46.5,100,90.4,66,21.1,65.4
35,Universidade Federal do Paraná,"Curitiba, Brazil",40.8,75.9,52.3,67.1,99.7,94.6,90.4,29.4,64.8
46,Universidade Federal de Pernambuco,"Recife, Brazil",44.8,61.5,53.2,54.6,99.8,98.1,70.8,9.3,58.4
54,Universidade Federal do Ceará,"Fortaleza, Brazil",70.5,65.7,29.6,38.6,98.4,89.7,77.5,10.8,51.6
55,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",65.7,89.4,30.9,27.3,100,77.1,66.3,18.4,51.5
59,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",1.1,13.3,50,68,99.7,n/a,73.7,54.1,50.7
60,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",30.3,58.6,35.3,36.5,100,97,94.1,11.8,50.6
61,Universidade do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",21.9,57.3,36.6,45.2,100,88.4,66.9,20.9,50.6
72,Universidade Federal da Bahia,"Salvador, Brazil",32.8,50.4,32.8,29.8,100,91.6,90.2,8.5,47.4
73,Universidade Federal de Pelotas,"Pelotas, Brazil",73,76.4,14.7,66.9,100,75.1,59.4,3.2,46.7
81,Universidade Federal do Rio Grande do Norte,"Rio Grande do Norte, Brazil",62.1,68.7,19.2,23.9,99.8,90.8,71.3,6.6,45
88,Universidade Federal de Viçosa,"Viçosa, Brazil",32.7,98,25.1,41.1,100,72.7,50.1,6.3,44
96,Universidade Estadual de Londrina,"Londrina, Brazil",48.3,59.9,17.2,46.6,99.9,55.5,39.4,16.2,41.4
96,Universidade Estadual de Maringá,"Maringá, Brazil",48,62.3,13.7,61.3,99.3,62.3,63.3,4.7,41.4
99,Universidade Federal de Santa Maria,"Santa Maria, Brazil",27.8,81.5,21.4,35.4,100,78.6,49.3,4.5,41
100,Universidade Federal de Juiz de Fora,"Juiz de For a, Brazil",22,50.5,16.5,72.6,99.1,71.1,33.3,9.2,40.4
104,Universidade Federal de Goiás,"Goiânia, Brazil",32.7,61.1,16.7,36.3,100,74,58.3,4.1,38.9
