rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
93,Universidade Federal de Santa Maria,"Santa Maria, Brazil",31.1,83.6,21.7,34.3,100,85.9,51,4.7,42
96,Universidade Estadual de Maringá,"Maringá, Brazil",52.6,59.9,13,61.8,99.5,59,76.5,4.2,41.5
97,Universidade Federal do Rio Grande do Norte,"Rio Grande do Norte, Brazil",63.2,70.1,20.1,19.9,74.6,87.6,68.2,6.5,41.4
=101,Universidade Federal da Paraíba,"João Pessoa, Brazil",27.7,50,17.6,37.5,100,87.6,56.9,10.5,40.6
=101,Universidade Federal de Juiz de Fora,"Juiz de For a, Brazil",23.8,51,17.5,73.7,99.3,70.2,30.8,9.5,40.6
104,Universidade Estadual de Londrina,"Londrina, Brazil",47,61.8,15.8,42.9,100,54.2,48.6,14.6,40.2
=106,Universidade Federal do ABC,"Santo André, Brazil",75.3,93,11.8,22,100,72.3,17.8,3.6,39.3
111,Universidade Federal do Espírito Santo,"Vitória, Brazil",31.1,56.9,10.3,53.1,100,82.4,45.2,4.1,38.1
112,Universidade Federal de Ouro Preto,"Ouro Preto, Brazil",49.6,58.6,14.6,39.4,100,59.3,26.3,9.5,37.8
114,Universidade Federal de Uberlândia,"Uberlândia, Brazil",20.5,54.8,15.3,30.5,100,88,42,7.4,37.2
115,Universidade Federal de Lavras,"Lavras, Brazil",31.1,97.8,13.8,20.8,100,68.1,39.6,7,36.8
=117,Pontifícia Universidade Católica do Paraná,"Curitiba, Brazil",61.6,50.7,17.6,18.3,93.1,46.2,38.8,11.4,36.3
119,Universidade Federal do Rio Grande,"Rio Grande, Brazil",51.4,63.2,5.7,49,99.8,71.9,29.9,1.1,36.1
123,Universidade Federal de Goiás,"Goiânia, Brazil",36.7,65.2,16.8,26.1,76.3,71.8,60.1,4.1,35.5
124,Universidade Tecnológica Federal do Paraná,"Curitiba, Brazil",29.3,46,8.8,45.7,99.6,70,38.7,7.5,35.1
=125,Universidade Federal de Campina Grande,"Campina Grande, Brazil",4.9,51.4,12.9,82.3,97.5,45.3,51.2,2.8,34.8
127,Universidade Federal do Pará,"Belém, Brazil",14.3,35.1,14.6,22.5,98.8,86.9,55,6.4,34.6
128,Universidade do Vale do Rio dos Sinos,"São Leopoldo, Brazil",29.7,59.2,12.9,31.5,97.1,41.7,56.4,13.1,34.5
=131,Universidade Estadual de Ponta Grossa,"Ponta Grossa, Brazil",68,23.9,9.2,98.2,18.3,57.6,33.3,4,32.7
=136,Universidade Federal de Ciências da Saúde de Porto Alegre,,49.2,64.2,12,49,100,15,10.8,7.9,32.3
139,Universidade Federal de Itajubá,"Itajubá, Brazil",33.9,77.1,6.7,36.3,100,28.9,55.6,7.8,32.2
=140,Universidade Federal de Alagoas,"Maceio, Brazil",59,25.4,4.7,47.9,87.2,56.1,37.7,1.7,32
145,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",31.3,40,3.1,86.2,100,31.3,11.4,3.8,31.1
146,Universidade Federal Rural do Rio de Janeiro,"Rio de Janeiro, Brazil",13.1,48.4,7.5,60.2,100,48.2,19.6,5.3,30.8
150,Universidade Federal de Sergipe,"São Christovão, Brazil",20.3,38.7,8.1,44.9,98.6,52.2,30.8,3.7,30.2
151-160,Universidade Federal de Alfenas,"Alfenas, Brazil",34.7,56.7,3.1,71.1,100,16.5,10.7,3.2,n/a
161-170,Universidade Federal do Amazonas,"Manaus, Brazil",8.8,24.1,11.4,36.4,86.3,48.2,42.2,4.6,n/a
161-170,Universidade Federal do Maranhão,"São Luís, Brazil",19.9,21.1,6.3,42.3,92.3,49.7,32.3,6.6,n/a
161-170,Universidade Federal de Mato Grosso do Sul,"Campo Grande, Brazil",9.6,36,6.6,56.5,99,38.1,25.7,1.9,n/a
161-170,Universidade Presbiteriana Mackenzie,"São Paulo, Brazil",47.6,14,16.5,16.9,23.5,25.4,29.5,38.2,n/a
171-180,Pontifícia Universidade Católica de Campinas,"Campinas, Brazil",3.3,21.2,23.8,23.8,96.2,4,20.1,15.8,n/a
171-180,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",14.5,26.5,4.5,96.8,65.7,24.6,36.3,2.1,n/a
181-190,Universidade de Fortaleza,"Fortaleza, Brazil",77.6,26.6,3.8,12.8,67.1,44.6,19.3,4.9,n/a
181-190,Universidade Federal do Pampa,"Bagé, Brazil",18.9,34.4,3.7,59.3,99.5,24.8,14,4.1,n/a
191-200,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",4,23.8,6,83.5,88.8,8.1,15.2,5.1,n/a
191-200,Universidade Federal de Mato Grosso,"Cuiabá, Brazil",13.9,36.4,5.9,38.6,76.2,38.8,51,2.8,n/a
191-200,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",12.3,29.2,2.4,80.3,97.4,9.2,16.9,2.2,n/a
201-250,Universidade Católica Dom Bosco,"Campo Grande, Brazil",97.8,59.6,n/a,6.5,44.9,4.5,11,n/a,n/a
201-250,Instituto Federal do Paraná,"Paranavaí, Brazil",74.6,5.9,4,60,48.9,4.7,n/a,5.3,n/a
201-250,Pontifícia Universidade Católica de Minas Gerais,"Belo Horizonte, Brazil",12.4,6.5,18,13.4,34.1,27.8,28.1,18.3,n/a
201-250,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",20.1,9.7,7.8,18.3,85.1,19.8,7.2,2.1,n/a
201-250,Universidade do Estado da Bahia,"Salvador, Brazil",3.2,4.4,7.3,85.1,52.4,2.6,43.4,6.3,n/a
201-250,Universidade do Estado de Santa Catarina,"Florianópolis, Brazil",4,57.5,17,63,15.2,32.4,31.9,4.8,n/a
201-250,Universidade Estadual da Paraíba,"Campina Grande, Brazil",12.2,15.3,5.7,48.2,72.3,16.4,20.2,2.9,n/a
201-250,Universidade Estadual de Feira de Santana,"Feira de Santana, Brazil",11.6,11,3.3,94.6,12.6,40.8,17.8,2.8,n/a
201-250,Universidade Estadual do Centro-Oeste,"Guarapuava, Brazil",4.2,17.6,3,43.6,86.5,9.1,27,4.1,n/a
201-250,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Campos dos Goytacazes, Brazil",6.5,98.6,3.7,27.2,76.3,29.7,13.7,5.6,n/a
201-250,Universidade Federal de Roraima,"Boa Vista, Brazil",2.2,9.8,2.3,89.7,79,4,12.7,3.2,n/a
201-250,Universidade Federal de São João del-Rei,"São João del Rei, Brazil",14.5,54.5,7.8,31.5,72.9,27.6,18.5,5.2,n/a
201-250,Universidade Federal do Acre,"Rio Branco, Brazil",4.9,10.2,3.7,70.9,68.8,24,10.1,3.2,n/a
201-250,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",n/a,1.2,15.3,40.2,100,n/a,18.8,6.4,n/a
251-300,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",56.9,29.9,5.1,11.3,34.9,12.7,22.9,3.6,n/a
251-300,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",40.3,10.6,6.1,9.8,57,n/a,54.9,3.6,n/a
251-300,Universidade do Vale do Itajaí,"Itajaí, Brazil",12,13.4,5.1,12.7,58.3,30.6,20.4,6.1,n/a
251-300,Universidade Estadual de Goiás,"Goiânia, Brazil",4.7,5.7,2.3,83.8,21.1,16.8,15.4,2.4,n/a
251-300,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",5.2,8.4,3.1,87,36.2,18.7,17.6,1.7,n/a
251-300,Universidade Luterana do Brasil,"Canoas, Brazil",46.3,6.5,13.8,10.4,n/a,30.5,18,9.4,n/a
251-300,Universidade Nove de Julho,"São Paulo, Brazil",34.8,3.7,1.3,7,39.5,18.8,17.2,13.2,n/a
251-300,Universidade Paulista,"São Paulo, Brazil",6.5,35.4,5.2,1,n/a,21.2,50.9,28.1,n/a
251-300,Universidade Potiguar,"Natal, Brazil",100,10,1,1.9,54,n/a,6.8,2.5,n/a
301-350,Universidade de Passo Fundo,"Passo Fundo, Brazil",39.1,16.3,8,4,11.2,26.5,20.7,2.7,n/a
301-350,Universidade do Vale do Paraíba,"São José, Brazil",43.7,26,2,29.9,13,16.7,11.3,2.8,n/a
301-350,Universidade Estadual do Maranhão,"São Luís, Brazil",2.1,6.9,3.1,28.5,55.2,8.3,24.6,1.9,n/a
301-350,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",11,14.1,8.3,41.7,20.6,n/a,9.3,4.2,n/a
301-350,Universidade Regional de Blumenau,"Blumenau, Brazil",20.7,22.8,2.1,26.2,9.5,18.3,19.7,3.4,n/a
301-350,Universidade Salvador,"Salvador, Brazil",39.8,7,1.7,2.3,27.8,14.4,17.5,3.4,n/a
351-400,Universidade Anhembi Morumbi,"São Paulo, Brazil",1.1,2.9,7.7,8.1,n/a,n/a,13.1,15.8,n/a
351-400,Universidade de Taubaté,"Taubaté, Brazil",3,6.7,2.8,9.3,12,8.3,30.6,1.9,n/a
351-400,Universidade do Estado do Pará,"Belém, Brazil",27.3,3.2,5.6,31.9,n/a,4,1.4,1.7,n/a
351-400,Universidade Positivo,"Curitiba, Brazil",20.2,18.5,3.2,6.2,n/a,10.6,12.5,6.3,n/a
351-400,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,"Ijuí, Brazil",1.4,4.3,5,20.2,9.9,4.9,14.5,3.3,n/a
351-400,Universidade Veiga de Almeida,"Rio de Janeiro, Brazil",8.9,8.2,n/a,9,11.3,3.8,8.1,5.1,n/a
351-400,Universidade Vila Velha,"Vila Velha, Brazil",18.6,33.4,n/a,11.7,19.5,3,7.4,n/a,n/a
401+,Centro Universitário Ritter dos Reis,"Porto Alegre, Brazil",n/a,n/a,3.3,2.9,n/a,n/a,6.6,4.6,n/a
