rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
2,Universidade de São Paulo,"São Paulo, Brazil",81.8,100,100,46.3,100,100,100,98.3,98.8
7,Universidade Estadual de Campinas,"Campinas, Brazil",87.9,100,99.9,33.9,100,99.9,99.6,78.6,93.9
9,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",71.9,96.1,99.2,50.9,100,99.8,100,66.5,91
12,UNESP,"Sao Paulo, Brazil",47,100,89.5,39.9,100,99.2,98.7,61,82.9
16,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",63.9,94.5,87.8,37.1,100,99.1,96.2,32.3,77.3
17,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",56.7,98.6,86.4,30.5,100,79.6,79.6,49.3,76.3
19,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",83.6,97.5,85,33.3,100,99.8,98.3,17.3,75.3
23,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",54.3,87.8,68.7,58.7,100,97.8,99.4,22,70
=28,Universidade de Brasília,"Brasília, Brazil",21,71.1,78,34.2,100,98.9,85.5,27.6,66.4
=28,Universidade Federal de São Paulo,"São Paulo, Brazil",84.9,85.6,51,100,100,82.1,41.1,18.9,66.4
32,Universidade Federal do Paraná,"Curitiba, Brazil",37.2,76.1,52.8,70.7,99.8,94.8,90.3,29.4,64.4
33,Universidade Federal de São Carlos,"São Paulo, Brazil",71,99.8,55.7,47.3,100,95.2,55.1,21.8,64.3
49,Universidade Federal de Pernambuco,"Recife, Brazil",35,59.2,53.3,54.6,99.9,87.5,73.5,10,55.9
57,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",76.4,89.8,32,17.8,100,74.9,61.6,18.4,51.1
=58,Universidade Federal do Ceará,"Fortaleza, Brazil",63.2,73.9,30.9,28.9,100,88.7,81.7,11.9,50.8
=61,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",38.3,54.9,36.5,25.8,100,97.1,92.2,11.2,49.9
64,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",1.1,14.3,50.3,55.9,99.9,n/a,84.5,51.9,49.3
68,Universidade do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",28.3,54.2,38,44.6,76.3,89.5,69.7,20.1,48.6
70,Universidade Federal da Bahia,"Salvador, Brazil",32,51,34.5,28.4,100,95.5,95.1,10.2,48.4
72,Universidade Federal de Pelotas,"Pelotas, Brazil",72.8,77,16.5,67.7,100,73.6,62.7,3.5,47.1
92,Universidade Federal de Viçosa,"Viçosa, Brazil",33,97.7,23.3,40.3,100,68.7,45.1,7.2,42.5
