rank,university_name,location,citation_per_paper,papers_per_faculty,academic_reputation,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
171,Universidade Federal do Amazonas,"Manaus, Brazil",27.9,36.3,14.6,30.5,70.3,48.4,63.6,9.5,n/a
181,Universidade Federal de Alagoas,"Maceio, Brazil",45.7,38.9,6.1,39.8,70.3,64.6,41.4,3.3,n/a
191,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",20.6,34.3,17.2,22.2,96.3,27,16.8,13.8,n/a
201,Fundação Universidade Federal do Vale do São Francisco,"Petrolina, Brazil",10.3,32.1,3.6,71.2,73.3,19.5,26.3,8,n/a
201,Instituto Federal do Paraná,"Paranavaí, Brazil",84,25.3,4.4,28.5,37.7,14.7,37.3,13.6,n/a
201,Universidade de Fortaleza,"Fortaleza, Brazil",100,34.4,3,20.5,42.4,31,34.5,8.8,n/a
201,Universidade Estadual de Feira de Santana,"Feira de Santana, Brazil",29.7,26.8,7.7,80.9,85.5,16.2,18.3,2.6,n/a
201,Universidade Estadual de Ponta Grossa,"Ponta Grossa, Brazil",92.7,11.9,5,64.9,n/a,50.1,37.8,4.3,n/a
201,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Campos dos Goytacazes, Brazil",54.6,99.1,5.1,33.5,26.9,35.7,31.2,8.8,n/a
201,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",45,29.2,10.3,80.7,22.4,17.8,34.4,1.9,n/a
201,Universidade Federal de São João del-Rei,"São João del Rei, Brazil",39,57.4,8.5,20.9,83.3,26.6,42,9,n/a
201,Universidade Federal do Maranhão,"São Luís, Brazil",23.2,31.1,7.3,35.4,78,33,48.8,13.9,n/a
201,Universidade Federal do Pampa,"Bagé, Brazil",33.4,38.9,4.1,48.1,91.4,30,31.2,4.3,n/a
201,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",20.6,49.3,2.2,51.6,97.2,12.8,10.7,1.9,n/a
201,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",26.2,44.8,1.9,67.8,87.4,21.5,28.6,4.5,n/a
201,Universidade de Passo Fundo,"Passo Fundo, Brazil",99,24,8.4,6.2,n/a,48.5,32.5,5.7,n/a
201,Universidade de Pernambuco,"Recife, Brazil",28,13.5,8.6,100,n/a,37.3,29.3,3.8,n/a
201,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",72.7,19.7,6.5,12.8,61.8,10.9,72.9,7.8,n/a
251,Universidade Católica Dom Bosco,"Campo Grande, Brazil",99.7,85.1,2.8,7.1,34.9,9,10.8,2.6,n/a
251,Universidade Federal do Piauí,"Teresina, Brazil",69.8,38.7,n/a,25.6,n/a,59.6,47.8,n/a,n/a
251,Universidade Federal de Mato Grosso,"Cuiabá, Brazil",21.5,40.1,7.9,24.8,26.9,37.2,34.4,4.4,n/a
251,Universidade Federal de Roraima,"Boa Vista, Brazil",10.9,14.3,2.7,78.7,62.5,8.8,36.3,5.3,n/a
251,Universidade Federal do Acre,"Rio Branco, Brazil",10.1,19.1,5.5,59.1,53.2,26.8,42.7,3.8,n/a
251,Universidade Nove de Julho,"São Paulo, Brazil",41.6,4.5,2.6,7.6,31,20.3,22,33.1,n/a
251,Universidade Vila Velha,"Vila Velha, Brazil",87.1,51.9,n/a,10.9,51.1,4.2,12.8,2.2,n/a
251,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",94.8,33.3,4.7,11,12.5,20.8,35.3,4.8,n/a
251,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",54,11,8.1,28.9,67,18.4,13.3,5.5,n/a
251,Universidade do Estado da Bahia,"Salvador, Brazil",10.4,7.2,8.3,66.5,39.5,14.2,25.3,11.1,n/a
251,Universidade do Estado de Santa Catarina,"Florianópolis, Brazil",28.8,29.7,21.4,24.6,n/a,28.4,30.3,6.4,n/a
301,Universidade Federal Rural de Pernambuco,"Recife, Brazil",26.6,67.6,n/a,33.4,n/a,50.6,32.1,n/a,n/a
301,Universidade Estadual da Paraíba,"Campina Grande, Brazil",12.3,18.2,6.8,39.2,52.6,14.3,24.9,n/a,n/a
301,Universidade Estadual de Goiás,"Goiânia, Brazil",12.5,8.3,7.1,72.1,17.9,9.8,23.1,3.2,n/a
301,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",6.8,11.7,4,75.7,28.7,8.1,29.6,1,n/a
