rank,overall_score,name,location,academic_reputation,citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_student_ratio,international_research_network,international_faculty_ratio,sustainability_score
1001-1200,null,Pontifícia Universidade Católica de São Paulo,Brazil,10.1,1.2,37.6,14.8,34.1,1.2,1.8,3.8,1
1001-1200,null,Universidade Federal de Pernambuco,Brazil,11.6,4.1,15.5,2.4,3.7,1.2,55.1,1.5,1.2
1001-1200,null,Universidade Federal de São Carlos,Brazil,11.8,17.8,15.5,6.4,1.8,1.6,45.5,2.6,2.7
1001-1200,null,Universidade Federal do Paraná,Brazil,13,5.2,20.1,5.8,9.6,6,52.6,2.9,2
1001-1200,null,Universidade Federal Fluminense,Brazil,9.6,3.6,12.8,2.5,10.9,1.2,52.2,6.3,13.1
1201-1400,null,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,6.3,9.4,12.3,3.9,9.2,1.7,30.5,2.6,1.1
1201-1400,null,Universidade do Estado do Rio de Janeiro,Brazil,9.5,2.5,17.4,5.1,18.2,1.2,35.7,3.5,1.3
1201-1400,null,Universidade Federal da Bahia,Brazil,9,3.1,8.5,2.7,12.4,1.4,48.8,5.1,2.5
1201-1400,null,Universidade Federal de Juiz de Fora,Brazil,3.8,2.8,30.3,2,1.3,null,35.2,null,1
1201-1400,null,Universidade Federal de Pelotas,Brazil,4.7,4.7,26,1.3,1.3,1.3,21.7,null,1.3
1201-1400,null,Universidade Federal de Santa Maria,Brazil,6.4,5.2,17.5,1.5,6.3,1.4,37.9,2.5,11.5
1201-1400,null,Universidade Federal de Viçosa,Brazil,5.1,7.8,10.9,2.4,3.8,1.9,20.2,2.4,1.3
1201-1400,null,Universidade Federal do Ceará,Brazil,7.4,5.3,6.3,2.8,3.7,1.2,43.4,1.3,2
1201-1400,null,Universidade Federal do Rio Grande do Norte,Brazil,5.2,3.4,9.5,1.2,1.3,null,45,null,1.4
1201-1400,null,Universidade Presbiteriana Mackenzie,Brazil,3.5,2.1,12.3,8.7,48.3,1.1,12.5,2.4,1
1401,null,Pontifícia Universidade Católica de Minas Gerais,Brazil,4.9,1.5,1.9,4.6,9.4,1.1,8.3,1.9,1
1401,null,Pontifícia Universidade Católica de Campinas,Brazil,4.2,2,7,3.8,1.9,1.2,2.3,1.8,1
1401,null,Pontifícia Universidade Católica do Paraná,Brazil,4.1,3.9,7.6,2.9,3.9,1.3,28.9,1.8,1.4
1401,null,Universidade do Estado de Santa Catarina,Brazil,3.7,1.7,15.4,1.3,2.2,null,9,null,1
1401,null,Universidade Estadual de Londrina,Brazil,3.9,3.3,13.7,2.5,1.3,1.3,13.4,2.1,2.8
1401,null,Universidade Federal da Paraíba,Brazil,4.1,3.1,7.3,2.5,1.3,1.1,40.8,2.5,1.1
1401,null,Universidade Federal de Goiás,Brazil,3.8,4.2,6.8,1.3,1.3,1.2,32.7,3.5,1.3
1401,null,Universidade Federal de Uberlândia,Brazil,3.8,3.5,13.8,1.7,2.2,1.3,28.6,2.1,3.2
1401,null,Universidade Federal do Estado do Rio de Janeiro,Brazil,2.9,2.1,8.1,2,1.5,null,8.6,null,1
1401,null,Universidade Federal do Pará,Brazil,3.6,2.6,6.3,1.7,1.3,1.1,35.4,2.5,1.9
232,42.9,Universidade Estadual de Campinas,Brazil,71.8,24.3,14.7,40.3,25.1,2.7,85.4,10.7,65.9
304,35.8,Universidade Federal do Rio de Janeiro,Brazil,61.9,7.8,13.7,23.3,81.4,1.5,79.7,7.6,59.6
489,24.5,UNESP,Brazil,41.1,16.2,13,25.8,1.5,2.7,70.9,5.9,14.5
611-620,null,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,32.4,7.5,10.8,16.2,68,1.6,44.5,12.6,5.4
671-680,null,Universidade Federal de Minas Gerais,Brazil,32.4,7,13.8,8.9,39.7,1.5,64,8,6.7
691-700,null,Universidade Federal de São Paulo,Brazil,10.5,6,95.6,5.1,2.9,1.5,54,4.7,30.1
691-700,null,Universidade Federal do Rio Grande do Sul,Brazil,28,10.1,12.8,5.3,25.9,1.6,80.1,2.2,31.3
751-760,null,Universidade de Brasília,Brazil,25.3,4.2,7.1,7.9,29.6,1.5,67.5,10.8,35.1
781-790,null,Universidade Federal de Santa Catarina,Brazil,19.3,8.5,19.2,4.8,17.3,2.2,62.1,4.1,52.1
92,61.6,Universidade de São Paulo,Brazil,92.8,28.5,21.4,74.6,97.9,2.1,95.9,6.8,93.6
