Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
225,Universidade de São Paulo,Brazil,52.15,55.8,58.9,43.3,42.3,35.9
450,Universidade Estadual de Campinas,Brazil,42.45,47.2,44.9,36.2,47.7,33
700,Universidade Federal de Minas Gerais,Brazil,34.95,33.3,18.8,50,39.3,29.5
700,Universidade Federal do Rio Grande do Sul,Brazil,34.95,31.5,20,49.5,46.7,28.1
700,Universidade Federal de Sergipe,Brazil,34.95,17.7,9.5,87,34.8,22.2
900,Universidade Federal de Santa Catarina,Brazil,29.55,28.1,13.8,47.1,44.4,30.9
900,Universidade Federal de São Paulo,Brazil,29.55,27.4,17.7,46.5,35.3,29.2
900,Universidade de Fortaleza,Brazil,29.55,16.7,8.4,65.2,34.8,35.6
900,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,29.55,29.1,29.1,28,100,37.8
900,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,29.55,22.9,14.3,46.9,61.3,31.2
1100,Universidade de Brasília,Brazil,24.75,26.2,13,35,41.7,31.5
1100,Universidade Estadual Paulista,Brazil,24.75,33.4,24.5,18.6,39.6,29.2
1100,Universidade Federal do ABC,Brazil,24.75,17.2,13.7,34,35.6,35.5
1100,Universidade Federal de Pelotas,Brazil,24.75,18.4,12.2,37.2,34.8,20.5
1100,Universidade Federal do Rio de Janeiro,Brazil,24.75,31.9,22,23.1,64.2,29.6
1100,Pontifícia Universidade Católica do Paraná,Brazil,24.75,20.5,12.4,37.4,38,27.2
1201,Universidade de Caxias do Sul,Brazil,16.45,15.4,8.7,11,35.3,18.2
1201,Universidade Estadual do Ceará,Brazil,16.45,18.1,9.4,6.8,36,18.5
1201,Universidade do Estado do Rio de Janeiro,Brazil,16.45,25.9,11.1,16.3,39.6,22.9
1201,Universidade do Estado de Santa Catarina,Brazil,16.45,21.9,10.6,25.3,35,17.3
1201,Universidade Estadual de Maringá,Brazil,16.45,22.8,12,13.1,35.1,18.7
1201,Universidade Estadual do Oeste do Paraná,Brazil,16.45,22,14.4,5.7,42.8,16.5
1201,Universidade Federal da Bahia,Brazil,16.45,23.8,14.3,22.7,35.1,23.7
1201,Universidade Federal do Ceará,Brazil,16.45,22.4,12.1,17.8,36.1,26.4
1201,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,16.45,18.5,12.1,16.3,34.8,20.1
1201,Universidade Federal do Triângulo Mineiro,Brazil,16.45,20.5,9.2,21.8,36.2,19.7
1201,Universidade Federal do Espírito Santo,Brazil,16.45,19.6,10.9,19.2,35.7,24.1
1201,Universidade Federal de Goiás,Brazil,16.45,21.5,11.8,15.7,39.2,22.4
1201,Universidade Federal da Grande Dourados,Brazil,16.45,35.4,9.2,7.9,34.8,16.9
1201,Universidade Federal de Itajubá,Brazil,16.45,17.5,9.9,20.8,38.3,24.3
1201,Universidade Federal de Juiz de Fora,Brazil,16.45,20,10.6,24.9,35.4,21.8
1201,Universidade Federal de Lavras,Brazil,16.45,25.5,16.9,15.8,54,22
1201,Universidade Federal do Maranhão,Brazil,16.45,20.5,8.6,16,35.6,19.4
1201,Universidade Federal de Mato Grosso do Sul,Brazil,16.45,17,9.7,13,38.1,20.4
1201,Universidade Federal de Ouro Preto,Brazil,16.45,18.2,11.2,19.1,39.6,21.7
1201,Universidade Federal do Pará,Brazil,16.45,19,10.3,14.9,38.6,23.6
1201,Universidade Federal do Paraná,Brazil,16.45,25.6,12.3,16.3,35.3,23.5
1201,Universidade Federal de Pernambuco,Brazil,16.45,26.7,10.2,16.4,36.3,22.2
1201,Universidade Federal do Piauí,Brazil,16.45,14.4,9.9,10.8,35.6,22.1
1201,Universidade Federal do Rio Grande do Norte,Brazil,16.45,22.6,9.9,19.7,37.8,27.4
1201,Universidade Federal Rural de Pernambuco,Brazil,16.45,18.2,9.5,7.2,34.8,18.4
1201,Universidade Federal Rural do Semi-Árido,Brazil,16.45,24,8.4,2.4,34.8,15.1
1201,Universidade Federal de Santa Maria,Brazil,16.45,22.3,12.5,18.6,35.7,18.9
1201,Universidade Federal do Tocantins,Brazil,16.45,17.4,8.4,6.3,34.8,18.9
1201,Universidade Federal de Uberlândia,Brazil,16.45,21.1,11.1,26.8,41.7,21.1
1201,Universidade Federal dos Vales do Jequitinhonha e Mucuri,Brazil,16.45,18,7.5,7,34.8,17
1201,Universidade Federal de Viçosa,Brazil,16.45,25.7,14.7,16.8,46.3,20.8
1201,Universidade Federal Fluminense,Brazil,16.45,21.8,11,14.6,35.4,26.4
1201,Universidade Estadual de Londrina,Brazil,16.45,23.3,13.4,15.3,53.1,20.1
1201,Universidade Presbiteriana Mackenzie,Brazil,16.45,17.2,10.8,13.9,44,21.8
