Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
199,Universidade de São Paulo,Brazil,58.7,58.8,60.7,55.7,93.9,43
351–400,Universidade Estadual de Campinas,Brazil,49.4–51.0,48.8,47.2,51,76.7,40.6
601–800,Universidade Federal do Rio de Janeiro,Brazil,38.2–43.2,41.3,37.3,37,84,36.4
601–800,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,38.2–43.2,35.8,33.5,39.7,74.7,43.2
601–800,Universidade Federal do Rio Grande do Sul,Brazil,38.2–43.2,36.7,24.1,53.3,56.1,34.8
1–1000,Universidade Federal de Minas Gerais,Brazil,34.5–38.1,40.9,21.5,40.3,49.5,32.4
801–1000,Universidade Estadual Paulista,Brazil,34.5–38.1,41.6,32.9,36.8,48.3,38.8
801–1000,Universidade Federal de São Paulo,Brazil,34.5–38.1,32.4,23.3,44.6,55,35.4
1001–1200,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,30.7–34.4,33.2,19.5,40.7,58.6,36.4
1001–1200,Universidade Federal de Santa Catarina,Brazil,30.7–34.4,33.7,22.4,40.4,66.2,35.9
1201–1500,Universidade Federal de Lavras,Brazil,25.2–30.6,30.7,17,28.4,29.1,28.2
1201–1500,Universidade Federal de Santa Maria,Brazil,25.2–30.6,33.4,12.1,34.1,28.7,25.8
1201–1500,Universidade Federal de São Carlos,Brazil,25.2–30.6,33.4,20.9,33.1,51.5,31.5
1201–1500,Universidade Federal de Uberlândia,Brazil,25.2–30.6,27.7,13.5,34.7,42.4,24.7
1201–1500,Pontifícia Universidade Católica do Paraná,Brazil,25.2–30.6,24.8,13.5,42.2,44.9,31.2
1201–1500,Universidade do Vale do Rio dos Sinos,Brazil,25.2–30.6,31.8,18.6,23.1,36.3,29
1201–1500,Universidade Federal do ABC,Brazil,25.2–30.6,16.4,16.1,39.4,26.3,45.7
1201–1500,Universidade Federal do Paraná,Brazil,25.2–30.6,34.2,17,28.1,47.6,34
1201–1500,Universidade de Brasília,Brazil,25.2–30.6,31.3,15.5,27.5,28.9,36.6
1501+,Universidade Católica de Brasília,Brazil,10.5–25.1,27.3,12.5,12.3,20.9,37.4
