Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,Universidade Estadual de Campinas,Brazil,86.5,85.4,99.8,78.6,74.3,56.1
2,Universidade de São Paulo,Brazil,86,84.4,100,78.4,57,59.7
4,Universidade Federal de São Paulo,Brazil,83.6,86.4,90.6,87.9,39.1,41.9
7,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,80,75,94,63.4,100,78.2
9,Universidade Federal de Minas Gerais,Brazil,78.2,79.2,88.4,77.5,52.1,37.1
10,Universidade Federal do Rio Grande do Sul,Brazil,78.1,79.4,86.6,77.4,83.8,33.4
11,Universidade Estadual Paulista,Brazil,76.8,85.3,95.7,43.7,40.6,50.3
12,Universidade Federal do Rio de Janeiro,Brazil,74.8,81.9,81,66.4,39.8,46.3
14,Universidade Federal de Santa Catarina,Brazil,72.6,77.1,79,67.2,41.5,47.4
15,Universidade Federal de São Carlos,Brazil,71,76.6,85.4,51.8,60,33.6
16,Universidade de Brasília,Brazil,70.3,72.1,81,58.9,49.2,50.9
21,Universidade Federal de Viçosa,Brazil,65.9,75,82.5,31.8,77.9,34.5
25,Universidade do Estado do Rio de Janeiro,Brazil,63.8,74.6,72.4,44.1,63.8,26.1
30,Universidade Federal da Bahia,Brazil,62.2,63.8,69.3,61.3,36.4,33.2
33,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,61.3,56,66.5,70.6,85.5,30.3
34,Universidade Federal do ABC,Brazil,61.2,56.6,59.6,75.6,55.9,53.5
35,Universidade Federal de Pernambuco,Brazil,60.5,72.4,64.1,48.7,45.8,23.5
36,Universidade Federal do Paraná,Brazil,59.4,66.5,76.3,33.5,35.3,26
=41,Pontifícia Universidade Católica do Paraná,Brazil,56.6,52.7,58,73.4,43.6,28.4
44,Universidade Federal de Lavras,Brazil,56.4,62.1,75.4,25.9,49.5,26.3
45,Universidade Federal Fluminense,Brazil,55.8,54.5,70.6,42.3,36.6,37.7
47,Universidade Federal de Pelotas,Brazil,55.6,47.9,56,82.3,35.3,26.1
48,Universidade Estadual de Londrina,Brazil,54.7,64.4,64.7,37.8,15.7,20.5
49,Universidade Tecnológica Federal do Paraná,Brazil,54.4,61.4,69.1,28.6,46.3,25.4
51–60,Universidade Federal do Ceará,Brazil,49.4–53.4,54.3,50.3,58.2,43,30.2
51–60,Universidade Federal de Santa Maria,Brazil,49.4–53.4,62.4,57.5,33.9,42.4,19.9
61–70,Universidade Católica de Brasília,Brazil,45.4–48.9,53.2,34.7,54.8,35.3,34.5
61–70,Universidade Federal de Goiás,Brazil,45.4–48.9,39,58.2,46,49.3,22.6
61–70,Universidade Federal do Rio Grande do Norte,Brazil,45.4–48.9,46.7,44.7,51.6,65.5,26
71–80,Universidade Estadual de Maringá,Brazil,41.9–45.2,57.1,52.1,22.3,36.7,21.2
71–80,Universidade Federal do Pará,Brazil,41.9–45.2,48.5,40.1,50.5,37.1,27.3
71–80,Pontifícia Universidade Católica de São Paulo,Brazil,41.9–45.2,72.2,42.8,0.6,35.3,24.4
71–80,Universidade do Vale do Rio dos Sinos,Brazil,41.9–45.2,41.9,60.7,20.9,38.7,30.7
81–90,Universidade Federal de Itajubá,Brazil,38.8–41.8,34.7,49.4,41.2,45.4,36.2
81–90,Universidade Presbiteriana Mackenzie,Brazil,38.8–41.8,45.8,38.6,43.3,41.3,32.9
91–100,Universidade Estadual de Ponta Grossa,Brazil,30.9–38.0,28.6,44.4,45.1,35.3,19.4
101+,Universidade Estadual do Ceará,Brazil,12.9–30.7,24.6,15,26.5,0,17.1
101+,Universidade Estadual do Oeste do Paraná,Brazil,12.9–30.7,31.8,20.9,7.9,35.8,14.7
101+,Universidade Federal Rural do Semi-Árido,Brazil,12.9–30.7,38.2,12.2,3,35.3,15.3
101+,Universidade Nove de Julho,Brazil,12.9–30.7,27,10,33.5,36.5,22.8
101+,Universidade do Estado da Bahia,Brazil,12.9–30.7,24.1,19.6,15.9,4.7,15.8
101+,Universidade do Vale do Itajaí,Brazil,12.9–30.7,22.2,26.7,30,36,22.3
101+,Universidade Vila Velha,Brazil,12.9–30.7,25.4,12.5,22.7,35.4,17.6
