Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
225,Universidade de São Paulo,Brazil,52.75,54.5,61.5,43.3,43,37.2
450,Universidade Estadual de Campinas,Brazil,43.5,47.9,46.7,38.4,44.4,34.1
700,Universidade Federal do Rio Grande do Sul,Brazil,36.6,32.1,21.9,50.8,39.8,28.7
700,Universidade Federal de São Paulo,Brazil,36.6,29.6,21.4,55.4,37.3,30.5
900,Universidade Federal de Minas Gerais,Brazil,31.85,34.2,19.1,42.2,38.7,29.4
900,Universidade Federal de Sergipe,Brazil,31.85,17.4,9.9,67.2,36.9,23.1
900,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,31.85,28.1,25.6,30.9,94.6,37.4
900,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,31.85,25.6,17.1,50.2,41.7,29.6
1100,Universidade Estadual Paulista,Brazil,27.05,33.6,28.8,16.3,41.6,30.3
1100,Universidade Federal do Rio de Janeiro,Brazil,27.05,38.7,25.3,21.3,66.5,30.3
1100,Universidade Federal de Santa Catarina,Brazil,27.05,30.2,19.2,35.9,54.4,30.1
1100,Universidade de Fortaleza,Brazil,27.05,16.4,8.6,57.6,37.7,35.3
1350,Universidade de Brasília,Brazil,21.35,27.3,15.8,23.5,49.5,31.2
1350,Universidade do Estado do Rio de Janeiro,Brazil,21.35,24.9,12.4,17.4,39.9,24.2
1350,Universidade Federal do ABC,Brazil,21.35,17.6,15.4,32.6,38.1,34.9
1350,Universidade Federal da Bahia,Brazil,21.35,24.6,11.1,25.6,37.2,24.6
1350,Universidade Federal do Espírito Santo,Brazil,21.35,20.4,12.2,22.5,42.1,24.8
1350,Universidade Federal de Goiás,Brazil,21.35,22.5,13,19.2,38.8,23.7
1350,Universidade Federal de Lavras,Brazil,21.35,24.7,17.1,15.7,54.3,23.1
1350,Universidade Federal do Paraná,Brazil,21.35,25.4,16,15.2,39.1,23.9
1350,Universidade Federal do Rio Grande do Norte,Brazil,21.35,22.2,10.1,34,38.5,27.1
1350,Universidade Federal de Santa Maria,Brazil,21.35,22.1,12.1,33.9,37.8,21.5
1350,Universidade Federal de São Carlos,Brazil,21.35,28.1,19,18.4,42.8,26.1
1350,Universidade Federal de Uberlândia,Brazil,21.35,23,11.1,34.6,39.4,21.4
1350,Universidade Federal de Viçosa,Brazil,21.35,28.3,16.7,15.2,43.7,21.7
1501,Universidade Estadual do Ceará,Brazil,14.35,17.9,10,5.1,38.1,18.6
1501,Universidade do Estado de Santa Catarina,Brazil,14.35,19.7,11.1,16.3,37.1,18.1
1501,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,14.35,22.1,12.4,11.3,40,29.6
1501,Universidade Estadual de Maringá,Brazil,14.35,22.9,13.3,11.4,37.4,19.1
1501,Universidade Estadual do Oeste do Paraná,Brazil,14.35,22.2,9.3,4.8,37,17.9
1501,Universidade Federal do Ceará,Brazil,14.35,21.3,13.6,15.5,39.3,24.7
1501,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,14.35,18.1,12.4,19.9,36.9,21.7
1501,Universidade Federal do Triângulo Mineiro,Brazil,14.35,14,9.4,23,36.9,21.1
1501,Universidade Federal do Vale do São Francisco,Brazil,14.35,16.6,7.4,4.1,36.9,17.3
1501,Universidade Federal de Itajubá,Brazil,14.35,16.7,9.6,14.9,40,24.2
1501,Universidade Federal de Juiz de Fora,Brazil,14.35,18,10.8,18.6,37.9,22.9
1501,Universidade Federal do Maranhão,Brazil,14.35,16.4,8.8,12.6,37.1,20.1
1501,Universidade Federal de Mato Grosso do Sul,Brazil,14.35,18.1,10.4,17.4,41.9,23.2
1501,Universidade Federal de Ouro Preto,Brazil,14.35,20,11.6,13.7,40.4,20.7
1501,Universidade Federal do Pará,Brazil,14.35,19.5,10.7,12.7,39,23.6
1501,Universidade Federal da Paraíba,Brazil,14.35,18.4,8.1,13,36.9,21.7
1501,Universidade Federal de Pelotas,Brazil,14.35,18.4,13.4,19.2,37.7,20.2
1501,Universidade Federal de Pernambuco,Brazil,14.35,25.8,11,15,39.6,21.8
1501,Universidade Federal do Piauí,Brazil,14.35,13.9,10.5,13.9,37.8,25.4
1501,Universidade Federal Rural de Pernambuco,Brazil,14.35,16.8,10.2,8.3,37.1,20.1
1501,Universidade Federal Rural do Semi-Árido,Brazil,14.35,26,9.4,2.4,44,15.8
1501,Universidade Federal do Estado do Rio de Janeiro,Brazil,14.35,20.4,10.9,7.3,36.9,33
1501,Universidade Federal dos Vales do Jequitinhonha e Mucuri,Brazil,14.35,17,8.8,6.4,36.9,18.2
1501,Universidade Federal Fluminense,Brazil,14.35,18.8,12.1,16.7,39.1,25
1501,Universidade Presbiteriana Mackenzie,Brazil,14.35,17.4,10,10.4,37.6,24.3
1501,Universidade Nove de Julho,Brazil,14.35,18.4,7.7,11.7,37.9,22.2
1501,Universidade de Passo Fundo,Brazil,14.35,16.9,10.1,23.1,37,23.9
1501,Universidade de Pernambuco,Brazil,14.35,16,10,17.8,37.4,24.8
1501,Pontifícia Universidade Católica de Minas Gerais,Brazil,14.35,17.6,9.4,6.8,37.2,21.3
1501,Universidade Estadual de Ponta Grossa,Brazil,14.35,20.7,9.9,18.2,37.1,22.8
1501,Universidade Estadual de Santa Cruz,Brazil,14.35,21.3,9.2,17.1,37.3,28.7
1501,Universidade Tecnológica Federal do Paraná,Brazil,14.35,16.4,10.1,12.6,37.4,22.1
