Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
2,University of São Paulo,Brazil,88.3,94.4,100.0,75.1,60.5,50.6
3,University of Campinas,Brazil,87.0,90.9,100.0,71.4,79.8,53.4
5,Universidade Federal de São Paulo (UNIFESP),Brazil,84.5,90.7,93.3,79.8,63.9,35.0
6,Universidade Federal do Rio Grande do Sul,Brazil,83.1,84.7,94.9,81.8,58.6,33.7
7,Federal University of Minas Gerais,Brazil,82.5,91.4,90.7,70.8,64.6,39.7
8,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,81.9,84.4,97.4,58.3,100.0,56.7
10,Universidade Estadual Paulista (Unesp),Brazil,81.1,93.2,99.7,41.3,57.2,52.6
11,Federal University of Rio de Janeiro,Brazil,80.9,90.7,99.1,45.2,100.0,40.2
12,Universidade Federal de Santa Catarina,Brazil,80.3,85.6,94.3,60.1,93.9,40.7
13,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,78.8,81.1,83.3,82.5,81.4,36.6
16,Federal University of São Carlos,Brazil,72.9,81.0,90.7,45.1,61.5,30.9
17,University of Brasília,Brazil,70.8,84.5,76.5,48.6,48.5,46.3
18,Universidade Federal do ABC (UFABC),Brazil,69.8,60.7,88.5,64.6,40.8,52.8
19,Universidade Federal do Paraná (UFPR),Brazil,69.5,79.2,83.8,44.0,56.3,29.9
21,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,67.2,82.7,75.7,41.7,47.7,29.3
23,Universidade Federal do Ceará (UFC),Brazil,66.6,74.9,84.1,34.4,87.3,25.5
24,Federal University of Viçosa,Brazil,66.4,81.5,78.3,34.2,58.0,27.9
26,Universidade Federal da Bahia,Brazil,65.7,72.4,70.2,63.3,36.1,29.2
=28,Universidade Federal de Pernambuco,Brazil,64.5,79.6,71.4,40.2,68.0,24.1
=28,Federal University of Santa Maria,Brazil,64.5,75.5,64.9,62.1,39.0,25.4
32,Federal University of Lavras,Brazil,63.4,67.6,78.7,42.8,57.9,30.4
35,Federal University of Rio Grande do Norte (UFRN),Brazil,62.5,70.5,63.7,60.1,49.4,29.9
=36,Fluminense Federal University,Brazil,61.9,66.9,75.3,41.7,43.5,37.7
42,Federal University of Goiás,Brazil,59.1,69.1,60.7,51.9,43.0,28.6
=45,Federal University of Uberlândia,Brazil,58.5,56.9,56.2,76.6,68.6,24.9
47,Pontifícia Universidade Católica do Paraná,Brazil,57.4,53.9,61.9,69.6,37.0,28.0
49,Federal University of Espírito Santo,Brazil,56.8,62.0,61.2,46.6,88.6,28.1
50,Universidade Estadual de Maringá,Brazil,56.2,66.9,70.0,28.8,37.6,22.1
51,Londrina State University,Brazil,55.2,63.4,65.4,31.8,78.1,24.0
56,Unisinos University,Brazil,52.9,56.9,64.7,33.3,58.0,31.3
63,Universidade Federal de Juiz de Fora,Brazil,49.9,48.8,57.2,49.2,38.9,27.7
65,Universidade Federal de Ouro Preto (UFOP),Brazil,48.9,52.3,54.3,40.8,57.3,27.6
70,Universidade Federal de Sergipe,Brazil,46.6,34.3,43.5,82.0,36.1,28.8
71,Federal University of Pará,Brazil,46.5,53.3,51.9,32.7,43.3,26.9
72,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,46.4,43.0,53.4,49.2,36.1,26.9
