Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International_Outlook
2,University of São Paulo,Brazil,88,92.1,100,74.9,56,59.9
3,University of Campinas,Brazil,87.8,93.1,99.9,71,71.8,57.1
4,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,85.5,83.7,98.7,67.5,100,76.7
6,Universidade Federal de São Paulo (UNIFESP),Brazil,84,93.2,87.3,83,41,42.3
8,Federal University of Minas Gerais,Brazil,82.5,86.7,88.1,80.3,52,52.5
10,Universidade Estadual Paulista (Unesp),Brazil,79.7,93.3,98.5,41.9,45.3,41.7
11,Universidade Federal do Rio Grande do Sul,Brazil,79.2,76.4,92.8,78.6,76.6,33.1
12,Universidade Federal de Santa Catarina,Brazil,78.8,87.3,82,73.7,51.9,46.6
13,Federal University of Rio de Janeiro,Brazil,77.5,94.3,81,58.2,40.4,44.9
15,University of Brasília,Brazil,74.6,83.9,80.8,61,36.9,51
16,Federal University of São Carlos,Brazil,71.7,83.4,85.4,42.7,60.5,34.8
17,Federal University of Viçosa,Brazil,69.3,81.7,85.4,33.2,79.4,29.7
19,Universidade Federal do Ceará (UFC),Brazil,68.4,75.2,79.8,53.1,51.5,30.9
=20,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,68.3,67.8,71.8,76.8,84.2,27.3
26,Universidade Federal do Paraná (UFPR),Brazil,66.8,85,79,31.7,39,26.4
29,Universidade Federal de Pernambuco,Brazil,66.4,88.6,70.4,38.7,41.9,23.4
30,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,66.2,83,76.3,36.1,49.7,24.9
31,Universidade Federal da Bahia,Brazil,66.1,72.8,76.9,52.6,36.5,30.8
33,Fluminense Federal University (UFF),Brazil,63.4,74.3,78,34.3,39.2,31
34,Federal University of Lavras,Brazil,62.5,66.7,85.9,25.8,92.4,24.9
39,Londrina State University,Brazil,59.6,66.8,73.5,40.2,36.5,21.3
40,Federal University of Goiás,Brazil,59.4,74.8,62.9,39.2,55,25.5
41,Universidade Federal do ABC (UFABC),Brazil,58.8,50.5,68.1,62.5,41.3,52.8
44,Pontifícia Universidade Católica do Paraná,Brazil,55.9,61.4,65.7,40.6,41.9,31.4
46,Federal University of Santa Maria,Brazil,55.3,68.4,63,34.2,38.5,18.9
51–60,Federal University of Pelotas,Brazil,49.1–53.0,52.6,41.6,79,36.5,20.6
51–60,Federal University of Rio Grande do Norte (UFRN),Brazil,49.1–53.0,62.4,53.3,44.8,61.9,25.4
61–70,Federal University of Pará,Brazil,45.7–48.5,54.4,51.3,30.1,38,26.3
61–70,Unisinos University,Brazil,45.7–48.5,51.4,49.2,42.4,76,23.5
71–80,Universidade Estadual de Maringá,Brazil,41.8–45.6,51.8,50.1,22.2,37.6,21.4
71–80,Universidade Federal de Ouro Preto (UFOP),Brazil,41.8–45.6,45.7,46.9,42.1,43.5,26.6
71–80,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,41.8–45.6,49.6,58.9,22.8,46.9,24.5
81–90,Catholic University of Brasília,Brazil,36.4–41.4,41.5,43.5,37.7,36.5,36.4
81–90,State University of Ponta Grossa,Brazil,36.4–41.4,47.8,28.1,45.4,36.5,18.4
91–100,Federal University of Espírito Santo,Brazil,34.1–35.9,35.8,34.2,32.2,42.5,28
91–100,Federal University of Itajubá,Brazil,34.1–35.9,34.6,36.7,31.4,44,38.8
91–100,Mackenzie Presbyterian University,Brazil,34.1–35.9,36.7,41.2,21.7,42.1,32.1
101+,University of Caxias do Sul,Brazil,15.1–33.4,29.4,38.5,21.3,38.4,20.2
101+,Ceará State University,Brazil,15.1–33.4,34,33.1,28.6,40.5,17.5
101+,Universidade do Estado de Santa Catarina,Brazil,15.1–33.4,42.6,30.6,26.8,36.7,18.4
101+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,15.1–33.4,29.5,44.1,10.3,38.2,17.2
101+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,15.1–33.4,39.3,28.1,27,36.5,29
101+,Universidade Federal Rural do Semi-Arido,Brazil,15.1–33.4,41.5,30.9,3.8,36.5,13.8
101+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,15.1–33.4,20.6,10.9,12,36.5,14.4
101+,University of Fortaleza (UNIFOR),Brazil,15.1–33.4,26.7,20.4,46.8,36.6,20.8
101+,University of Franca,Brazil,15.1–33.4,19.2,13.6,20,36.5,16.1
101+,Universidade Nove de Julho (Uninove),Brazil,15.1–33.4,25.2,9.9,33.2,37.9,22
101+,Pontifical Catholic University of Minas Gerais,Brazil,15.1–33.4,31.3,42.4,15.5,39,21
101+,State University of Bahia,Brazil,15.1–33.4,20.5,21.9,24.2,36.5,14.3
101+,State University of Santa Cruz,Brazil,15.1–33.4,34,30.2,23.3,41.2,31.8
101+,University of Vale do Itajaí,Brazil,15.1–33.4,38.9,28,18.9,36.6,21.7
101+,Vila Velha University,Brazil,15.1–33.4,33.3,14.1,46.4,40.6,20.2
