year,rank,institution,country,ods8_score
2019,22,Universidade Federal do Ceará (UFC),Brazil,69.6
2019,35,Universidade Nove de Julho (Uninove),Brazil,65.7
2019,57,Universidade Federal do ABC (UFABC),Brazil,61.4
2019,101–200,Federal University of Itajubá,Brazil,34.6–53.8
2019,101–200,Universidade Federal Rural do Semi-Arido,Brazil,34.6–53.8
2019,101–200,Vila Velha University,Brazil,34.6–53.8
2019,201+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,3.4–34.5
2019,201+,Universidade Federal de São Paulo (UNIFESP),Brazil,3.4–34.5
2019,201+,Pontifícia Universidade Católica do Paraná,Brazil,3.4–34.5
2020,=51,Federal University of Pará,Brazil,70.1
2020,57,Londrina State University,Brazil,69.1
2020,73,Federal University of Espírito Santo,Brazil,67.9
2020,=78,Universidade Federal do Ceará (UFC),Brazil,67.2
2020,=83,Universidade Estadual de Maringá,Brazil,66.7
2020,=83,University of São Paulo,Brazil,66.7
2020,=88,Universidade Federal de São Paulo (UNIFESP),Brazil,66.2
2020,101–200,Universidade Estadual Paulista (Unesp),Brazil,54.5–64.9
2020,101–200,Universidade Federal do ABC (UFABC),Brazil,54.5–64.9
2020,101–200,Federal University of Itajubá,Brazil,54.5–64.9
2020,101–200,Pontifícia Universidade Católica do Paraná,Brazil,54.5–64.9
2020,201–300,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,47.3–54.2
2020,201–300,Universidade Federal de Pernambuco,Brazil,47.3–54.2
2020,201–300,Fluminense Federal University,Brazil,47.3–54.2
2020,201–300,Universidade Nove de Julho (Uninove),Brazil,47.3–54.2
2020,301–400,Universidade Federal Rural do Semi-Arido,Brazil,34.0–47.2
2020,301–400,Federal University of Santa Maria,Brazil,34.0–47.2
2020,301–400,Pontifical Catholic University of Minas Gerais,Brazil,34.0–47.2
2020,401+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,4.6–33.9
2020,401+,Vila Velha University,Brazil,4.6–33.9
2021,39,Federal University of Espírito Santo,Brazil,74.6
2021,=41,Universidade Federal do Paraná (UFPR),Brazil,74.3
2021,79,Federal University of Pará,Brazil,70.2
2021,101–200,Universidade Estadual de Maringá,Brazil,61.3–68.3
2021,101–200,Federal University of Itajubá,Brazil,61.3–68.3
2021,101–200,Federal University of Mato Grosso do Sul,Brazil,61.3–68.3
2021,101–200,Universidade Federal de Pernambuco,Brazil,61.3–68.3
2021,101–200,Federal University of Piauí,Brazil,61.3–68.3
2021,101–200,Universidade Federal de Santa Catarina,Brazil,61.3–68.3
2021,101–200,Federal University of Santa Maria,Brazil,61.3–68.3
2021,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,61.3–68.3
2021,101–200,Londrina State University,Brazil,61.3–68.3
2021,101–200,Universidade Nove de Julho (Uninove),Brazil,61.3–68.3
2021,101–200,Pontifícia Universidade Católica do Paraná,Brazil,61.3–68.3
2021,101–200,University of São Paulo,Brazil,61.3–68.3
2021,101–200,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,61.3–68.3
2021,201–300,Universidade Federal do ABC (UFABC),Brazil,55.3–61.2
2021,201–300,Universidade Federal do Ceará (UFC),Brazil,55.3–61.2
2021,201–300,Universidade Federal Rural do Semi-Arido,Brazil,55.3–61.2
2021,201–300,Federal University of Uberlândia,Brazil,55.3–61.2
2021,301–400,Universidade Estadual Paulista (Unesp),Brazil,48.6–55.2
2021,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,48.6–55.2
2021,301–400,Fluminense Federal University,Brazil,48.6–55.2
2021,301–400,Pontifical Catholic University of Minas Gerais,Brazil,48.6–55.2
2021,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,33.0–48.5
2021,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,33.0–48.5
2021,401–600,Universidade Federal de Juiz de Fora,Brazil,33.0–48.5
2021,401–600,Universidade Federal de Sergipe,Brazil,33.0–48.5
2021,601+,Vila Velha University,Brazil,3.5–32.9
2022,43,Universidade Federal do Paraná (UFPR),Brazil,75.0
2022,=90,Federal University of Pará,Brazil,71.0
2022,101–200,University of Brasília,Brazil,64.7–70.2
2022,101–200,Federal University of Espírito Santo,Brazil,64.7–70.2
2022,101–200,Federal University of Mato Grosso do Sul,Brazil,64.7–70.2
2022,101–200,Universidade Federal de Pernambuco,Brazil,64.7–70.2
2022,101–200,Federal University of Rio de Janeiro,Brazil,64.7–70.2
2022,101–200,Universidade Federal de Santa Catarina,Brazil,64.7–70.2
2022,101–200,Federal University of Uberlândia,Brazil,64.7–70.2
2022,101–200,Pontifícia Universidade Católica do Paraná,Brazil,64.7–70.2
2022,101–200,University of São Paulo,Brazil,64.7–70.2
2022,201–300,University of Campinas,Brazil,59.6–64.6
2022,201–300,Federal University of Itajubá,Brazil,59.6–64.6
2022,201–300,Federal University of Santa Maria,Brazil,59.6–64.6
2022,201–300,Universidade Nove de Julho (Uninove),Brazil,59.6–64.6
2022,301–400,Universidade Estadual de Maringá,Brazil,55.3–59.5
2022,301–400,Universidade Federal do ABC (UFABC),Brazil,55.3–59.5
2022,301–400,Universidade Federal do Ceará (UFC),Brazil,55.3–59.5
2022,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,55.3–59.5
2022,301–400,Universidade Federal Rural do Semi-Arido,Brazil,55.3–59.5
2022,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,55.3–59.5
2022,301–400,Fluminense Federal University,Brazil,55.3–59.5
2022,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,45.0–55.2
2022,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,45.0–55.2
2022,401–600,Universidade Federal de Sergipe,Brazil,45.0–55.2
2022,401–600,Londrina State University,Brazil,45.0–55.2
2022,401–600,Pontifical Catholic University of Minas Gerais,Brazil,45.0–55.2
2022,601–800,Universidade do Estado do Amazonas,Brazil,25.0–44.9
2022,601–800,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,25.0–44.9
2022,601–800,Vila Velha University,Brazil,25.0–44.9
2022,801+,Universidade Federal de Juiz de Fora,Brazil,4.2–24.9
2022,801+,Federal Rural University of Pernambuco,Brazil,4.2–24.9
2022,801+,Insper Instituto de Ensino e Pesquisa,Brazil,4.2–24.9
2023,101–200,University of Campinas,Brazil,66.4–71.5
2023,101–200,Universidade Federal do Paraná (UFPR),Brazil,66.4–71.5
2023,101–200,Universidade Federal de Pernambuco,Brazil,66.4–71.5
2023,201–300,University of Brasília,Brazil,62.4–66.3
2023,201–300,Universidade Estadual de Maringá,Brazil,62.4–66.3
2023,201–300,Federal University of Espírito Santo,Brazil,62.4–66.3
2023,201–300,Federal University of Itajubá,Brazil,62.4–66.3
2023,201–300,Federal University of Mato Grosso do Sul,Brazil,62.4–66.3
2023,201–300,Federal University of Pará,Brazil,62.4–66.3
2023,201–300,Federal University of Uberlândia,Brazil,62.4–66.3
2023,201–300,Fluminense Federal University,Brazil,62.4–66.3
2023,201–300,Pontifícia Universidade Católica do Paraná,Brazil,62.4–66.3
2023,301–400,Federal University of Rio de Janeiro,Brazil,57.8–62.2
2023,301–400,Federal University of Santa Maria,Brazil,57.8–62.2
2023,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,57.8–62.2
2023,301–400,Londrina State University,Brazil,57.8–62.2
2023,301–400,University of São Paulo,Brazil,57.8–62.2
2023,301–400,State University of Ponta Grossa,Brazil,57.8–62.2
2023,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,48.4–57.7
2023,401–600,Universidade Federal do ABC (UFABC),Brazil,48.4–57.7
2023,401–600,Universidade Federal Rural do Semi-Arido,Brazil,48.4–57.7
2023,401–600,Universidade Federal de Sergipe,Brazil,48.4–57.7
2023,401–600,Universidade Nove de Julho (Uninove),Brazil,48.4–57.7
2023,401–600,Pontifical Catholic University of Minas Gerais,Brazil,48.4–57.7
2023,601–800,Cogna Educação,Brazil,35.7–48.3
2023,601–800,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,35.7–48.3
2023,601–800,Universidade Federal de Santa Catarina,Brazil,35.7–48.3
2023,601–800,Vila Velha University,Brazil,35.7–48.3
2023,801+,University Braz Cubas,Brazil,1.4–35.6
2023,801+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,1.4–35.6
2023,801+,Universidade Federal de Juiz de Fora,Brazil,1.4–35.6
2023,801+,Federal Rural University of Pernambuco,Brazil,1.4–35.6
2024,=56,University of São Paulo,Brazil,77.3
