year,rank,institution,country,ods11_score
2019,=66,Universidade Federal do ABC (UFABC),Brazil,65.6
2019,101–200,Universidade Federal do Ceará (UFC),Brazil,41.1–59.5
2019,101–200,Federal University of Itajubá,Brazil,41.1–59.5
2019,201+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,8.4–41.0
2019,201+,Universidade Federal Rural do Semi-Arido,Brazil,8.4–41.0
2019,201+,Universidade Federal de São Paulo (UNIFESP),Brazil,8.4–41.0
2019,201+,Universidade Nove de Julho (Uninove),Brazil,8.4–41.0
2019,201+,Pontifícia Universidade Católica do Paraná,Brazil,8.4–41.0
2019,201+,Universidade Estadual de Santa Cruz,Brazil,8.4–41.0
2019,201+,Vila Velha University,Brazil,8.4–41.0
2020,=77,University of São Paulo,Brazil,75.3
2020,101–200,Universidade Federal do ABC (UFABC),Brazil,58.1–71.0
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,58.1–71.0
2020,201–300,Universidade Estadual de Maringá,Brazil,46.8–57.8
2020,201–300,Federal University of Espírito Santo,Brazil,46.8–57.8
2020,201–300,Federal University of Itajubá,Brazil,46.8–57.8
2020,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,46.8–57.8
2020,201–300,Londrina State University,Brazil,46.8–57.8
2020,201–300,Pontifícia Universidade Católica do Paraná,Brazil,46.8–57.8
2020,301–400,Federal University of Santa Maria,Brazil,33.4–46.7
2020,301–400,Pontifical Catholic University of Minas Gerais,Brazil,33.4–46.7
2020,301–400,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,33.4–46.7
2020,301–400,Unisinos University,Brazil,33.4–46.7
2020,301–400,Vila Velha University,Brazil,33.4–46.7
2020,401+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,9.0–33.1
2020,401+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,9.0–33.1
2020,401+,Universidade Federal Rural do Semi-Arido,Brazil,9.0–33.1
2020,401+,Federal University of Viçosa,Brazil,9.0–33.1
2020,401+,Universidade Nove de Julho (Uninove),Brazil,9.0–33.1
2020,401+,Universidade Estadual de Santa Cruz,Brazil,9.0–33.1
2021,=79,University of São Paulo,Brazil,75.8
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,61.9–72.6
2021,201–300,Federal University of Espírito Santo,Brazil,53.9–61.8
2021,201–300,Universidade Federal do Paraná (UFPR),Brazil,53.9–61.8
2021,201–300,University of Fortaleza (UNIFOR),Brazil,53.9–61.8
2021,201–300,Pontifícia Universidade Católica do Paraná,Brazil,53.9–61.8
2021,301–400,Universidade Estadual de Maringá,Brazil,45.4–53.8
2021,301–400,Federal University of Itajubá,Brazil,45.4–53.8
2021,301–400,Universidade Federal de Santa Catarina,Brazil,45.4–53.8
2021,301–400,Federal University of Santa Maria,Brazil,45.4–53.8
2021,301–400,Federal University of Uberlândia,Brazil,45.4–53.8
2021,301–400,Londrina State University,Brazil,45.4–53.8
2021,301–400,Pontifical Catholic University of Minas Gerais,Brazil,45.4–53.8
2021,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,24.1–45.3
2021,401–600,Universidade Federal do Ceará (UFC),Brazil,24.1–45.3
2021,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,24.1–45.3
2021,401–600,Universidade Federal de Juiz de Fora,Brazil,24.1–45.3
2021,401–600,Federal University of Mato Grosso do Sul,Brazil,24.1–45.3
2021,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,24.1–45.3
2021,401–600,Federal University of Paraí­ba (UFPB),Brazil,24.1–45.3
2021,401–600,Universidade Federal Rural do Semi-Arido,Brazil,24.1–45.3
2021,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,24.1–45.3
2021,401–600,Universidade Federal de Sergipe,Brazil,24.1–45.3
2021,401–600,Federal University of Tocantins,Brazil,24.1–45.3
2021,401–600,Universidade Nove de Julho (Uninove),Brazil,24.1–45.3
2021,401–600,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,24.1–45.3
2021,401–600,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,24.1–45.3
2021,401–600,Unisinos University,Brazil,24.1–45.3
2021,401–600,Vila Velha University,Brazil,24.1–45.3
2022,=94,University of São Paulo,Brazil,79.3
2022,101–200,Universidade Federal do ABC (UFABC),Brazil,69.2–78.6
2022,301–400,University of Campinas,Brazil,53.4–60.0
2022,301–400,Universidade Federal do Paraná (UFPR),Brazil,53.4–60.0
2022,301–400,Federal University of Uberlândia,Brazil,53.4–60.0
2022,301–400,University of Fortaleza (UNIFOR),Brazil,53.4–60.0
2022,401–600,Universidade Estadual de Maringá,Brazil,38.9–53.3
2022,401–600,Universidade Federal do Ceará (UFC),Brazil,38.9–53.3
2022,401–600,Federal University of Espírito Santo,Brazil,38.9–53.3
2022,401–600,Federal University of Itajubá,Brazil,38.9–53.3
2022,401–600,Universidade Federal de Juiz de Fora,Brazil,38.9–53.3
2022,401–600,Federal University of Mato Grosso do Sul,Brazil,38.9–53.3
2022,401–600,Federal University of Paraí­ba (UFPB),Brazil,38.9–53.3
2022,401–600,Universidade Federal de Santa Catarina,Brazil,38.9–53.3
2022,401–600,Federal University of Santa Maria,Brazil,38.9–53.3
2022,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,38.9–53.3
2022,401–600,Universidade Federal de Sergipe,Brazil,38.9–53.3
2022,401–600,Federal University of Tocantins,Brazil,38.9–53.3
2022,401–600,Londrina State University,Brazil,38.9–53.3
2022,401–600,Pontifical Catholic University of Minas Gerais,Brazil,38.9–53.3
2022,401–600,Unisinos University,Brazil,38.9–53.3
2022,601+,Universidade do Estado do Amazonas,Brazil,0.6–38.8
2022,601+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.6–38.8
2022,601+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,0.6–38.8
2022,601+,Universidade Federal de Ouro Preto (UFOP),Brazil,0.6–38.8
2022,601+,Federal Rural University of Pernambuco,Brazil,0.6–38.8
2022,601+,Universidade Federal Rural do Semi-Arido,Brazil,0.6–38.8
2022,601+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,0.6–38.8
2022,601+,Universidade Nove de Julho (Uninove),Brazil,0.6–38.8
2022,601+,Vila Velha University,Brazil,0.6–38.8
2023,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,67.1–76.0
2023,201–300,University of São Paulo,Brazil,60.1–67.0
2023,301–400,University of Campinas,Brazil,52.5–60.0
