year,rank,institution,country,ods16_score
2019,101–200,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,40.8–61.3
2019,101–200,Universidade Federal do ABC (UFABC),Brazil,40.8–61.3
2019,101–200,Federal University of Santa Maria,Brazil,40.8–61.3
2019,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,40.8–61.3
2019,101–200,Universidade Nove de Julho (Uninove),Brazil,40.8–61.3
2019,101–200,Pontifícia Universidade Católica do Paraná,Brazil,40.8–61.3
2019,201+,Universidade Federal do Ceará (UFC),Brazil,6.2–39.4
2019,201+,Federal University of Itajubá,Brazil,6.2–39.4
2019,201+,Universidade Federal Rural do Semi-Arido,Brazil,6.2–39.4
2019,201+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,6.2–39.4
2019,201+,Vila Velha University,Brazil,6.2–39.4
2020,=86,University of São Paulo,Brazil,74.2
2020,95,Londrina State University,Brazil,73.2
2020,101–200,Universidade Estadual de Maringá,Brazil,63.2–72.6
2020,101–200,Federal University of Espírito Santo,Brazil,63.2–72.6
2020,101–200,Pontifical Catholic University of Minas Gerais,Brazil,63.2–72.6
2020,101–200,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,63.2–72.6
2020,101–200,Pontifícia Universidade Católica do Paraná,Brazil,63.2–72.6
2020,101–200,Vila Velha University,Brazil,63.2–72.6
2020,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,50.1–63.1
2020,201–300,Universidade Federal do Ceará (UFC),Brazil,50.1–63.1
2020,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,50.1–63.1
2020,301–400,Universidade Federal do ABC (UFABC),Brazil,33.5–49.9
2020,301–400,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,33.5–49.9
2020,301–400,Universidade Nove de Julho (Uninove),Brazil,33.5–49.9
2020,301–400,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,33.5–49.9
2020,301–400,Unisinos University,Brazil,33.5–49.9
2020,401+,Federal University of Itajubá,Brazil,11.6–33.4
2020,401+,Universidade Federal Rural do Semi-Arido,Brazil,11.6–33.4
2020,401+,Federal University of Santa Maria,Brazil,11.6–33.4
2021,61,University of São Paulo,Brazil,76.9
2021,82,Londrina State University,Brazil,74.6
2021,101–200,Universidade Estadual de Maringá,Brazil,63.1–72.9
2021,101–200,Federal University of Espírito Santo,Brazil,63.1–72.9
2021,101–200,Pontifícia Universidade Católica do Paraná,Brazil,63.1–72.9
2021,201–300,Universidade Federal do ABC (UFABC),Brazil,55.2–63.0
2021,201–300,Federal University of Mato Grosso do Sul,Brazil,55.2–63.0
2021,201–300,Universidade Federal do Paraná (UFPR),Brazil,55.2–63.0
2021,201–300,Federal University of Uberlândia,Brazil,55.2–63.0
2021,201–300,University of Fortaleza (UNIFOR),Brazil,55.2–63.0
2021,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,47.4–55.1
2021,301–400,Universidade Federal do Ceará (UFC),Brazil,47.4–55.1
2021,301–400,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,47.4–55.1
2021,301–400,Federal University of Pará,Brazil,47.4–55.1
2021,301–400,Universidade Nove de Julho (Uninove),Brazil,47.4–55.1
2021,301–400,Pontifical Catholic University of Minas Gerais,Brazil,47.4–55.1
2021,301–400,Unisinos University,Brazil,47.4–55.1
2021,301–400,Vila Velha University,Brazil,47.4–55.1
2021,401–600,Federal University of Itajubá,Brazil,21.6–47.3
2021,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,21.6–47.3
2021,401–600,Universidade Federal Rural do Semi-Arido,Brazil,21.6–47.3
2021,401–600,Universidade Federal de Santa Catarina,Brazil,21.6–47.3
2021,401–600,Federal University of Santa Maria,Brazil,21.6–47.3
