year,rank,institution,country,ods17_score
2019,64,Universidade Federal do ABC (UFABC),Brazil,74.8
2019,101–200,Universidade Nove de Julho (Uninove),Brazil,50.2–68.5
2019,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,35.9–50.1
2019,201–300,Universidade Estadual de Santa Cruz,Brazil,35.9–50.1
2019,301+,Ceará State University,Brazil,1.4–35.8
2019,301+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,1.4–35.8
2019,301+,Universidade Federal do Ceará (UFC),Brazil,1.4–35.8
2019,301+,Federal University of Itajubá,Brazil,1.4–35.8
2019,301+,Universidade Federal Rural do Semi-Arido,Brazil,1.4–35.8
2019,301+,Federal University of Santa Maria,Brazil,1.4–35.8
2019,301+,Londrina State University,Brazil,1.4–35.8
2019,301+,Pontifícia Universidade Católica do Paraná,Brazil,1.4–35.8
2019,301+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,1.4–35.8
2019,301+,Unisinos University,Brazil,1.4–35.8
2019,301+,Vila Velha University,Brazil,1.4–35.8
2020,=37,Federal University of Espírito Santo,Brazil,88.4
2020,41,Universidade Estadual de Maringá,Brazil,87.6
2020,=55,University of São Paulo,Brazil,85.1
2020,=92,Londrina State University,Brazil,81.2
2020,101–200,Federal University of Pará,Brazil,70.7–80.6
2020,101–200,Federal University of Santa Maria,Brazil,70.7–80.6
2020,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,70.7–80.6
2020,201–300,Universidade Estadual Paulista (Unesp),Brazil,62.4–70.2
2020,201–300,Universidade Federal do ABC (UFABC),Brazil,62.4–70.2
2020,201–300,Universidade Federal do Ceará (UFC),Brazil,62.4–70.2
2020,201–300,Federal University of Mato Grosso do Sul,Brazil,62.4–70.2
2020,201–300,Universidade Federal de Pernambuco,Brazil,62.4–70.2
2020,201–300,Pontifícia Universidade Católica do Paraná,Brazil,62.4–70.2
2020,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,37.8–54.2
2020,401–600,Federal University of Itajubá,Brazil,37.8–54.2
2020,401–600,Universidade Federal do Paraná (UFPR),Brazil,37.8–54.2
2020,401–600,Universidade Federal de Santa Catarina,Brazil,37.8–54.2
2020,401–600,Fluminense Federal University,Brazil,37.8–54.2
2020,401–600,Universidade Nove de Julho (Uninove),Brazil,37.8–54.2
2020,401–600,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,37.8–54.2
2020,401–600,Universidade Estadual de Santa Cruz,Brazil,37.8–54.2
2020,401–600,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,37.8–54.2
2020,601+,Ceará State University,Brazil,4.1–37.7
2020,601+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,4.1–37.7
2020,601+,Federal University of Piauí,Brazil,4.1–37.7
2020,601+,Universidade Federal Rural do Semi-Arido,Brazil,4.1–37.7
2020,601+,University of Franca,Brazil,4.1–37.7
2020,601+,Pontifical Catholic University of Minas Gerais,Brazil,4.1–37.7
2020,601+,Unisinos University,Brazil,4.1–37.7
2020,601+,Vila Velha University,Brazil,4.1–37.7
2021,101–200,Universidade Estadual de Maringá,Brazil,73.5–83.8
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,73.5–83.8
2021,101–200,Federal University of Espírito Santo,Brazil,73.5–83.8
2021,101–200,University of São Paulo,Brazil,73.5–83.8
2021,201–300,Universidade Estadual Paulista (Unesp),Brazil,64.9–73.4
2021,201–300,Federal University of Pará,Brazil,64.9–73.4
2021,201–300,Universidade Federal de Pernambuco,Brazil,64.9–73.4
2021,201–300,University of South Santa Catarina (Unisul),Brazil,64.9–73.4
2021,301–400,Federal University of Paraí­ba (UFPB),Brazil,56.3–64.7
2021,301–400,Universidade Federal do Paraná (UFPR),Brazil,56.3–64.7
2021,301–400,Federal University of Uberlândia,Brazil,56.3–64.7
2021,301–400,Fluminense Federal University,Brazil,56.3–64.7
2021,301–400,Pontifical Catholic University of Minas Gerais,Brazil,56.3–64.7
2021,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,44.8–55.9
2021,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,44.8–55.9
2021,401–600,Universidade Nove de Julho (Uninove),Brazil,44.8–55.9
2021,401–600,Pontifícia Universidade Católica do Paraná,Brazil,44.8–55.9
2021,601–800,Universidade Federal do Ceará (UFC),Brazil,33.3–44.7
2021,601–800,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,33.3–44.7
2021,601–800,Federal University of Mato Grosso do Sul,Brazil,33.3–44.7
2021,601–800,Universidade Federal de Sergipe,Brazil,33.3–44.7
2021,601–800,Federal University of Tocantins,Brazil,33.3–44.7
2021,601–800,University of Franca,Brazil,33.3–44.7
2021,601–800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,33.3–44.7
2021,601–800,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,33.3–44.7
2021,801–1000,Federal University of Itajubá,Brazil,22.7–33.2
2021,801–1000,Federal University of Lavras,Brazil,22.7–33.2
2021,801–1000,Universidade Federal de Ouro Preto (UFOP),Brazil,22.7–33.2
2021,801–1000,Federal University of Piauí,Brazil,22.7–33.2
2021,801–1000,Universidade Federal Rural do Semi-Arido,Brazil,22.7–33.2
2021,801–1000,Universidade Federal de Santa Catarina,Brazil,22.7–33.2
2021,801–1000,Federal University of Santa Maria,Brazil,22.7–33.2
2021,801–1000,Londrina State University,Brazil,22.7–33.2
2021,801–1000,Unisinos University,Brazil,22.7–33.2
2021,801–1000,Vila Velha University,Brazil,22.7–33.2
2021,1001+,Ceará State University,Brazil,1.7–22.4
2021,1001+,Cogna Educação,Brazil,1.7–22.4
2021,1001+,Universidade Federal de Juiz de Fora,Brazil,1.7–22.4
2021,1001+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,1.7–22.4
2021,1001+,Universidade Federal de Jataí (UFJ),Brazil,1.7–22.4
2022,101–200,University of São Paulo,Brazil,83.1–90.6
2022,201–300,University of Campinas,Brazil,76.7–83.0
2022,201–300,Universidade Estadual de Maringá,Brazil,76.7–83.0
2022,401–600,University of Brasília,Brazil,58.8–70.2
2022,401–600,Universidade Estadual Paulista (Unesp),Brazil,58.8–70.2
2022,401–600,Universidade Federal do ABC (UFABC),Brazil,58.8–70.2
2022,401–600,Federal University of Espírito Santo,Brazil,58.8–70.2
2022,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,58.8–70.2
2022,401–600,Federal University of Pará,Brazil,58.8–70.2
2022,401–600,Universidade Federal do Paraná (UFPR),Brazil,58.8–70.2
2022,401–600,Federal University of Santa Maria,Brazil,58.8–70.2
2022,401–600,Pontifícia Universidade Católica do Paraná,Brazil,58.8–70.2
2022,601–800,Federal University of Mato Grosso do Sul,Brazil,50.2–58.7
2022,601–800,Federal University of Paraí­ba (UFPB),Brazil,50.2–58.7
2022,601–800,Universidade Federal de Pernambuco,Brazil,50.2–58.7
2022,601–800,Universidade Federal de São Paulo (UNIFESP),Brazil,50.2–58.7
2022,601–800,Federal University of Tocantins,Brazil,50.2–58.7
2022,601–800,Fluminense Federal University,Brazil,50.2–58.7
2022,601–800,University of Fortaleza (UNIFOR),Brazil,50.2–58.7
2022,601–800,University of South Santa Catarina (Unisul),Brazil,50.2–58.7
2022,801–1000,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,41.5–50.1
2022,801–1000,Universidade Federal do Ceará (UFC),Brazil,41.5–50.1
2022,801–1000,Federal University of Itajubá,Brazil,41.5–50.1
2022,801–1000,Federal University of Lavras,Brazil,41.5–50.1
2022,801–1000,Federal Rural University of Pernambuco,Brazil,41.5–50.1
2022,801–1000,Universidade Federal de Sergipe,Brazil,41.5–50.1
2022,801–1000,Federal University of Uberlândia,Brazil,41.5–50.1
2022,801–1000,University of Franca,Brazil,41.5–50.1
2022,801–1000,Universidade Nove de Julho (Uninove),Brazil,41.5–50.1
2022,801–1000,State University of Ponta Grossa,Brazil,41.5–50.1
2022,801–1000,Vila Velha University,Brazil,41.5–50.1
2022,1001+,Ceará State University,Brazil,1.6–41.4
2022,1001+,Centro Universitário de Jaguariúna,Brazil,1.6–41.4
2022,1001+,Centro Universitário Max Planck,Brazil,1.6–41.4
2022,1001+,Universidade do Estado do Amazonas,Brazil,1.6–41.4
2022,1001+,Universidade Estadual do Maranhão,Brazil,1.6–41.4
2022,1001+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,1.6–41.4
2022,1001+,Universidade Federal de Juiz de Fora,Brazil,1.6–41.4
2022,1001+,Federal University of Rio de Janeiro,Brazil,1.6–41.4
2022,1001+,Universidade Federal Rural do Semi-Arido,Brazil,1.6–41.4
2022,1001+,Universidade Federal de Santa Catarina,Brazil,1.6–41.4
2022,1001+,Federal University of São Carlos,Brazil,1.6–41.4
2022,1001+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,1.6–41.4
2022,1001+,Insper Instituto de Ensino e Pesquisa,Brazil,1.6–41.4
2022,1001+,Londrina State University,Brazil,1.6–41.4
2022,1001+,University of Passo Fundo (UPF),Brazil,1.6–41.4
2022,1001+,Pontifical Catholic University of Minas Gerais,Brazil,1.6–41.4
2022,1001+,Unisinos University,Brazil,1.6–41.4
2023,101–200,Federal University of Santa Maria,Brazil,81.9–86.9
2023,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,81.9–86.9
2023,201–300,University of São Paulo,Brazil,75.6–81.7
2023,301–400,Universidade Estadual de Maringá,Brazil,70.6–75.5
2023,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,70.6–75.5
2023,301–400,University of Western São Paulo (UNOESTE),Brazil,70.6–75.5
2023,401–600,University of Brasília,Brazil,61.1–70.5
2023,401–600,University of Campinas,Brazil,61.1–70.5
2023,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,61.1–70.5
2023,401–600,Federal University of Espírito Santo,Brazil,61.1–70.5
2023,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,61.1–70.5
2023,401–600,Federal University of Pará,Brazil,61.1–70.5
2023,401–600,Universidade Federal de Pernambuco,Brazil,61.1–70.5
2023,401–600,Federal Rural University of Pernambuco,Brazil,61.1–70.5
2023,401–600,Federal University of Uberlândia,Brazil,61.1–70.5
2023,401–600,Londrina State University,Brazil,61.1–70.5
2023,601–800,Universidade Estadual Paulista (Unesp),Brazil,53.4–61.0
2023,601–800,Universidade Federal do ABC (UFABC),Brazil,53.4–61.0
2023,601–800,Federal University of Mato Grosso do Sul,Brazil,53.4–61.0
2023,601–800,Universidade Federal do Paraná (UFPR),Brazil,53.4–61.0
2023,601–800,Federal University of Rio de Janeiro,Brazil,53.4–61.0
2023,601–800,Federal University of Viçosa,Brazil,53.4–61.0
2023,601–800,Pontifícia Universidade Católica do Paraná,Brazil,53.4–61.0
2023,601–800,University of South Santa Catarina (Unisul),Brazil,53.4–61.0
2023,601–800,State University of Ponta Grossa,Brazil,53.4–61.0
2023,801–1000,Federal University of Lavras,Brazil,45.3–53.3
2023,801–1000,University of Fortaleza (UNIFOR),Brazil,45.3–53.3
2023,801–1000,University of Franca,Brazil,45.3–53.3
2023,801–1000,Pontifical Catholic University of Minas Gerais,Brazil,45.3–53.3
2023,801–1000,Vila Velha University,Brazil,45.3–53.3
2023,1001+,University Braz Cubas,Brazil,1.5–45.2
2023,1001+,University of Caxias do Sul,Brazil,1.5–45.2
2023,1001+,Ceará State University,Brazil,1.5–45.2
2023,1001+,Centro Universitário de Jaguariúna,Brazil,1.5–45.2
2023,1001+,Centro Universitário Max Planck,Brazil,1.5–45.2
2023,1001+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,1.5–45.2
2023,1001+,Cogna Educação,Brazil,1.5–45.2
2023,1001+,Universidade Estadual do Maranhão,Brazil,1.5–45.2
2023,1001+,Universidade Federal do Triângulo Mineiro,Brazil,1.5–45.2
2023,1001+,Federal University of Itajubá,Brazil,1.5–45.2
2023,1001+,Universidade Federal de Juiz de Fora,Brazil,1.5–45.2
2023,1001+,Federal University of Paraí­ba (UFPB),Brazil,1.5–45.2
2023,1001+,Universidade Federal Rural do Semi-Arido,Brazil,1.5–45.2
2023,1001+,Universidade Federal de Santa Catarina,Brazil,1.5–45.2
2023,1001+,Federal University of São Carlos,Brazil,1.5–45.2
2023,1001+,Universidade Federal de Sergipe,Brazil,1.5–45.2
2023,1001+,Fluminense Federal University,Brazil,1.5–45.2
2023,1001+,Universidade Nove de Julho (Uninove),Brazil,1.5–45.2
2024,101–200,Federal University of Pará,Brazil,84.8–90.0
2024,101–200,Fluminense Federal University,Brazil,84.8–90.0
2024,201–300,Federal University of Espírito Santo,Brazil,80.1–84.7
2024,301–400,Federal University of Rio de Janeiro,Brazil,75.4–80.0
2024,301–400,Universidade Estadual de Maringá,Brazil,75.4–80.0
2024,401–600,Federal Rural University of Pernambuco,Brazil,67.5–75.3
2024,401–600,Federal University of Itajubá,Brazil,67.5–75.3
2024,401–600,Pontifical Catholic University of Minas Gerais,Brazil,67.5–75.3
2024,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,67.5–75.3
2024,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,67.5–75.3
2024,401–600,Universidade Federal do Paraná (UFPR),Brazil,67.5–75.3
2024,401–600,University of São Paulo,Brazil,67.5–75.3
2024,601–800,Universidade Federal de Pernambuco,Brazil,59.9–67.4
2024,601–800,Federal University of Santa Maria,Brazil,59.9–67.4
2024,601–800,Federal University of Uberlândia,Brazil,59.9–67.4
2024,601–800,Federal University of Viçosa,Brazil,59.9–67.4
2024,601–800,Londrina State University,Brazil,59.9–67.4
2024,601–800,Positivo University,Brazil,59.9–67.4
2024,601–800,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,59.9–67.4
2024,601–800,Universidade Federal de Sergipe,Brazil,59.9–67.4
2024,801–1000,Federal University of Mato Grosso do Sul,Brazil,52.9–59.7
2024,801–1000,Federal University of Minas Gerais,Brazil,52.9–59.7
2024,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,52.9–59.7
2024,801–1000,State University of Ponta Grossa,Brazil,52.9–59.7
2024,801–1000,Universidade Estadual do Maranhão,Brazil,52.9–59.7
2024,801–1000,Universidade Estadual Paulista (Unesp),Brazil,52.9–59.7
2024,801–1000,Universidade Federal do ABC (UFABC),Brazil,52.9–59.7
2024,801–1000,University of Brasília,Brazil,52.9–59.7
2024,801–1000,University of Campinas,Brazil,52.9–59.7
2024,801–1000,University of Western São Paulo (UNOESTE),Brazil,52.9–59.7
2024,801–1000,Vila Velha University,Brazil,52.9–59.7
2024,1001–1500,Catholic University of Brasília,Brazil,36.9–52.8
2024,1001–1500,Ceará State University,Brazil,36.9–52.8
2024,1001–1500,Federal University of Lavras,Brazil,36.9–52.8
2024,1001–1500,Federal University of São Carlos,Brazil,36.9–52.8
2024,1001–1500,Federal University of Tocantins,Brazil,36.9–52.8
2024,1001–1500,Pontifícia Universidade Católica do Paraná,Brazil,36.9–52.8
2024,1001–1500,UNESC,Brazil,36.9–52.8
2024,1001–1500,Universidade Cidade de São Paulo,Brazil,36.9–52.8
2024,1001–1500,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,36.9–52.8
2024,1001–1500,Universidade Federal de Ouro Preto (UFOP),Brazil,36.9–52.8
2024,1001–1500,Universidade Federal de Santa Catarina,Brazil,36.9–52.8
2024,1001–1500,Universidade Nove de Julho (Uninove),Brazil,36.9–52.8
2024,1501+,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,1.7–36.8
2024,1501+,João Pessoa University Center (UNIPÊ),Brazil,1.7–36.8
2024,1501+,Modulo University Center,Brazil,1.7–36.8
2024,1501+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,1.7–36.8
2024,1501+,Centro Universitário Senac - Campus Santo Amaro,Brazil,1.7–36.8
2024,1501+,Cruzeiro do Sul University,Brazil,1.7–36.8
2024,1501+,Universidade Estadual de Feira de Santana (UEFS),Brazil,1.7–36.8
2024,1501+,Universidade Estadual do Norte do Paraná (UENP),Brazil,1.7–36.8
2024,1501+,Universidade Evangélica de Goiás,Brazil,1.7–36.8
2024,1501+,Universidade Federal de Juiz de Fora,Brazil,1.7–36.8
2024,1501+,Universidade Federal do Maranhão (UFMA),Brazil,1.7–36.8
2024,1501+,Universidade Federal Rural do Semi-Arido,Brazil,1.7–36.8
2024,1501+,University Braz Cubas,Brazil,1.7–36.8
2024,1501+,University of Caxias do Sul,Brazil,1.7–36.8
2024,1501+,University of Fortaleza (UNIFOR),Brazil,1.7–36.8
2024,1501+,University of Franca,Brazil,1.7–36.8
