year,rank,institution,country,ods5_score
2019,67,Universidade Federal de São Paulo (UNIFESP),Brazil,61.8
2019,101–200,Universidade Federal do Ceará (UFC),Brazil,42.1–57.0
2019,101–200,Londrina State University,Brazil,42.1–57.0
2019,101–200,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,42.1–57.0
2019,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,26.6–42.0
2019,201–300,Universidade Federal do ABC (UFABC),Brazil,26.6–42.0
2019,201–300,Universidade Federal Rural do Semi-Arido,Brazil,26.6–42.0
2019,201–300,Universidade Nove de Julho (Uninove),Brazil,26.6–42.0
2019,201–300,Vila Velha University,Brazil,26.6–42.0
2019,301+,Pontifícia Universidade Católica do Paraná,Brazil,1.2–26.4
2020,7,Universidade Federal de São Paulo (UNIFESP),Brazil,77.4
2020,=69,Federal University of Espírito Santo,Brazil,65.4
2020,=100,Universidade Estadual de Maringá,Brazil,62.5
2020,101–200,Universidade Estadual Paulista (Unesp),Brazil,51.9–62.4
2020,101–200,Universidade Federal do Paraná (UFPR),Brazil,51.9–62.4
2020,101–200,University of Franca,Brazil,51.9–62.4
2020,101–200,Londrina State University,Brazil,51.9–62.4
2020,101–200,University of São Paulo,Brazil,51.9–62.4
2020,201–300,Universidade Federal do Ceará (UFC),Brazil,41.3–51.7
2020,201–300,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,41.3–51.7
2020,201–300,Federal University of Santa Maria,Brazil,41.3–51.7
2020,201–300,Universidade Nove de Julho (Uninove),Brazil,41.3–51.7
2020,301–400,Universidade Federal do ABC (UFABC),Brazil,32.5–41.1
2020,301–400,Universidade Federal Rural do Semi-Arido,Brazil,32.5–41.1
2020,301–400,Vila Velha University,Brazil,32.5–41.1
2020,401+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,3.2–32.3
2020,401+,Federal University of Itajubá,Brazil,3.2–32.3
2020,401+,Federal University of Piauí,Brazil,3.2–32.3
2020,401+,Pontifical Catholic University of Minas Gerais,Brazil,3.2–32.3
2020,401+,Pontifícia Universidade Católica do Paraná,Brazil,3.2–32.3
2020,401+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,3.2–32.3
2021,=89,Universidade Federal de São Paulo (UNIFESP),Brazil,64.8
2021,94,Londrina State University,Brazil,64.4
2021,101–200,Universidade Estadual de Maringá,Brazil,55.6–64.1
2021,101–200,Universidade Estadual Paulista (Unesp),Brazil,55.6–64.1
2021,101–200,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,55.6–64.1
2021,101–200,Federal University of Espírito Santo,Brazil,55.6–64.1
2021,101–200,Federal University of Mato Grosso do Sul,Brazil,55.6–64.1
2021,101–200,Universidade Nove de Julho (Uninove),Brazil,55.6–64.1
2021,101–200,University of São Paulo,Brazil,55.6–64.1
2021,201–300,Universidade Federal do Ceará (UFC),Brazil,49.4–55.2
2021,201–300,Universidade Federal de Ouro Preto (UFOP),Brazil,49.4–55.2
2021,201–300,Universidade Federal do Paraná (UFPR),Brazil,49.4–55.2
2021,201–300,Federal University of Piauí,Brazil,49.4–55.2
2021,301–400,Federal University of Pará,Brazil,43.2–49.3
2021,301–400,Universidade Federal de Santa Catarina,Brazil,43.2–49.3
2021,301–400,Federal University of Santa Maria,Brazil,43.2–49.3
2021,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,32.3–43.1
2021,401–600,Universidade Federal do ABC (UFABC),Brazil,32.3–43.1
2021,401–600,Universidade Federal de Sergipe,Brazil,32.3–43.1
2021,401–600,Federal University of Uberlândia,Brazil,32.3–43.1
2021,401–600,University of Franca,Brazil,32.3–43.1
2021,401–600,Pontifical Catholic University of Minas Gerais,Brazil,32.3–43.1
2021,401–600,Pontifícia Universidade Católica do Paraná,Brazil,32.3–43.1
2021,401–600,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,32.3–43.1
2021,401–600,Vila Velha University,Brazil,32.3–43.1
2021,601+,Universidade Federal de Juiz de Fora,Brazil,6.0–32.2
2021,601+,Universidade Federal Rural do Semi-Arido,Brazil,6.0–32.2
2022,=79,Londrina State University,Brazil,67.7
2022,101–200,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,59.6–65.9
2022,101–200,Federal University of Espírito Santo,Brazil,59.6–65.9
2022,101–200,Federal University of Mato Grosso do Sul,Brazil,59.6–65.9
2022,101–200,Universidade Federal de Santa Catarina,Brazil,59.6–65.9
2022,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,59.6–65.9
2022,101–200,University of São Paulo,Brazil,59.6–65.9
2022,201–300,Federal University of Pará,Brazil,53.5–59.5
2022,201–300,Federal University of Santa Maria,Brazil,53.5–59.5
2022,201–300,Universidade Nove de Julho (Uninove),Brazil,53.5–59.5
2022,301–400,University of Campinas,Brazil,48.4–53.4
2022,301–400,Universidade Estadual de Maringá,Brazil,48.4–53.4
2022,301–400,Universidade Estadual Paulista (Unesp),Brazil,48.4–53.4
2022,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,48.4–53.4
2022,301–400,Federal University of Uberlândia,Brazil,48.4–53.4
2022,301–400,University of Franca,Brazil,48.4–53.4
2022,401–600,Universidade Federal de Juiz de Fora,Brazil,39.6–48.3
2022,401–600,Universidade Federal do Paraná (UFPR),Brazil,39.6–48.3
2022,401–600,Pontifícia Universidade Católica do Paraná,Brazil,39.6–48.3
2022,601–800,Universidade do Estado do Amazonas,Brazil,28.7–39.5
2022,601–800,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,28.7–39.5
2022,601–800,Universidade Federal do Ceará (UFC),Brazil,28.7–39.5
2022,601–800,Federal Rural University of Pernambuco,Brazil,28.7–39.5
2022,601–800,Universidade Federal Rural do Semi-Arido,Brazil,28.7–39.5
2022,601–800,Universidade Federal de Sergipe,Brazil,28.7–39.5
2022,601–800,Pontifical Catholic University of Minas Gerais,Brazil,28.7–39.5
2022,601–800,Vila Velha University,Brazil,28.7–39.5
2022,801+,Centro Universitário de Jaguariúna,Brazil,3.9–28.5
2022,801+,Centro Universitário Max Planck,Brazil,3.9–28.5
2022,801+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,3.9–28.5
2023,=38,Londrina State University,Brazil,71.8
2023,101–200,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,61.5–66.9
2023,101–200,Federal University of Mato Grosso do Sul,Brazil,61.5–66.9
2023,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,56.1–61.4
2023,201–300,Universidade Nove de Julho (Uninove),Brazil,56.1–61.4
2023,201–300,University of São Paulo,Brazil,56.1–61.4
2023,301–400,Universidade Estadual de Maringá,Brazil,51.6–56.0
2023,301–400,Federal University of Pará,Brazil,51.6–56.0
2023,301–400,Federal University of Santa Maria,Brazil,51.6–56.0
2023,401–600,University of Campinas,Brazil,43.7–51.5
2023,401–600,Universidade Federal do Paraná (UFPR),Brazil,43.7–51.5
2023,401–600,Universidade Federal de Santa Catarina,Brazil,43.7–51.5
2023,401–600,Pontifícia Universidade Católica do Paraná,Brazil,43.7–51.5
2023,601–800,Cogna Educação,Brazil,34.4–43.6
2023,601–800,Universidade Estadual do Maranhão,Brazil,34.4–43.6
2023,601–800,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,34.4–43.6
2023,601–800,Universidade Federal do ABC (UFABC),Brazil,34.4–43.6
2023,601–800,Federal University of Espírito Santo,Brazil,34.4–43.6
2023,601–800,Universidade Federal de Sergipe,Brazil,34.4–43.6
2023,601–800,State University of Ponta Grossa,Brazil,34.4–43.6
2023,601–800,Vila Velha University,Brazil,34.4–43.6
2023,801–1000,Centro Universitário Max Planck,Brazil,22.1–34.3
2023,801–1000,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,22.1–34.3
2023,801–1000,Universidade Federal de Juiz de Fora,Brazil,22.1–34.3
2023,801–1000,Federal Rural University of Pernambuco,Brazil,22.1–34.3
