year,rank,institution,country,ods12_score
2019,=67,Universidade Federal do Ceará (UFC),Brazil,58.4
2019,91,Universidade Federal de São Paulo (UNIFESP),Brazil,50.7
2019,101–200,Federal University of Itajubá,Brazil,18.9–47.4
2019,101–200,Universidade Federal Rural do Semi-Arido,Brazil,18.9–47.4
2019,101–200,Universidade Nove de Julho (Uninove),Brazil,18.9–47.4
2019,101–200,Pontifícia Universidade Católica do Paraná,Brazil,18.9–47.4
2019,101–200,Vila Velha University,Brazil,18.9–47.4
2020,84,University of São Paulo,Brazil,66.5
2020,101–200,Universidade Estadual de Maringá,Brazil,48.4–64.3
2020,101–200,Universidade Federal do ABC (UFABC),Brazil,48.4–64.3
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,48.4–64.3
2020,101–200,Federal University of Itajubá,Brazil,48.4–64.3
2020,101–200,Universidade Federal de Santa Catarina,Brazil,48.4–64.3
2020,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,48.4–64.3
2020,101–200,Universidade Nove de Julho (Uninove),Brazil,48.4–64.3
2020,101–200,Unisinos University,Brazil,48.4–64.3
2020,201–300,Federal University of Espírito Santo,Brazil,26.8–48.1
2020,201–300,Universidade Federal Rural do Semi-Arido,Brazil,26.8–48.1
2020,201–300,Londrina State University,Brazil,26.8–48.1
2020,201–300,Vila Velha University,Brazil,26.8–48.1
2020,301+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.7–26.7
2020,301+,Pontifícia Universidade Católica do Paraná,Brazil,0.7–26.7
2021,101–200,Universidade Estadual de Maringá,Brazil,56.8–69.9
2021,101–200,Universidade Federal do Ceará (UFC),Brazil,56.8–69.9
2021,101–200,Federal University of Mato Grosso do Sul,Brazil,56.8–69.9
2021,101–200,Universidade Federal Rural do Semi-Arido,Brazil,56.8–69.9
2021,101–200,Universidade Federal de Santa Catarina,Brazil,56.8–69.9
2021,101–200,University of São Paulo,Brazil,56.8–69.9
2021,201–300,Universidade Federal do ABC (UFABC),Brazil,43.8–56.5
2021,201–300,Federal University of Itajubá,Brazil,43.8–56.5
2021,201–300,Universidade Federal do Paraná (UFPR),Brazil,43.8–56.5
2021,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,43.8–56.5
2021,201–300,Federal University of Uberlândia,Brazil,43.8–56.5
2021,201–300,Universidade Nove de Julho (Uninove),Brazil,43.8–56.5
2021,201–300,Pontifical Catholic University of Minas Gerais,Brazil,43.8–56.5
2021,201–300,Unisinos University,Brazil,43.8–56.5
2021,301–400,Federal University of Espírito Santo,Brazil,29.3–43.7
2021,301–400,Universidade Federal de Juiz de Fora,Brazil,29.3–43.7
2021,301–400,Londrina State University,Brazil,29.3–43.7
2021,301–400,University of South Santa Catarina (Unisul),Brazil,29.3–43.7
2021,401+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.3–29.0
2021,401+,Universidade Federal de Ouro Preto (UFOP),Brazil,0.3–29.0
2021,401+,Federal University of Santa Maria,Brazil,0.3–29.0
2021,401+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,0.3–29.0
2021,401+,Vila Velha University,Brazil,0.3–29.0
2022,101–200,Universidade Federal de Santa Catarina,Brazil,64.4–75.5
2022,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,64.4–75.5
2022,101–200,Federal University of Uberlândia,Brazil,64.4–75.5
2022,101–200,University of São Paulo,Brazil,64.4–75.5
2022,201–300,Federal University of Itajubá,Brazil,54.0–64.2
2022,301–400,University of Campinas,Brazil,41.6–53.9
2022,301–400,Universidade Estadual do Maranhão,Brazil,41.6–53.9
2022,301–400,Universidade Estadual de Maringá,Brazil,41.6–53.9
2022,301–400,Federal University of Mato Grosso do Sul,Brazil,41.6–53.9
2022,301–400,Universidade Federal do Paraná (UFPR),Brazil,41.6–53.9
2022,301–400,Federal University of Santa Maria,Brazil,41.6–53.9
2022,301–400,Pontifical Catholic University of Minas Gerais,Brazil,41.6–53.9
2022,301–400,University of South Santa Catarina (Unisul),Brazil,41.6–53.9
2022,301–400,Unisinos University,Brazil,41.6–53.9
2022,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,4.2–41.5
2022,401–600,Federal University of Espírito Santo,Brazil,4.2–41.5
2022,401–600,Universidade Federal de Juiz de Fora,Brazil,4.2–41.5
2022,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,4.2–41.5
2022,401–600,Federal Rural University of Pernambuco,Brazil,4.2–41.5
