year,rank,institution,country,ods4_score
2019,=48,State University of Ponta Grossa,Brazil,65.7
2019,53,Universidade Federal de São Paulo (UNIFESP),Brazil,65.0
2019,86,Universidade Nove de Julho (Uninove),Brazil,60.2
2019,101–200,Ceará State University,Brazil,48.1–58.3
2019,101–200,Universidade Federal do Ceará (UFC),Brazil,48.1–58.3
2019,101–200,Londrina State University,Brazil,48.1–58.3
2019,101–200,Universidade Estadual de Santa Cruz,Brazil,48.1–58.3
2019,101–200,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,48.1–58.3
2019,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,39.3–47.9
2019,201–300,Universidade Federal Rural do Semi-Arido,Brazil,39.3–47.9
2019,201–300,Unisinos University,Brazil,39.3–47.9
2019,301+,Universidade Federal do ABC (UFABC),Brazil,6.2–39.0
2019,301+,Federal University of Itajubá,Brazil,6.2–39.0
2019,301+,Federal University of Santa Maria,Brazil,6.2–39.0
2019,301+,Pontifícia Universidade Católica do Paraná,Brazil,6.2–39.0
2019,301+,Vila Velha University,Brazil,6.2–39.0
2020,5,Universidade Estadual Paulista (Unesp),Brazil,87.5
2020,11,Ceará State University,Brazil,83.8
2020,32,Londrina State University,Brazil,78.5
2020,=58,Federal University of Espírito Santo,Brazil,73.3
2020,78,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,71.2
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,57.7–68.5
2020,101–200,Universidade Federal de Santa Catarina,Brazil,57.7–68.5
2020,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,57.7–68.5
2020,101–200,Universidade Nove de Julho (Uninove),Brazil,57.7–68.5
2020,101–200,University of São Paulo,Brazil,57.7–68.5
2020,201–300,Universidade Estadual de Maringá,Brazil,48.7–57.6
2020,201–300,Universidade Federal do ABC (UFABC),Brazil,48.7–57.6
2020,201–300,Federal University of Pará,Brazil,48.7–57.6
2020,201–300,Universidade Federal do Paraná (UFPR),Brazil,48.7–57.6
2020,201–300,Universidade Federal de Pernambuco,Brazil,48.7–57.6
2020,201–300,Federal University of Santa Maria,Brazil,48.7–57.6
2020,201–300,Fluminense Federal University,Brazil,48.7–57.6
2020,301–400,Federal University of Mato Grosso do Sul,Brazil,40.7–48.6
2020,301–400,Federal University of Piauí,Brazil,40.7–48.6
2020,301–400,Universidade Federal Rural do Semi-Arido,Brazil,40.7–48.6
2020,301–400,University of Franca,Brazil,40.7–48.6
2020,301–400,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,40.7–48.6
2020,301–400,Unisinos University,Brazil,40.7–48.6
2020,301–400,Vila Velha University,Brazil,40.7–48.6
2020,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,23.0–40.5
2020,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,23.0–40.5
2020,401–600,Federal University of Itajubá,Brazil,23.0–40.5
2020,401–600,Federal University of Viçosa,Brazil,23.0–40.5
2020,401–600,Pontifical Catholic University of Minas Gerais,Brazil,23.0–40.5
2020,401–600,Pontifícia Universidade Católica do Paraná,Brazil,23.0–40.5
2020,401–600,Universidade Estadual de Santa Cruz,Brazil,23.0–40.5
2021,=32,Londrina State University,Brazil,78.3
2021,56,Universidade Estadual Paulista (Unesp),Brazil,75.3
2021,=74,Federal University of Espírito Santo,Brazil,73.0
2021,=92,Ceará State University,Brazil,71.4
2021,101–200,Federal University of Mato Grosso do Sul,Brazil,64.0–70.7
2021,101–200,Universidade Federal de Ouro Preto (UFOP),Brazil,64.0–70.7
2021,101–200,Universidade Federal Rural do Semi-Arido,Brazil,64.0–70.7
2021,101–200,University of Franca,Brazil,64.0–70.7
2021,101–200,University of São Paulo,Brazil,64.0–70.7
2021,201–300,Universidade Federal do Ceará (UFC),Brazil,58.1–63.9
2021,201–300,Universidade Federal do Maranhão (UFMA),Brazil,58.1–63.9
2021,201–300,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,58.1–63.9
2021,301–400,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,52.6–58.0
2021,301–400,Universidade Federal do Paraná (UFPR),Brazil,52.6–58.0
2021,301–400,Universidade Nove de Julho (Uninove),Brazil,52.6–58.0
2021,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,42.1–52.5
2021,401–600,Universidade Federal do ABC (UFABC),Brazil,42.1–52.5
2021,401–600,Federal University of Pará,Brazil,42.1–52.5
2021,401–600,Universidade Federal de Pernambuco,Brazil,42.1–52.5
2021,401–600,Universidade Federal de Santa Catarina,Brazil,42.1–52.5
2021,401–600,Federal University of Santa Maria,Brazil,42.1–52.5
2021,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,42.1–52.5
2021,401–600,Universidade Federal de Sergipe,Brazil,42.1–52.5
2021,401–600,Federal University of Uberlândia,Brazil,42.1–52.5
2021,401–600,Fluminense Federal University,Brazil,42.1–52.5
2021,401–600,Pontifícia Universidade Católica do Paraná,Brazil,42.1–52.5
2021,401–600,Unisinos University,Brazil,42.1–52.5
2021,601–800,Centro Universitário Max Planck,Brazil,31.7–42.0
2021,601–800,Universidade Estadual de Maringá,Brazil,31.7–42.0
2021,601–800,Universidade Federal de Juiz de Fora,Brazil,31.7–42.0
2021,601–800,Federal University of Lavras,Brazil,31.7–42.0
2021,601–800,Federal University of Paraí­ba (UFPB),Brazil,31.7–42.0
2021,601–800,Federal University of Piauí,Brazil,31.7–42.0
2021,601–800,Pontifical Catholic University of Minas Gerais,Brazil,31.7–42.0
2021,601–800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,31.7–42.0
2021,601–800,University of South Santa Catarina (Unisul),Brazil,31.7–42.0
2021,601–800,State University of Ponta Grossa,Brazil,31.7–42.0
2021,601–800,Vila Velha University,Brazil,31.7–42.0
2021,801+,Centro Universitário de Jaguariúna,Brazil,5.7–31.6
2021,801+,Cogna Educação,Brazil,5.7–31.6
2021,801+,Federal University of Itajubá,Brazil,5.7–31.6
2022,=55,University of Brasília,Brazil,76.2
2022,=88,Federal University of Mato Grosso do Sul,Brazil,73.6
2022,=94,Ceará State University,Brazil,73.4
2022,101–200,Universidade Estadual Paulista (Unesp),Brazil,67.7–73.1
2022,101–200,University of Franca,Brazil,67.7–73.1
2022,101–200,Londrina State University,Brazil,67.7–73.1
2022,201–300,Federal University of Espírito Santo,Brazil,62.0–67.6
2022,201–300,Universidade Federal de Ouro Preto (UFOP),Brazil,62.0–67.6
2022,201–300,Universidade Nove de Julho (Uninove),Brazil,62.0–67.6
2022,201–300,University of São Paulo,Brazil,62.0–67.6
2022,301–400,University of Campinas,Brazil,58.1–61.9
2022,301–400,Universidade Federal do Maranhão (UFMA),Brazil,58.1–61.9
2022,401–600,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,49.8–58.0
2022,401–600,Federal University of Pará,Brazil,49.8–58.0
2022,401–600,Universidade Federal do Paraná (UFPR),Brazil,49.8–58.0
2022,401–600,Universidade Federal de Pernambuco,Brazil,49.8–58.0
2022,401–600,Universidade Federal de Santa Catarina,Brazil,49.8–58.0
2022,401–600,Universidade Federal de Sergipe,Brazil,49.8–58.0
2022,401–600,Federal University of Uberlândia,Brazil,49.8–58.0
2022,401–600,Fluminense Federal University,Brazil,49.8–58.0
2022,401–600,Pontifícia Universidade Católica do Paraná,Brazil,49.8–58.0
2022,401–600,State University of Ponta Grossa,Brazil,49.8–58.0
2022,601–800,Universidade Estadual de Maringá,Brazil,41.7–49.7
2022,601–800,Universidade Federal de Juiz de Fora,Brazil,41.7–49.7
2022,601–800,Federal University of Lavras,Brazil,41.7–49.7
2022,601–800,Federal Rural University of Pernambuco,Brazil,41.7–49.7
2022,601–800,Universidade Federal Rural do Semi-Arido,Brazil,41.7–49.7
2022,601–800,Federal University of Santa Maria,Brazil,41.7–49.7
2022,601–800,Federal University of São Carlos,Brazil,41.7–49.7
2022,601–800,Universidade Federal de São Paulo (UNIFESP),Brazil,41.7–49.7
2022,601–800,Pontifical Catholic University of Minas Gerais,Brazil,41.7–49.7
2022,601–800,University of South Santa Catarina (Unisul),Brazil,41.7–49.7
2022,801–1000,Universidade do Estado do Amazonas,Brazil,33.7–41.6
2022,801–1000,Universidade Federal do Ceará (UFC),Brazil,33.7–41.6
2022,801–1000,Federal University of Paraí­ba (UFPB),Brazil,33.7–41.6
2022,801–1000,Unisinos University,Brazil,33.7–41.6
2022,801–1000,Vila Velha University,Brazil,33.7–41.6
2022,1001+,Centro Universitário de Jaguariúna,Brazil,2.9–33.6
2022,1001+,Centro Universitário Max Planck,Brazil,2.9–33.6
2022,1001+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,2.9–33.6
2022,1001+,Federal University of Itajubá,Brazil,2.9–33.6
2022,1001+,Insper Instituto de Ensino e Pesquisa,Brazil,2.9–33.6
2023,=95,University of Brasília,Brazil,73.3
2023,101–200,Ceará State University,Brazil,66.6–73.0
2023,101–200,Universidade Estadual Paulista (Unesp),Brazil,66.6–73.0
2023,101–200,Londrina State University,Brazil,66.6–73.0
2023,101–200,Universidade Nove de Julho (Uninove),Brazil,66.6–73.0
2023,201–300,Federal University of Mato Grosso do Sul,Brazil,62.6–66.5
2023,201–300,Federal University of Pará,Brazil,62.6–66.5
