year,rank,institution,country,ods14_score
2020,18,University of São Paulo,Brazil,83.2
2020,=59,Federal University of Espírito Santo,Brazil,65.9
2020,79,Universidade Federal do ABC (UFABC),Brazil,60.1
2020,90,Vila Velha University,Brazil,57.6
2020,101–200,Universidade Estadual de Maringá,Brazil,23.2–53.4
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,23.2–53.4
2020,101–200,Universidade Federal Rural do Semi-Arido,Brazil,23.2–53.4
2020,101–200,Universidade Nove de Julho (Uninove),Brazil,23.2–53.4
2020,201+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.9–22.8
2020,201+,Pontifícia Universidade Católica do Paraná,Brazil,0.9–22.8
2021,21,University of São Paulo,Brazil,81.2
2021,=69,Federal University of Espírito Santo,Brazil,66.1
2021,79,Universidade Nove de Julho (Uninove),Brazil,63.5
2021,101–200,Universidade Estadual de Maringá,Brazil,42.1–59.0
2021,101–200,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,42.1–59.0
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,42.1–59.0
2021,101–200,Universidade Federal do Ceará (UFC),Brazil,42.1–59.0
2021,101–200,Universidade Federal do Paraná (UFPR),Brazil,42.1–59.0
2021,101–200,Universidade Federal Rural do Semi-Arido,Brazil,42.1–59.0
2021,201–300,Federal University of Mato Grosso do Sul,Brazil,26.6–41.9
2021,201–300,Universidade Federal de Santa Catarina,Brazil,26.6–41.9
2021,201–300,Federal University of Santa Maria,Brazil,26.6–41.9
2021,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,26.6–41.9
2021,201–300,Federal University of Uberlândia,Brazil,26.6–41.9
2021,201–300,Pontifical Catholic University of Minas Gerais,Brazil,26.6–41.9
2021,301+,Universidade Federal de Juiz de Fora,Brazil,0.4–26.5
2022,36,University of São Paulo,Brazil,83.8
2022,50,Federal University of Pará,Brazil,79.0
2022,85,Universidade Federal de São Paulo (UNIFESP),Brazil,70.4
2022,101–200,University of Campinas,Brazil,52.3–67.6
2022,101–200,Universidade Federal do Ceará (UFC),Brazil,52.3–67.6
