year,rank,institution,country,ods6_score
2024,401–600,University of Western São Paulo (UNOESTE),Brazil,36.2–48.3
2024,601–800,Centro Universitário Senac - Campus Santo Amaro,Brazil,18.2–36.1
2024,601–800,Federal Rural University of Pernambuco,Brazil,18.2–36.1
2024,601–800,Federal University of Santa Maria,Brazil,18.2–36.1
2024,601–800,Federal University of São Carlos,Brazil,18.2–36.1
2024,601–800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,18.2–36.1
2024,601–800,Universidade Estadual Paulista (Unesp),Brazil,18.2–36.1
2024,601–800,Universidade Federal de Juiz de Fora,Brazil,18.2–36.1
2024,601–800,Universidade Federal do Maranhão (UFMA),Brazil,18.2–36.1
2024,601–800,University of Fortaleza (UNIFOR),Brazil,18.2–36.1
2024,601–800,Vila Velha University,Brazil,18.2–36.1
2024,801+,João Pessoa University Center (UNIPÊ),Brazil,2.0–18.0
2024,801+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,2.0–18.0
2024,801+,University Braz Cubas,Brazil,2.0–18.0
2025,101–200,Federal University of Minas Gerais,Brazil,64.4–74.5
2025,101–200,University of Campinas,Brazil,64.4–74.5
2025,201–300,Universidade Federal de Sergipe,Brazil,56.5–64.3
2025,201–300,University of São Paulo,Brazil,56.5–64.3
2025,301–400,Federal University of Lavras,Brazil,51.4–56.0
2025,301–400,Federal University of Mato Grosso do Sul,Brazil,51.4–56.0
2025,301–400,Federal University of Viçosa,Brazil,51.4–56.0
2025,301–400,Londrina State University,Brazil,51.4–56.0
2025,301–400,Universidade Federal de Santa Catarina,Brazil,51.4–56.0
2025,401–600,Federal University of São Carlos,Brazil,41.7–51.3
2025,401–600,Federal University of Uberlândia,Brazil,41.7–51.3
2025,401–600,Pontifical Catholic University of Minas Gerais,Brazil,41.7–51.3
2025,401–600,Universidade Estadual de Maringá,Brazil,41.7–51.3
2025,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,41.7–51.3
2025,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,41.7–51.3
2025,401–600,Universidade Federal do Paraná (UFPR),Brazil,41.7–51.3
2025,401–600,Universidade Nove de Julho (Uninove),Brazil,41.7–51.3
2025,601–800,Federal University of Espírito Santo,Brazil,31.8–41.6
2025,601–800,Federal University of Itajubá,Brazil,31.8–41.6
2025,601–800,Fluminense Federal University,Brazil,31.8–41.6
2025,601–800,Positivo University,Brazil,31.8–41.6
2025,601–800,UNESC,Brazil,31.8–41.6
2025,601–800,Universidade Estadual do Maranhão,Brazil,31.8–41.6
2025,601–800,Universidade Federal Rural do Semi-Arido,Brazil,31.8–41.6
2025,601–800,University of Western São Paulo (UNOESTE),Brazil,31.8–41.6
2025,801–1000,Centro Universitário Senac - Campus Santo Amaro,Brazil,13.2–31.6
2025,801–1000,Federal Rural University of Pernambuco,Brazil,13.2–31.6
2025,801–1000,Federal University of Santa Maria,Brazil,13.2–31.6
2025,801–1000,FSG University Center,Brazil,13.2–31.6
2025,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,13.2–31.6
2025,801–1000,Universidade Federal de Juiz de Fora,Brazil,13.2–31.6
2025,801–1000,Universidade Federal do Maranhão (UFMA),Brazil,13.2–31.6
2025,801–1000,University of Fortaleza (UNIFOR),Brazil,13.2–31.6
2025,801–1000,Vila Velha University,Brazil,13.2–31.6
2025,1001+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,2.4–13.1
2025,1001+,University Braz Cubas,Brazil,2.4–13.1
