year,rank,institution,country,ods6_score
2020,39,University of São Paulo,Brazil,61.8
2020,=40,Universidade Federal do ABC (UFABC),Brazil,61.6
2020,=97,Federal University of Itajubá,Brazil,52.5
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,38.9–52.3
2020,101–200,Federal University of Espírito Santo,Brazil,38.9–52.3
2020,101–200,Federal University of Viçosa,Brazil,38.9–52.3
2020,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,21.3–38.6
2020,201–300,Universidade Federal Rural do Semi-Arido,Brazil,21.3–38.6
2020,201–300,Universidade Nove de Julho (Uninove),Brazil,21.3–38.6
2020,201–300,Pontifícia Universidade Católica do Paraná,Brazil,21.3–38.6
2020,201–300,Unisinos University,Brazil,21.3–38.6
2021,90,Universidade Federal do Ceará (UFC),Brazil,61.1
2021,101–200,Universidade Estadual de Maringá,Brazil,49.1–59.5
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,49.1–59.5
2021,101–200,Federal University of Lavras,Brazil,49.1–59.5
2021,101–200,Universidade Federal Rural do Semi-Arido,Brazil,49.1–59.5
2021,101–200,Universidade Federal de Santa Catarina,Brazil,49.1–59.5
2021,101–200,Universidade Nove de Julho (Uninove),Brazil,49.1–59.5
2021,101–200,Pontifical Catholic University of Minas Gerais,Brazil,49.1–59.5
2021,101–200,University of São Paulo,Brazil,49.1–59.5
2021,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,40.9–48.9
2021,201–300,Federal University of Espírito Santo,Brazil,40.9–48.9
2021,201–300,Federal University of Itajubá,Brazil,40.9–48.9
2021,201–300,Federal University of Piauí,Brazil,40.9–48.9
2021,201–300,Federal University of Uberlândia,Brazil,40.9–48.9
2021,201–300,Unisinos University,Brazil,40.9–48.9
2021,301–400,Federal University of Mato Grosso do Sul,Brazil,30.7–40.8
2021,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,30.7–40.8
2021,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,30.7–40.8
2021,301–400,Universidade Federal de Sergipe,Brazil,30.7–40.8
2021,401+,Universidade Federal de Juiz de Fora,Brazil,4.6–30.4
2021,401+,Universidade Federal do Paraná (UFPR),Brazil,4.6–30.4
2022,80,University of São Paulo,Brazil,70.6
2022,101–200,University of Campinas,Brazil,56.6–68.1
2022,101–200,Federal University of Lavras,Brazil,56.6–68.1
2022,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,56.6–68.1
2022,101–200,Federal University of Uberlândia,Brazil,56.6–68.1
2022,201–300,Universidade Estadual de Maringá,Brazil,47.3–56.4
2022,201–300,Universidade Federal do ABC (UFABC),Brazil,47.3–56.4
2022,201–300,Federal University of Itajubá,Brazil,47.3–56.4
2022,201–300,Federal University of Mato Grosso do Sul,Brazil,47.3–56.4
2022,201–300,Universidade Federal do Paraná (UFPR),Brazil,47.3–56.4
2022,201–300,Universidade Federal Rural do Semi-Arido,Brazil,47.3–56.4
2022,201–300,Universidade Federal de Santa Catarina,Brazil,47.3–56.4
2022,201–300,Pontifical Catholic University of Minas Gerais,Brazil,47.3–56.4
2022,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,38.1–47.1
2022,301–400,Universidade Federal do Ceará (UFC),Brazil,38.1–47.1
2022,301–400,Federal University of Espírito Santo,Brazil,38.1–47.1
2022,301–400,Unisinos University,Brazil,38.1–47.1
2022,401–600,Universidade do Estado do Amazonas,Brazil,13.1–38.0
2022,401–600,Universidade Estadual do Maranhão,Brazil,13.1–38.0
2022,401–600,Universidade Federal de Juiz de Fora,Brazil,13.1–38.0
2022,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,13.1–38.0
2022,401–600,Federal Rural University of Pernambuco,Brazil,13.1–38.0
2022,401–600,Federal University of Santa Maria,Brazil,13.1–38.0
2022,401–600,Universidade Federal de Sergipe,Brazil,13.1–38.0
2022,401–600,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,13.1–38.0
2022,401–600,Universidade Nove de Julho (Uninove),Brazil,13.1–38.0
2022,601+,University of Passo Fundo (UPF),Brazil,2.8–12.7
2023,=54,Federal University of Itajubá,Brazil,75.0
2023,101–200,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,57.1–67.2
2023,101–200,Universidade Nove de Julho (Uninove),Brazil,57.1–67.2
2023,201–300,University of Campinas,Brazil,49.3–57.0
2023,201–300,Universidade Estadual de Maringá,Brazil,49.3–57.0
2023,201–300,Federal University of Lavras,Brazil,49.3–57.0
2023,201–300,Universidade Federal de Santa Catarina,Brazil,49.3–57.0
2023,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,49.3–57.0
2023,201–300,Universidade Federal de Sergipe,Brazil,49.3–57.0
2023,201–300,University of São Paulo,Brazil,49.3–57.0
2023,201–300,University of Western São Paulo (UNOESTE),Brazil,49.3–57.0
2023,301–400,Universidade Federal do ABC (UFABC),Brazil,42.8–49.1
2023,301–400,Federal University of Mato Grosso do Sul,Brazil,42.8–49.1
2023,301–400,Universidade Federal do Paraná (UFPR),Brazil,42.8–49.1
2023,301–400,Federal University of Santa Maria,Brazil,42.8–49.1
2023,401–600,Universidade Federal do Triângulo Mineiro,Brazil,24.8–42.6
2023,401–600,Federal University of Espírito Santo,Brazil,24.8–42.6
2023,401–600,Federal Rural University of Pernambuco,Brazil,24.8–42.6
2023,401–600,Universidade Federal Rural do Semi-Arido,Brazil,24.8–42.6
2023,401–600,State University of Ponta Grossa,Brazil,24.8–42.6
2023,401–600,Vila Velha University,Brazil,24.8–42.6
2023,601+,University Braz Cubas,Brazil,0.7–24.6
2023,601+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,0.7–24.6
2023,601+,Cogna Educação,Brazil,0.7–24.6
2023,601+,Universidade Estadual do Maranhão,Brazil,0.7–24.6
2023,601+,Universidade Federal de Juiz de Fora,Brazil,0.7–24.6
2023,601+,Fluminense Federal University,Brazil,0.7–24.6
2024,71,Federal University of Itajubá,Brazil,75.5
2024,97,University of Campinas,Brazil,72.3
2024,201–300,Federal University of Mato Grosso do Sul,Brazil,55.4–62.4
2024,201–300,Federal University of Viçosa,Brazil,55.4–62.4
2024,201–300,Universidade Federal de Santa Catarina,Brazil,55.4–62.4
2024,301–400,Federal University of Lavras,Brazil,48.4–55.3
2024,301–400,Federal University of Uberlândia,Brazil,48.4–55.3
2024,301–400,Universidade Estadual de Maringá,Brazil,48.4–55.3
2024,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,48.4–55.3
2024,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,48.4–55.3
2024,301–400,Universidade Federal de Sergipe,Brazil,48.4–55.3
2024,301–400,Universidade Federal do Paraná (UFPR),Brazil,48.4–55.3
2024,301–400,Universidade Nove de Julho (Uninove),Brazil,48.4–55.3
2024,301–400,University of São Paulo,Brazil,48.4–55.3
2024,401–600,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,36.2–48.3
2024,401–600,Fluminense Federal University,Brazil,36.2–48.3
2024,401–600,Londrina State University,Brazil,36.2–48.3
2024,401–600,Positivo University,Brazil,36.2–48.3
2024,401–600,Universidade Estadual do Maranhão,Brazil,36.2–48.3
2024,401–600,Universidade Federal do ABC (UFABC),Brazil,36.2–48.3
2024,401–600,Universidade Federal Rural do Semi-Arido,Brazil,36.2–48.3
