year,rank,institution,country,ods7_score
2020,3,University of São Paulo,Brazil,81.2
2020,19,Londrina State University,Brazil,76.0
2020,=77,Universidade Federal do ABC (UFABC),Brazil,65.1
2020,=77,Fluminense Federal University,Brazil,65.1
2020,83,Universidade Federal do Paraná (UFPR),Brazil,64.3
2020,101–200,Federal University of Espírito Santo,Brazil,48.4–62.3
2020,101–200,Universidade Nove de Julho (Uninove),Brazil,48.4–62.3
2020,201–300,Universidade Federal do Ceará (UFC),Brazil,30.6–48.2
2020,201–300,Federal University of Itajubá,Brazil,30.6–48.2
2020,201–300,Federal University of Piauí,Brazil,30.6–48.2
2020,201–300,Universidade Federal Rural do Semi-Arido,Brazil,30.6–48.2
2020,201–300,Pontifícia Universidade Católica do Paraná,Brazil,30.6–48.2
2020,301+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.4–30.4
2020,301+,Federal University of Viçosa,Brazil,0.4–30.4
2020,301+,Unisinos University,Brazil,0.4–30.4
2021,7,University of São Paulo,Brazil,77.8
2021,=33,Londrina State University,Brazil,71.6
2021,47,Universidade Federal do Paraná (UFPR),Brazil,69.5
2021,=97,Universidade Nove de Julho (Uninove),Brazil,64.2
2021,101–200,Universidade Estadual de Maringá,Brazil,54.8–63.9
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,54.8–63.9
2021,101–200,Universidade Federal do Ceará (UFC),Brazil,54.8–63.9
2021,101–200,Federal University of Lavras,Brazil,54.8–63.9
2021,101–200,Federal University of Uberlândia,Brazil,54.8–63.9
2021,101–200,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,54.8–63.9
2021,201–300,Federal University of Espírito Santo,Brazil,47.0–54.5
2021,201–300,Federal University of Piauí,Brazil,47.0–54.5
2021,201–300,Pontifical Catholic University of Minas Gerais,Brazil,47.0–54.5
2021,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,38.6–46.9
2021,301–400,Federal University of Itajubá,Brazil,38.6–46.9
2021,301–400,Universidade Federal de Santa Catarina,Brazil,38.6–46.9
2021,301–400,Unisinos University,Brazil,38.6–46.9
2021,401+,Federal University of Mato Grosso do Sul,Brazil,0.1–38.4
2021,401+,Universidade Federal de Ouro Preto (UFOP),Brazil,0.1–38.4
2021,401+,Universidade Federal Rural do Semi-Arido,Brazil,0.1–38.4
2021,401+,Universidade Federal de São Paulo (UNIFESP),Brazil,0.1–38.4
2021,401+,Universidade Federal de Sergipe,Brazil,0.1–38.4
2021,401+,Federal University of Tocantins,Brazil,0.1–38.4
2021,401+,University of South Santa Catarina (Unisul),Brazil,0.1–38.4
2022,5,University of São Paulo,Brazil,83.2
2022,11,University of Campinas,Brazil,80.3
2022,48,Universidade Estadual de Maringá,Brazil,72.2
2022,=61,Universidade Federal do Paraná (UFPR),Brazil,70.7
2022,201–300,Universidade Federal do ABC (UFABC),Brazil,55.2–61.0
2022,201–300,Universidade Federal de Santa Catarina,Brazil,55.2–61.0
2022,201–300,Federal University of Uberlândia,Brazil,55.2–61.0
2022,201–300,Londrina State University,Brazil,55.2–61.0
2022,301–400,Federal University of Mato Grosso do Sul,Brazil,49.6–55.1
2022,301–400,Universidade Federal Rural do Semi-Arido,Brazil,49.6–55.1
2022,301–400,Universidade Nove de Julho (Uninove),Brazil,49.6–55.1
2022,301–400,Unisinos University,Brazil,49.6–55.1
2022,401–600,Universidade do Estado do Amazonas,Brazil,29.9–49.5
2022,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,29.9–49.5
2022,401–600,Universidade Federal do Ceará (UFC),Brazil,29.9–49.5
2022,401–600,Federal University of Espírito Santo,Brazil,29.9–49.5
2022,401–600,Federal University of Itajubá,Brazil,29.9–49.5
2022,401–600,Federal University of Lavras,Brazil,29.9–49.5
2022,401–600,Universidade Federal de Ouro Preto (UFOP),Brazil,29.9–49.5
2022,401–600,Federal University of Santa Maria,Brazil,29.9–49.5
2022,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,29.9–49.5
2022,401–600,Pontifical Catholic University of Minas Gerais,Brazil,29.9–49.5
2022,401–600,University of South Santa Catarina (Unisul),Brazil,29.9–49.5
2022,601+,Universidade Federal de Juiz de Fora,Brazil,3.2–29.8
2022,601+,Federal Rural University of Pernambuco,Brazil,3.2–29.8
2022,601+,Universidade Federal de Sergipe,Brazil,3.2–29.8
2022,601+,Federal University of Tocantins,Brazil,3.2–29.8
2022,601+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,3.2–29.8
2023,=29,Federal University of Itajubá,Brazil,75.0
2023,67,Londrina State University,Brazil,71.1
2023,=89,University of São Paulo,Brazil,68.6
2023,101–200,Universidade Federal do ABC (UFABC),Brazil,61.8–67.8
2023,101–200,Universidade Federal do Paraná (UFPR),Brazil,61.8–67.8
2023,101–200,Federal University of Uberlândia,Brazil,61.8–67.8
2023,201–300,Federal University of Espírito Santo,Brazil,56.2–61.7
2023,201–300,Federal University of Lavras,Brazil,56.2–61.7
2023,201–300,Federal University of Pará,Brazil,56.2–61.7
2023,201–300,Universidade Nove de Julho (Uninove),Brazil,56.2–61.7
2023,201–300,University of Western São Paulo (UNOESTE),Brazil,56.2–61.7
2023,301–400,University of Campinas,Brazil,51.9–56.1
2023,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,51.9–56.1
2023,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,51.9–56.1
2023,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,51.9–56.1
