year,rank,institution,country,ods13_score
2019,82,Universidade Federal do Ceará (UFC),Brazil,58.0
2019,101–200,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,31.3–54.7
2019,101–200,Federal University of Itajubá,Brazil,31.3–54.7
2019,101–200,Universidade Federal de São Paulo (UNIFESP),Brazil,31.3–54.7
2019,201+,Universidade Federal Rural do Semi-Arido,Brazil,3.8–31.0
2019,201+,Universidade Nove de Julho (Uninove),Brazil,3.8–31.0
2019,201+,Pontifícia Universidade Católica do Paraná,Brazil,3.8–31.0
2019,201+,Vila Velha University,Brazil,3.8–31.0
2021,33,Universidade Nove de Julho (Uninove),Brazil,69.8
2021,41,University of São Paulo,Brazil,67.5
2021,=74,Universidade Federal do Paraná (UFPR),Brazil,61.7
2021,=92,Federal University of Espírito Santo,Brazil,59.4
2021,101–200,Universidade Federal do Ceará (UFC),Brazil,48.2–58.3
2021,101–200,Federal University of Itajubá,Brazil,48.2–58.3
2021,101–200,Federal University of Uberlândia,Brazil,48.2–58.3
2021,101–200,Pontifical Catholic University of Minas Gerais,Brazil,48.2–58.3
2021,201–300,Federal University of Mato Grosso do Sul,Brazil,36.1–47.9
2021,201–300,Federal University of Piauí,Brazil,36.1–47.9
2021,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,36.1–47.9
2021,301–400,Universidade Estadual de Maringá,Brazil,25.6–35.8
2021,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,25.6–35.8
2021,301–400,Universidade Federal do ABC (UFABC),Brazil,25.6–35.8
2021,401+,Universidade Federal de Juiz de Fora,Brazil,0.3–25.0
2021,401+,Universidade Federal Rural do Semi-Arido,Brazil,0.3–25.0
2021,401+,Universidade Federal de Santa Catarina,Brazil,0.3–25.0
2021,401+,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,0.3–25.0
2021,401+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,0.3–25.0
2022,101–200,University of São Paulo,Brazil,54.7–66.0
2022,201–300,Federal University of Uberlândia,Brazil,45.8–54.6
2022,201–300,Universidade Nove de Julho (Uninove),Brazil,45.8–54.6
2022,301–400,University of Campinas,Brazil,36.5–45.5
2022,301–400,Universidade Estadual de Maringá,Brazil,36.5–45.5
2022,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,18.7–36.4
