Universidade;Estado;Ranking;"Pública ou Privada";"Posição em Ensino";"Nota em Ensino";"Posição em Pesquisa";"Nota em Pesquisa";"Posição em Mercado";"Nota em Mercado";"Posição em Inovação";"Nota em Inovação";"Posição em Internacionalização";"Nota em Internacionalização";Nota
"Universidade de São Paulo";SP;1;Estadual;3;31.06;1;41.61;1;18;3;3.81;2;3.86;98.34
"Universidade Estadual de Campinas";SP;2;Estadual;1;31.77;2;41.47;11;17.09;1;3.85;4;3.81;97.99
"Universidade Federal do Rio Grande do Sul";RS;3;Federal;2;31.32;3;41.18;15;16.73;1;3.85;17;3.32;96.4
"Universidade Federal de Minas Gerais";MG;4;Federal;10;30.02;4;40.54;2;17.91;5;3.68;16;3.36;95.51
"Universidade Federal do Rio de Janeiro";RJ;5;Federal;6;30.8;8;39.3;4;17.73;3;3.81;5;3.7;95.34
"Universidade Estadual Paulista Júlio de Mesquita Filho";SP;6;Estadual;14;29.27;5;40.39;4;17.73;16;3.35;11;3.55;94.29
"Universidade Federal de Santa Catarina";SC;7;Federal;5;30.87;7;39.97;24;15.91;12;3.41;9;3.56;93.72
"Universidade de Brasília";DF;8;Federal;7;30.79;11;38.49;20;16.27;20;3.17;8;3.57;92.29
"Universidade Federal do Paraná";PR;9;Federal;11;29.82;10;38.55;11;17.09;11;3.46;33;2.98;91.9
"Universidade Federal de São Carlos";SP;10;Federal;8;30.58;8;39.3;37;14.73;30;2.91;20;3.3;90.82
"Universidade Federal de São Paulo";SP;11;Federal;4;30.94;6;40.34;66;12.09;36;2.79;6;3.6;89.76
"Universidade Federal de Pernambuco";PE;12;Federal;13;29.33;23;36.95;11;17.09;26;3.02;36;2.95;89.34
"Universidade Federal de Goiás";GO;13;Federal;18;27.92;17;37.26;15;16.73;33;2.85;25;3.2;87.96
"Universidade Federal da Bahia";BA;14;Federal;27;26.69;21;37.12;7;17.46;15;3.37;22;3.27;87.91
"Universidade Federal Fluminense";RJ;15;Federal;12;29.57;27;35.57;20;16.27;23;3.09;21;3.29;87.79
"Universidade Federal de Uberlândia";MG;16;Federal;17;28.59;17;37.26;26;15.73;10;3.5;66;2.37;87.45
"Universidade Federal do Rio Grande do Norte";RN;17;Federal;19;27.9;15;37.59;37;14.73;6;3.55;9;3.56;87.33
"Universidade Federal de Viçosa";MG;18;Federal;9;30.38;12;38.07;66;12.09;8;3.51;53;2.63;86.68
"Universidade Federal do Ceará";CE;19;Federal;28;26.56;22;37.01;15;16.73;14;3.38;41;2.86;86.54
"Universidade Federal de Santa Maria";RS;20;Federal;16;28.95;13;37.92;47;13.82;41;2.66;63;2.45;85.8
"Pontifícia Universidade Católica do Rio Grande do Sul";RS;21;Privada;45;24.7;19;37.21;15;16.73;17;3.27;24;3.22;85.13
"Universidade do Estado do Rio de Janeiro";RJ;22;Estadual;33;26.27;28;35.37;11;17.09;46;2.57;17;3.32;84.62
"Universidade Federal do Espírito Santo";ES;23;Federal;29;26.41;19;37.21;47;13.82;24;3.06;28;3.08;83.58
"Pontifícia Universidade Católica do Rio de Janeiro";RJ;24;Privada;43;24.86;25;36.28;31;15.27;22;3.11;3;3.84;83.36
"Universidade Federal de Juiz de Fora";MG;25;Federal;26;26.72;26;36;37;14.73;27;2.97;46;2.83;83.25
"Universidade Federal de Lavras";MG;26;Federal;15;29.22;16;37.56;96;9.36;33;2.85;30;3;81.99
"Universidade Estadual de Maringá";PR;27;Estadual;21;27.75;29;35.15;37;14.73;57;2.31;100;1.83;81.77
"Universidade Federal da Paraíba";PB;28;Federal;22;27.14;33;34.21;31;15.27;44;2.59;64;2.44;81.65
"Universidade Estadual de Londrina";PR;29;Estadual;37;25.89;40;33.29;26;15.73;18;3.25;87;2.02;80.18
"Universidade Federal do Pará";PA;30;Federal;41;25.23;39;33.43;31;15.27;19;3.21;38;2.89;80.03
"Pontifícia Universidade Católica do Paraná";PR;31;Privada;46;24.4;42;32.33;9;17.27;7;3.52;70;2.29;79.81
"Universidade Federal de Sergipe";SE;32;Federal;49;23.82;32;34.25;37;14.73;40;2.67;40;2.87;78.34
"Universidade do Vale do Rio dos Sinos";RS;33;Privada;53;23.38;38;33.53;37;14.73;43;2.62;43;2.85;77.11
"Universidade Federal de Pelotas";RS;34;Federal;42;24.99;24;36.88;79;10.91;56;2.34;108;1.71;76.83
"Fundação Universidade Federal do ABC";SP;35;Federal;20;27.76;14;37.85;181;1.64;8;3.51;1;3.95;74.71
"Universidade Federal de Mato Grosso do Sul";MS;36;Federal;56;22.77;37;33.76;60;12.64;62;2.11;30;3;74.28
"Universidade Tecnológica Federal do Paraná";PR;37;Federal;24;26.87;48;31.19;96;9.36;21;3.15;51;2.69;73.26
"Universidade Federal de Alagoas";AL;38;Federal;61;22.24;46;31.51;47;13.82;35;2.82;72;2.25;72.64
"Universidade Federal de Campina Grande";PB;39;Federal;35;26.08;41;33.13;96;9.36;47;2.54;163;0.98;72.09
"Universidade Federal de Ouro Preto";MG;40;Federal;34;26.16;33;34.21;120;7.18;12;3.41;160;1.03;71.99
"Universidade Federal de Mato Grosso";MT;41;Federal;57;22.75;50;30.47;47;13.82;64;2.02;45;2.84;71.9
"Universidade Presbiteriana Mackenzie";SP;42;Privada;47;24.3;74;24.74;7;17.46;106;1.4;12;3.49;71.39
"Universidade Estadual do Norte Fluminense Darcy Ribeiro";RJ;43;Estadual;25;26.84;30;34.81;165;3.09;29;2.92;49;2.7;70.36
"Fundação Universidade do Estado de Santa Catarina";SC;44;Estadual;48;24.14;47;31.37;66;12.09;81;1.78;165;0.91;70.29
"Universidade Federal do Piauí";PI;45;Federal;55;22.85;45;31.6;66;12.09;82;1.75;125;1.45;69.74
"Universidade Estadual do Oeste do Paraná";PR;46;Estadual;38;25.49;58;27.7;66;12.09;48;2.53;98;1.87;69.68
"Universidade Federal de Alfenas";MG;47;Federal;39;25.46;51;30.29;96;9.36;73;1.9;59;2.54;69.55
"Universidade Federal do Amazonas";AM;48;Federal;52;23.45;60;27.68;37;14.73;69;1.97;143;1.22;69.05
"Universidade Federal do Rio Grande";RS;49;Federal;40;25.39;31;34.27;165;3.09;31;2.9;23;3.25;68.9
"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";RS;50;Federal;23;27;35;34.09;165;3.09;65;1.99;80;2.09;68.26
"Universidade Federal Rural do Rio de Janeiro";RJ;51;Federal;35;26.08;55;29.06;96;9.36;74;1.88;110;1.7;68.08
"Universidade de Passo Fundo";RS;52;Privada;74;19.43;49;30.65;47;13.82;76;1.85;93;1.95;67.7
"Universidade Federal do Maranhão";MA;53;Federal;60;22.46;57;28.28;60;12.64;61;2.14;80;2.09;67.61
"Pontifícia Universidade Católica de São Paulo";SP;54;Privada;30;26.33;100;20.28;9;17.27;136;0.84;66;2.37;67.09
"Universidade Federal Rural de Pernambuco";PE;55;Federal;50;23.79;36;33.91;137;5.64;62;2.11;116;1.54;66.99
"Universidade Federal do Triângulo Mineiro";MG;56;Federal;31;26.31;52;30;120;7.18;109;1.34;82;2.08;66.91
"Universidade Federal de Itajubá";MG;57;Federal;32;26.28;44;31.84;165;3.09;48;2.53;38;2.89;66.63
"Universidade de Fortaleza";CE;58;Privada;81;18.96;67;27.2;20;16.27;70;1.95;89;1.98;66.36
"Pontifícia Universidade Católica de Minas Gerais";MG;59;Privada;59;22.53;89;21.61;4;17.73;25;3.04;162;1;65.91
"Universidade Estadual do Ceará";CE;60;Estadual;63;22.1;66;27.21;47;13.82;96;1.47;137;1.27;65.87
"Universidade Católica de Brasília";DF;61;Privada;96;17.18;64;27.43;31;15.27;45;2.58;52;2.65;65.11
"Universidade Estadual de Ponta Grossa";PR;62;Estadual;51;23.64;53;29.47;120;7.18;77;1.83;62;2.46;64.58
"Universidade Federal de São João Del Rei";MG;63;Federal;76;19.41;43;32.06;120;7.18;28;2.95;34;2.96;64.56
"Universidade de Pernambuco";PE;64;Estadual;70;20.2;58;27.7;47;13.82;122;1.01;118;1.49;64.22
"Universidade de Caxias do Sul";RS;65;Privada;80;19.07;61;27.65;47;13.82;37;2.76;174;0.75;64.05
"Universidade Federal do Estado do Rio de Janeiro";RJ;66;Federal;44;24.8;56;28.82;137;5.64;91;1.59;57;2.57;63.42
"Universidade Estadual de Feira de Santana";BA;67;Estadual;67;20.89;65;27.33;96;9.36;67;1.98;48;2.77;62.33
"Universidade Nove de Julho";SP;68;Privada;88;17.93;80;23.75;26;15.73;113;1.16;84;2.07;60.64
"Pontifícia Universidade Católica de Campinas";SP;69;Privada;65;21.17;114;18.23;26;15.73;60;2.16;121;1.47;58.76
"Universidade Tiradentes";SE;70;Privada;109;15.48;73;24.8;60;12.64;48;2.53;30;3;58.45
"Universidade Estadual de Santa Cruz";BA;71;Estadual;82;18.65;54;29.4;137;5.64;125;0.95;7;3.59;58.23
"Universidade do Vale do Itajaí";SC;72;Privada;73;19.46;101;20.13;37;14.73;101;1.43;61;2.47;58.22
"Universidade Regional de Blumenau";SC;73;Municipal;96;17.18;82;23.5;60;12.64;53;2.44;93;1.95;57.71
"Fundação Universidade Federal da Grande Dourados";MS;74;Federal;62;22.16;63;27.49;152;4.27;108;1.36;106;1.79;57.07
"Universidade do Estado da Bahia";BA;75;Estadual;64;21.48;126;16.14;26;15.73;54;2.43;151;1.11;56.89
"Universidade Católica Dom Bosco";MS;76;Privada;120;13.99;62;27.62;66;12.09;128;0.9;89;1.98;56.58
"Universidade Paulista";SP;77;Privada;87;17.99;124;16.34;2;17.91;161;0.42;82;2.08;54.74
"Universidade do Sul de Santa Catarina";SC;78;Privada;150;11.35;72;25.11;47;13.82;118;1.09;64;2.44;53.81
"Fundação Universidade Federal do Tocantins";TO;79;Federal;71;19.93;86;22.45;120;7.18;100;1.44;71;2.27;53.27
"Universidade Federal Rural do Semi-árido";RN;80;Federal;54;23.3;78;23.85;165;3.09;84;1.73;153;1.1;53.07
"Fundação Universidade Federal de Rondônia";RO;81;Federal;69;20.67;123;16.43;66;12.09;91;1.59;97;1.89;52.67
"Universidade Estadual de Montes Claros";MG;82;Estadual;94;17.36;68;27.02;137;5.64;91;1.59;188;0.39;52
"Universidade do Vale do Taquari";RS;83;Privada;75;19.42;94;20.79;96;9.36;141;0.83;155;1.09;51.49
"Universidade Federal dos Vales do Jequitinhonha e Mucuri";MG;84;Federal;84;18.24;71;25.89;165;3.09;59;2.19;127;1.42;50.83
"Fundação Universidade Federal do Vale do São Francisco";PE;85;Federal;79;19.14;81;23.71;137;5.64;121;1.02;150;1.12;50.63
"Universidade Estadual do Centro Oeste";PR;86;Estadual;58;22.71;97;20.35;152;4.27;32;2.87;197;0.12;50.32
"Universidade Estadual do Sudoeste da Bahia";BA;87;Estadual;89;17.77;95;20.66;96;9.36;133;0.87;129;1.4;50.06
"Fundação Universidade Federal do Pampa";RS;88;Federal;68;20.8;76;24.23;195;0.36;52;2.45;79;2.1;49.94
"Universidade Federal da Fronteira Sul";SC;89;Federal;66;21.02;83;23.41;165;3.09;136;0.84;117;1.53;49.89
"Universidade Estadual da Paraíba";PB;90;Estadual;105;15.94;103;19.78;79;10.91;96;1.47;139;1.25;49.35
"Universidade Positivo";PR;91;Privada;115;14.99;117;17.19;47;13.82;96;1.47;113;1.64;49.11
"Universidade de Ribeirão Preto";SP;92;Privada;77;19.35;130;15.39;66;12.09;156;0.5;108;1.71;49.04
"Universidade Cruzeiro do Sul";SP;93;Privada;110;15.32;135;14.91;31;15.27;133;0.87;54;2.62;48.99
"Universidade Feevale";RS;94;Privada;84;18.24;98;20.33;120;7.18;82;1.75;136;1.28;48.78
"Universidade Federal Rural da Amazônia";PA;95;Federal;91;17.61;70;26.05;181;1.64;87;1.7;125;1.45;48.45
"Universidade de Santa Cruz do Sul";RS;96;Privada;124;13.43;90;21.22;79;10.91;155;0.53;72;2.25;48.34
"Universidade Estácio de Sá";RJ;97;Privada;103;16.18;140;13.86;20;16.27;132;0.89;161;1.01;48.21
"Universidade do Extremo Sul Catarinense";SC;98;Privada;144;11.62;84;22.91;96;9.36;67;1.98;78;2.17;48.04
"Universidade Vila Velha";ES;99;Privada;112;15.21;102;20.12;79;10.91;;;127;1.42;47.66
"Universidade Federal do Amapá";AP;100;Federal;100;16.51;85;22.73;165;3.09;88;1.65;17;3.32;47.3
"Universidade do Oeste Paulista";SP;101;Privada;106;15.87;113;18.46;66;12.09;165;0.28;181;0.5;47.2
"Pontifícia Universidade Católica de Goiás";GO;102;Privada;111;15.3;153;11.95;15;16.73;110;1.25;141;1.24;46.47
"Universidade Anhembi Morumbi";SP;103;Privada;148;11.36;106;19.44;47;13.82;114;1.14;176;0.69;46.45
"Universidade do Estado do Amazonas";AM;104;Estadual;169;6.63;75;24.71;79;10.91;150;0.64;15;3.38;46.27
"Universidade Católica de Pernambuco";PE;105;Privada;131;12.79;127;15.76;24;15.91;171;0.2;121;1.47;46.13
"Universidade do Grande Rio Professor José de Souza Herdy";RJ;106;Privada;142;11.9;87;21.82;96;9.36;128;0.9;85;2.05;46.03
"Universidade Regional do Cariri";CE;107;Estadual;114;15.04;79;23.78;137;5.64;165;0.28;153;1.1;45.84
"Universidade Cesumar";PR;108;Privada;83;18.46;158;10.42;37;14.73;150;0.64;121;1.47;45.72
"Universidade Luterana do Brasil";RS;109;Privada;101;16.5;122;16.47;79;10.91;147;0.65;147;1.16;45.69
"Universidade Federal do Recôncavo da Bahia";BA;110;Federal;90;17.67;105;19.45;152;4.27;42;2.65;133;1.33;45.37
"Universidade do Estado de Minas Gerais";MG;111;Estadual;72;19.85;155;11.69;66;12.09;147;0.65;184;0.48;44.76
"Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado";MT;112;Estadual;117;14.73;112;18.49;120;7.18;58;2.2;88;2;44.6
"Universidade Estadual de Mato Grosso do Sul";MS;113;Estadual;94;17.36;109;19.01;152;4.27;118;1.09;99;1.86;43.59
"Universidade Federal do Sul da Bahia";BA;114;Federal;92;17.59;96;20.5;181;1.64;85;1.71;134;1.3;42.74
"Universidade de Franca";SP;115;Privada;138;12.4;125;16.22;66;12.09;122;1.01;172;0.81;42.53
"Universidade Católica de Pelotas";RS;116;Privada;187;3.54;69;26.38;96;9.36;176;0.08;29;3.05;42.41
"Universidade Cidade de São Paulo";SP;117;Privada;139;12.3;121;16.71;96;9.36;136;0.84;37;2.94;42.15
"Universidade Regional do Noroeste do Estado do Rio Grande do Sul";RS;118;Privada;93;17.38;149;12.33;79;10.91;147;0.65;179;0.62;41.89
"Universidade Estadual do Maranhão";MA;119;Estadual;134;12.59;128;15.49;79;10.91;112;1.21;115;1.58;41.78
"Universidade de Sorocaba";SP;120;Privada;174;5.9;98;20.33;79;10.91;38;2.74;105;1.8;41.68
"Universidade Comunitária da Região de Chapecó";SC;121;Privada;125;13.23;107;19.32;120;7.18;159;0.45;157;1.07;41.25
"Universidade São Francisco";SP;122;Privada;136;12.55;133;15.12;79;10.91;144;0.71;96;1.93;41.22
"Universidade do Oeste de Santa Catarina";SC;123;Privada;122;13.83;138;14.16;79;10.91;94;1.53;178;0.64;41.07
"Universidade Franciscana";RS;124;Privada;116;14.92;119;17.08;120;7.18;144;0.71;183;0.49;40.38
"Universidade Estadual de Goiás";GO;125;Estadual;119;14.59;139;14.12;79;10.91;165;0.28;185;0.47;40.37
"Universidade La Salle";RS;126;Privada;118;14.64;91;21.1;165;3.09;;;168;0.85;39.68
"Universidade da Integração Internacional da Lusofonia Afro-brasileira";CE;127;Federal;107;15.59;93;20.93;;;150;0.64;77;2.18;39.34
"Universidade Federal do Acre";AC;128;Federal;159;10.14;88;21.78;165;3.09;94;1.53;57;2.57;39.11
"Universidade Veiga de Almeida";RJ;129;Privada;121;13.87;154;11.73;79;10.91;110;1.25;170;0.83;38.59
"Universidade do Estado do Pará";PA;130;Estadual;129;12.81;131;15.19;96;9.36;136;0.84;191;0.3;38.5
"Universidade da Região de Joinville";SC;131;Privada;132;12.69;147;12.61;96;9.36;96;1.47;104;1.82;37.95
"Universidade Santa Cecília";SP;132;Privada;99;16.54;167;8.81;120;7.18;51;2.46;43;2.85;37.84
"Universidade do Estado do Rio Grande do Norte";RN;133;Estadual;113;15.1;144;13.14;120;7.18;141;0.83;141;1.24;37.49
"Universidade Santo Amaro";SP;134;Privada;130;12.8;129;15.45;120;7.18;;;100;1.83;37.26
"Universidade Federal do Oeste do Pará";PA;135;Federal;164;8.29;77;24.03;;;65;1.99;47;2.8;37.11
"Universidade Tuiuti do Paraná";PR;136;Privada;98;16.71;163;9.18;96;9.36;;;139;1.25;36.5
"Universidade Salvador";BA;137;Privada;194;2.27;142;13.78;31;15.27;39;2.73;89;1.98;36.03
"Universidade de Mogi das Cruzes";SP;138;Privada;143;11.83;156;10.9;96;9.36;144;0.71;26;3.17;35.97
"Universidade Católica de Santos";SP;139;Privada;78;19.31;170;8.17;137;5.64;;;60;2.52;35.64
"Universidade Federal do Delta do Parnaíba";PI;140;Federal;86;18.1;136;14.45;181;1.64;;;144;1.2;35.39
"Universidade do Vale do Paraíba";SP;141;Privada;170;6.55;110;18.88;152;4.27;74;1.88;14;3.39;34.97
"Universidade de Uberaba";MG;142;Privada;137;12.53;173;7.79;60;12.64;143;0.74;148;1.14;34.84
"Universidade Federal do Sul e Sudeste do Pará";PA;143;Federal;104;16.1;148;12.59;152;4.27;161;0.42;135;1.29;34.67
"Universidade Federal de Roraima";RR;144;Federal;158;10.27;116;17.44;181;1.64;106;1.4;13;3.44;34.19
"Universidade Metodista de Piracicaba";SP;145;Privada;180;5.47;92;20.94;152;4.27;;;34;2.96;33.64
"Universidade Federal da Integração Latino-americana";PR;146;Federal;161;9.97;104;19.72;195;0.36;161;0.42;27;3.14;33.61
"Universidade da Amazônia";PA;147;Privada;155;10.93;181;6.74;47;13.82;101;1.43;180;0.61;33.53
"Universidade Potiguar";RN;148;Privada;156;10.57;172;7.93;47;13.82;150;0.64;187;0.43;33.39
"Universidade Federal do Cariri";CE;149;Federal;147;11.49;118;17.15;165;3.09;171;0.2;145;1.18;33.11
"Universidade de Marília";SP;150;Privada;182;4.65;132;15.13;66;12.09;171;0.2;166;0.87;32.94
"Universidade Estadual Vale do Acaraú";CE;151;Estadual;127;13.14;141;13.84;137;5.64;;;197;0.12;32.74
"Universidade Metropolitana de Santos";SP;152;Privada;123;13.48;151;12.09;152;4.27;156;0.5;68;2.33;32.67
"Universidade Metodista de São Paulo";SP;153;Privada;102;16.34;174;7.59;120;7.18;;;129;1.4;32.51
"Universidade Professor Edson Antônio Velano";MG;154;Privada;128;12.96;162;9.33;96;9.36;156;0.5;199;0.1;32.25
"Universidade Pitágoras Unopar Anhanguera";PR;155;Privada;183;4.59;146;12.83;66;12.09;154;0.63;86;2.04;32.18
"Universidade Regional Integrada do Alto Uruguai e das Missões";RS;156;Privada;153;11.1;158;10.42;96;9.36;125;0.95;193;0.26;32.09
"Universidade Federal do Oeste da Bahia";BA;157;Federal;145;11.61;137;14.35;165;3.09;114;1.14;106;1.79;31.98
"Universidade São Judas Tadeu";SP;158;Privada;178;5.53;169;8.63;37;14.73;133;0.87;114;1.63;31.39
"Universidade Universus Veritas Guarulhos";SP;159;Privada;185;4.37;115;17.75;152;4.27;85;1.71;56;2.6;30.7
"Universidade Federal do Agreste de Pernambuco";PE;160;Federal;152;11.25;120;17.04;;;128;0.9;145;1.18;30.37
"Universidade Paranaense";PR;161;Privada;154;10.95;179;7.08;79;10.91;161;0.42;202;0.02;29.38
"Universidade de Araraquara";SP;162;Privada;195;2.1;134;15.07;96;9.36;79;1.81;173;0.79;29.13
"Universidade Estadual do Piauí";PI;163;Estadual;160;10.1;164;9.16;96;9.36;176;0.08;190;0.34;29.04
"Universidade Fumec";MG;164;Privada;132;12.69;183;6.36;120;7.18;114;1.14;132;1.37;28.74
"Universidade Federal de Jataí";GO;165;Federal;163;8.9;142;13.78;165;3.09;125;0.95;110;1.7;28.42
"Universidade Estadual do Norte do Paraná";PR;166;Estadual;148;11.36;157;10.74;152;4.27;118;1.09;164;0.93;28.39
"Universidade Ceuma";MA;167;Privada;189;2.88;145;12.84;79;10.91;;;148;1.14;27.77
"Universidade Evangélica de Goiás";GO;168;Privada;168;6.85;167;8.81;96;9.36;171;0.2;75;2.19;27.41
"Universidade de Taubaté";SP;169;Municipal;171;6.45;152;12.02;120;7.18;;;155;1.09;26.74
"Universidade Brasil";SP;170;Privada;199;1.39;108;19.12;181;1.64;101;1.43;69;2.32;25.9
"Universidade Estadual do Paraná";PR;171;Estadual;108;15.52;187;5.85;165;3.09;171;0.2;166;0.87;25.53
"Universidade Federal de Catalão";GO;172;Federal;146;11.57;165;9.11;181;1.64;165;0.28;41;2.86;25.46
"Universidade Vale do Rio Doce";MG;173;Privada;151;11.32;196;3.72;120;7.18;72;1.91;137;1.27;25.4
"Universidade Ibirapuera";SP;174;Privada;190;2.81;111;18.69;195;0.36;165;0.28;55;2.61;24.75
"Universidade de Vassouras";RJ;175;Privada;135;12.58;193;4.5;137;5.64;159;0.45;129;1.4;24.57
"Universidade de Cuiabá";MT;176;Privada;197;1.69;171;8.16;60;12.64;122;1.01;169;0.84;24.34
"Universidade Municipal de São Caetano do Sul";SP;177;Municipal;141;12.15;185;6.28;165;3.09;89;1.63;157;1.07;24.22
"Universidade do Estado do Amapá";AP;178;Estadual;172;6.19;150;12.19;181;1.64;136;0.84;100;1.83;22.69
"Universidade Católica de Petrópolis";RJ;179;Privada;167;6.86;190;5.51;137;5.64;80;1.79;49;2.7;22.5
"Universidade Estadual do Tocantins";TO;180;Estadual;126;13.15;195;3.86;152;4.27;;;177;0.66;21.94
"Universidade Estadual do Rio Grande do Sul";RS;181;Estadual;162;9.13;166;8.97;181;1.64;;;92;1.96;21.7
"Universidade Santa Úrsula";RJ;182;Privada;140;12.26;184;6.3;181;1.64;;;119;1.48;21.68
"Universidade Salgado de Oliveira";RJ;183;Privada;201;0.79;160;9.57;96;9.36;;;100;1.83;21.55
"Universidade Católica do Salvador";BA;184;Privada;191;2.55;191;5.32;79;10.91;;;95;1.94;20.72
"Universidade Anhanguera";MS;185;Privada;192;2.46;186;6.04;79;10.91;128;0.9;189;0.36;20.67
"Universidade Federal de Rondonópolis";MT;186;Federal;165;7.75;178;7.17;165;3.09;165;0.28;112;1.65;19.94
"Universidade do Planalto Catarinense";SC;187;Privada;200;1.14;175;7.54;96;9.36;101;1.43;193;0.26;19.73
"Universidade Castelo Branco";RJ;188;Privada;157;10.34;200;2.57;137;5.64;;;159;1.05;19.6
"Universidade do Vale do Sapucaí";MG;189;Privada;173;6.04;182;6.63;152;4.27;55;2.39;203;0.01;19.34
"Universidade Nilton Lins";AM;190;Privada;203;0.61;180;7.05;96;9.36;;;151;1.11;18.13
"Universidade Iguaçu";RJ;191;Privada;197;1.69;176;7.39;137;5.64;114;1.14;121;1.47;17.33
"Universidade de Cruz Alta";RS;192;Privada;179;5.48;177;7.25;152;4.27;;;195;0.18;17.18
"Universidade de Itaúna";MG;193;Privada;186;3.57;197;3.37;120;7.18;89;1.63;170;0.83;16.58
"Universidade de Rio Verde";GO;194;Municipal;188;3.25;188;5.62;137;5.64;78;1.82;201;0.06;16.39
"Universidade Estadual de Ciências da Saúde de Alagoas";AL;195;Estadual;175;5.87;161;9.55;;;;;200;0.08;15.5
"Universidade Estadual da Região Tocantina do Maranhão";MA;196;Estadual;176;5.7;189;5.6;181;1.64;;;181;0.5;13.44
"Universidade Alto Vale do Rio do Peixe";SC;197;Privada;181;4.87;201;2.29;181;1.64;70;1.95;74;2.24;12.99
"Universidade do Contestado";SC;198;Privada;196;1.7;192;4.54;137;5.64;;;174;0.75;12.63
"Universidade Estadual de Alagoas";AL;199;Estadual;177;5.65;194;4.05;181;1.64;;;186;0.45;11.79
"Universidade Cândido Mendes";RJ;200;Privada;202;0.76;199;2.58;137;5.64;;;192;0.27;9.25
"Universidade Federal do Norte do Tocantins";TO;201;Federal;193;2.44;198;3.05;;;101;1.43;75;2.19;9.11
"Universidade Estadual de Roraima";RR;202;Estadual;184;4.38;202;2.23;195;0.36;;;119;1.48;8.45
"Universidade do Distrito Federal";DF;203;Estadual;166;7.63;204;0.14;;;;;;;7.77
"Universidade de Gurupi";TO;204;Municipal;204;0.34;203;2.2;181;1.64;;;196;0.17;4.35
