Universidade;Estado;Ranking;"Pública ou Privada";"Posição em Ensino";"Nota em Ensino";"Posição em Pesquisa";"Nota em Pesquisa";"Posição em Mercado";"Nota em Mercado";"Posição em Inovação";"Nota em Inovação";"Posição em Internacionalização";"Nota em Internacionalização";Nota
"Universidade de São Paulo";SP;1;Estadual;3;31.29;1;41.71;1;18;1;3.89;1;3.96;98.85
"Universidade Estadual de Campinas";SP;2;Estadual;1;31.76;2;41.51;7;17.45;7;3.6;3;3.88;98.2
"Universidade Federal do Rio Grande do Sul";RS;3;Federal;2;31.32;3;40.82;13;16.9;9;3.49;5;3.76;96.29
"Universidade Federal do Rio de Janeiro";RJ;4;Federal;6;30.84;8;39.9;4;17.73;2;3.87;5;3.76;96.1
"Universidade Federal de Minas Gerais";MG;5;Federal;12;29.84;4;40.58;2;17.91;5;3.65;12;3.59;95.57
"Universidade Estadual Paulista Júlio de Mesquita Filho";SP;6;Estadual;5;30.85;6;40.26;7;17.45;21;3.17;9;3.65;95.38
"Universidade Federal de Santa Catarina";SC;7;Federal;4;30.99;7;39.99;25;15.81;12;3.38;8;3.68;93.85
"Universidade Federal do Paraná";PR;8;Federal;11;29.97;11;38.41;13;16.9;4;3.66;21;3.38;92.32
"Universidade de Brasília";DF;9;Federal;7;30.81;10;38.52;22;16.08;20;3.2;10;3.61;92.22
"Universidade Federal de Pernambuco";PE;10;Federal;13;29.72;19;36.69;9;17.27;19;3.23;32;3.21;90.12
"Universidade Federal de São Carlos";SP;11;Federal;8;30.53;9;39.15;50;13.52;36;2.87;17;3.46;89.53
"Universidade Federal de São Paulo";SP;12;Federal;9;30.27;5;40.56;87;10.14;30;3;4;3.83;87.8
"Universidade Federal Fluminense";RJ;13;Federal;14;29.59;28;35.14;16;16.63;25;3.1;42;3.05;87.51
"Universidade Federal de Viçosa";MG;14;Federal;10;30.04;12;38.18;65;12.15;3;3.68;38;3.1;87.15
"Universidade Federal do Rio Grande do Norte";RN;15;Federal;21;27.27;13;37.68;28;15.53;34;2.88;16;3.47;86.83
"Universidade Federal da Bahia";BA;16;Federal;29;26.4;22;36.53;9;17.27;16;3.3;33;3.2;86.7
"Universidade Federal do Ceará";CE;17;Federal;27;26.45;18;37.13;16;16.63;29;3.01;18;3.45;86.67
"Universidade Federal de Uberlândia";MG;18;Federal;17;28.7;20;36.65;40;14.44;14;3.35;49;2.93;86.07
"Pontifícia Universidade Católica do Rio Grande do Sul";RS;19;Privada;37;25.21;16;37.18;16;16.63;18;3.26;14;3.55;85.83
"Universidade do Estado do Rio de Janeiro";RJ;20;Estadual;30;26.38;26;35.67;9;17.27;21;3.17;30;3.25;85.74
"Universidade Federal de Goiás";GO;21;Federal;22;27.25;31;34.77;16;16.63;28;3.02;51;2.89;84.56
"Universidade Federal de Santa Maria";RS;22;Federal;16;28.99;14;37.51;65;12.15;47;2.62;38;3.1;84.37
"Universidade Estadual de Maringá";PR;23;Estadual;18;27.81;24;36.18;40;14.44;51;2.58;54;2.83;83.84
"Universidade Federal do Espírito Santo";ES;24;Federal;33;25.61;25;35.81;28;15.53;10;3.46;26;3.29;83.7
"Pontifícia Universidade Católica do Rio de Janeiro";RJ;25;Privada;36;25.21;27;35.37;28;15.53;14;3.35;7;3.69;83.15
"Universidade Estadual de Londrina";PR;26;Estadual;31;26.14;33;33.78;28;15.53;41;2.79;54;2.83;81.07
"Universidade Federal de Juiz de Fora";MG;27;Federal;28;26.45;29;34.84;50;13.52;39;2.84;29;3.26;80.91
"Universidade Federal de Lavras";MG;28;Federal;15;29.02;21;36.56;104;8.59;12;3.38;46;2.97;80.52
"Universidade Federal do Pará";PA;29;Federal;40;24.95;38;33.23;25;15.81;6;3.62;53;2.85;80.46
"Universidade Federal de Sergipe";SE;30;Federal;43;24.56;30;34.83;40;14.44;17;3.27;36;3.14;80.24
