Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
2,Universidade de São Paulo,Brazil,89.2,92.6,100,79.1,68.2,58.3
3,Universidade Estadual de Campinas,Brazil,87.9,91.3,100,74.6,74.6,55.9
4,Universidade Federal de São Paulo,Brazil,85.8,92.1,91.9,88.6,36.9,36.3
6,Universidade Federal de Santa Catarina,Brazil,83.9,88.3,94.7,71.7,98,42
8,Universidade Federal do Rio Grande do Sul,Brazil,83.1,84.8,92.7,85.6,51,35.5
9,Universidade Federal de Minas Gerais,Brazil,83,92.1,87.5,78.4,44.7,44.3
10,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,82.4,81.3,96.1,66.3,100,63.2
11,Universidade Federal do Rio de Janeiro,Brazil,80.7,87.6,97.3,52.1,100,42.1
12,Universidade Estadual Paulista,Brazil,80,90.2,99.5,42.8,60.8,47.8
14,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,79.3,79,86.8,85.1,61.3,36.8
15,Universidade de Brasília,Brazil,75.2,85.5,81.1,55.1,91.5,47.6
17,Universidade Federal de São Carlos,Brazil,74.4,83.2,91,46.6,67.5,34.2
19,Universidade Federal de Viçosa,Brazil,72,85.9,85.4,40.4,71.5,29.3
20,Universidade Federal do Paraná,Brazil,70.7,83.7,85.4,40.7,46.9,29.3
22,Universidade Federal do ABC,Brazil,68.9,61.4,82.5,68.5,41.2,53.4
23,Universidade do Estado do Rio de Janeiro,Brazil,67.5,82,74.6,45.3,51.6,29.8
24,Universidade Federal de Lavras,Brazil,67.4,71.9,83.5,41.3,97.9,32.6
27,Universidade Federal de Santa Maria,Brazil,64.8,75.4,60.1,71.1,39.4,26.2
=28,Universidade Federal do Rio Grande do Norte,Brazil,64.7,74.2,59,71.3,43.7,34.2
32,Universidade Federal da Bahia,Brazil,63.7,72.6,67,57.9,36.5,30.5
33,Universidade Federal do Ceará,Brazil,63.6,72.7,76.3,41.2,48.2,27
37,Universidade Federal de Pernambuco,Brazil,62.2,80.7,65.2,39.7,49.9,24.3
39,Pontifícia Universidade Católica do Paraná,Brazil,61.7,61.8,64.9,70,47.8,28.8
40,Universidade Federal Fluminense,Brazil,61.1,66.5,72.4,44.4,47,33.7
41,Universidade Federal de Goiás,Brazil,60,68.4,65.9,48.1,45.2,30
45,Universidade Estadual de Maringá,Brazil,58.4,67.8,73,32.8,37.5,22
47,Universidade Federal de Uberlândia,Brazil,57.7,64.7,50.5,70.3,48.8,26.1
50,Universidade Estadual de Londrina,Brazil,56.7,61,66.3,41.8,79.4,24.2
52,Universidade Federal de Pelotas,Brazil,55.9,53.6,71.9,47.8,38.8,21.4
54,Universidade Federal do Espírito Santo,Brazil,53.8,61.3,50.3,53.9,63.7,29.8
64,Universidade Federal de Ouro Preto,Brazil,50.3,56.4,56.7,37.6,54.2,25.1
69,Universidade do Vale do Rio dos Sinos,Brazil,48.8,53.1,52.7,39.8,53.6,32.5
=70,Universidade Federal de Sergipe,Brazil,48.6,37.9,38.5,94.5,34.9,28.2
74,Universidade Federal de Juiz de Fora,Brazil,46.9,50.9,47.8,45.8,40.3,28.6
75,Universidade Federal do Pará,Brazil,46.3,55.9,46.1,36.4,46.2,27.9
76,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,45.9,44.3,50.5,49.3,34.9,26.9
78,Universidade Federal da Paraíba,Brazil,45.2,55.8,45,36.1,34.9,23.3
80,Universidade Tecnológica Federal do Paraná,Brazil,44.9,45.6,54.1,35.9,37.5,27.2
83,Universidade do Estado de Santa Catarina,Brazil,44.1,45.5,49.4,42.3,35.8,21
=86,Universidade Federal do Estado do Rio de Janeiro,Brazil,43.4,50.3,45.6,22.2,34.9,59.8
=89,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,42.6,47.5,41.1,33.3,51.9,46.7
92,Universidade Estadual de Ponta Grossa,Brazil,42.2,45.8,39.7,46.6,35.7,26
96,Universidade de Fortaleza,Brazil,41.1,33.1,21.4,91,38.8,36.3
=98,Universidade Federal de Mato Grosso do Sul,Brazil,40.4,38.8,39.8,44.5,62.8,32.5
101–125,Universidade Estadual do Ceará,Brazil,34.2–39.9,45.2,36.9,16.1,41.2,20.8
101–125,Universidade Estadual do Oeste do Paraná,Brazil,34.2–39.9,52.2,33.2,15.1,35.1,21.7
101–125,Universidade Federal de Itajubá,Brazil,34.2–39.9,38.4,34.4,41.4,51.8,38.7
101–125,Universidade Presbiteriana Mackenzie,Brazil,34.2–39.9,44,34.8,31.7,38.6,24.3
101–125,Universidade de Pernambuco,Brazil,34.2–39.9,32.9,32.2,46.2,37.2,24.4
101–125,Pontifícia Universidade Católica de Minas Gerais,Brazil,34.2–39.9,42.5,35.5,21.3,36.5,24.1
101–125,Universidade do Sul de Santa Catarina,Brazil,34.2–39.9,25.6,17.4,89.7,34.9,32.2
101–125,Universidade do Vale do Itajaí,Brazil,34.2–39.9,51.1,27,22.5,35.2,29.3
126–150,Universidade Católica de Brasília,Brazil,28.8–34.1,31.2,25.6,31,34.9,45.3
126–150,Universidade de Caxias do Sul,Brazil,28.8–34.1,31.6,31.4,31.3,37.9,22.2
126–150,Universidade do Estado do Amazonas,Brazil,28.8–34.1,27.3,14.4,66.8,58.2,36.7
126–150,Universidade Federal do Triângulo Mineiro,Brazil,28.8–34.1,27.3,29.7,54.2,34.9,24.1
126–150,Universidade Federal do Maranhão,Brazil,28.8–34.1,34.2,27.9,34,36,24.7
126–150,Universidade Federal do Piauí,Brazil,28.8–34.1,22.7,34,39.7,39.3,25.2
126–150,Universidade Federal Rural de Pernambuco,Brazil,28.8–34.1,36,37.9,25,35.8,23.4
126–150,Universidade de Passo Fundo,Brazil,28.8–34.1,25.5,27.4,56,34.9,25.9
126–150,Universidade Estadual de Santa Cruz,Brazil,28.8–34.1,35.1,21.3,42.8,37.1,39.4
126–150,Universidade do Extremo Sul Catarinense,Brazil,28.8–34.1,35.6,14.9,39.1,36.3,28.8
151+,Universidade Estadual do Maranhão,Brazil,16.1–28.7,26.7,13.3,18.1,34.9,19.7
151+,Universidade Federal do Vale do São Francisco,Brazil,16.1–28.7,23.9,13.7,13.3,34.9,18.7
151+,Universidade Federal Rural do Semi-Árido,Brazil,16.1–28.7,39.8,28.4,7.4,73.1,18.3
151+,Universidade Federal da Integração Latino-Americana,Brazil,16.1–28.7,32.4,19,17.8,34.9,72.4
151+,Universidade Federal dos Vales do Jequitinhonha e Mucuri,Brazil,16.1–28.7,30.5,20.3,20.2,34.9,19.9
151+,Universidade de Franca,Brazil,16.1–28.7,29.9,13.9,15.8,34.9,19.5
151+,Universidade Nove de Julho,Brazil,16.1–28.7,22.7,13,33,40.2,26.9
151+,Universidade do Estado da Bahia,Brazil,16.1–28.7,25.2,11.5,11.4,34.9,20
151+,Centro Universitário Christus,Brazil,16.1–28.7,19.4,13.1,12.2,34.9,18.8
151+,Universidade Vila Velha,Brazil,16.1–28.7,27.5,16.7,46.9,41.1,24.2
