rank,name,Location,Social Impact – Score,Social Impact – Rank,Environmental Impact – Score,Environmental Impact – Rank,Good Governance – Score,Good Governance – Rank,Equality – Score,Equality – Rank,Knowledge Exchange – Score,Knowledge Exchange – Rank,Impact of Education – Score,Impact of Education – Rank,Employability & Opportunities – Score,Employability & Opportunities – Rank,Health & Wellbeing – Score,Health & Wellbeing – Rank,Environmental Sustainability – Score,Environmental Sustainability – Rank,Environmental Education – Score,Environmental Education – Rank,Environmental Research – Score,Environmental Research – Rank,Overall Sustainability Score
70,Universidade de São Paulo,Brazil,88.7,=120,87.9,54,88,=208,81.5,=278,97.7,32,76.1,=351,90.8,134,90.4,=218,74.2,=109,97.3,20,89.2,=203,89.4
=179,Universidade Estadual de Campinas,Brazil,81,=263,74.4,=166,92.6,120,72.3,=464,94.3,=83,69.2,=518,81.1,=280,86.7,=266,64.5,=176,74.6,=206,82.7,=313,80.2
=303,Universidade Federal do Rio de Janeiro,Brazil,78.4,=324,59.8,=400,90.2,148,80.4,=302,95.2,=63,56.9,=835,71.3,=420,81.1,=339,17.5,1001+,76.5,=172,85.3,=260,72
=370,Universidade de Brasília,Brazil,61.9,=667,66.8,=284,91.1,=139,71.3,=495,83.4,=282,36.4,1001+,44.5,1001+,74.9,=509,44.6,=523,87.7,=88,63.4,=897,67.8
=396,Universidade Federal de Santa Catarina,Brazil,62.4,=655,64.8,=314,84.6,=308,66.3,=617,77.7,=439,49.7,1001+,45,1001+,77.1,=416,24.4,1001+,85.7,=102,81.9,=342,66.5
=427,Universidade Federal do Rio Grande do Sul,Brazil,71.5,=446,58,=427,63.3,=762,71.3,=495,93.5,=92,51,1001+,59,686,80.9,=342,26.4,1001+,75.5,=187,70.2,=694,65.2
=465,Universidade Federal de São Paulo,Brazil,65.9,=568,55.1,=487,81.3,=385,74.2,419,76.9,=467,49,1001+,53.4,=833,76.9,=425,28.1,1001+,67,=336,69.4,=721,63.2
=545,UNESP,Brazil,68,=514,52.4,=544,53,914,59.2,=818,88.7,=170,40.8,1001+,68.7,=468,82.5,=323,11,1001+,64.5,=377,82.1,=332,60
=595,Universidade Federal de Santa Maria,Brazil,58.6,=755,50.8,=577,74.7,=549,63.6,=681,70.9,=618,61.7,=704,35,1001+,74.5,=518,34.5,=881,54.8,531,63.4,=897,57.3
=595,Universidade Federal Fluminense,Brazil,59.1,=740,49.5,=609,79,=451,56.2,=956,76.6,=473,58.5,=791,43.5,1001+,69.5,=671,36.4,=824,41.4,=827,74.1,=568,57.3
=699,Universidade Federal de Lavras,Brazil,46.1,1001+,52.4,=544,84.5,=310,51.9,1001+,64.5,796,20.5,1001+,31.2,1001+,75.3,=477,30.6,=985,56,=513,71.4,=656,53.2
=702,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,54.4,=878,56.7,=453,26.9,1001+,41.5,1001+,66.8,=724,55.2,=888,59.3,=677,54.4,1001+,38.1,=748,72.9,=240,55.7,1001+,53.1
=740,Universidade Federal de Viçosa,Brazil,50.1,1001+,47.2,=679,72.7,=596,40.3,1001+,72.8,=562,38.2,1001+,38.4,1001+,79.9,=356,32.6,=933,52.3,=591,56.2,1001+,51.4
=786,Universidade Federal de Minas Gerais,Brazil,61,=693,43.2,=789,29.4,1001+,58.3,=859,75.9,=485,50,1001+,56.2,749,65.9,=748,38.2,=746,30.6,1001+,64.9,=856,50.1
=851,Universidade Federal do Mato Grosso do Sul,Brazil,45.7,1001+,41,=855,85.7,=279,57.2,=903,65,=779,20.6,1001+,26.8,1001+,68.9,=682,43.7,=555,23.7,1001+,59.2,1001+,48
897,Universidade Estadual de Maringá,Brazil,43.3,1001+,41.4,=837,83,=347,46.8,1001+,67.2,=717,23.5,1001+,26.6,1001+,66.7,=729,27,1001+,42.5,=804,55.3,1001+,46.7
901-910,Universidade Federal de Itajubá,Brazil,37.2,1001+,48.1,=648,78.2,471,33.1,1001+,57.2,1001+,23.3,1001+,33.5,1001+,49.6,1001+,26.9,1001+,49.3,=654,70.2,=694,-
981-990,Universidade Federal de Uberlândia,Brazil,53.2,=913,29.3,1001+,73.4,=576,54.7,1001+,68.1,=685,54.3,916,35,1001+,64.1,=826,11.9,1001+,28.1,1001+,50,1001+,-
1021-1040,Universidade Federal da Bahia,Brazil,49.9,1001+,39.8,=899,28.8,1001+,42.7,1001+,73.9,=536,52.3,=971,33.7,1001+,60.6,=951,4.1,1001+,60.3,=439,53.1,1001+,-
1021-1040,Universidade Federal de São Carlos,Brazil,50.9,=989,38.3,=950,31,1001+,36,1001+,71,=613,44.2,1001+,53.9,821,58.6,=1000,9,1001+,46.9,=699,59,1001+,-
1041-1060,Universidade Estadual de Londrina,Brazil,47.6,1001+,32.9,1001+,60.9,=807,62,=718,62.8,=854,33.1,1001+,24.7,1001+,64.5,=807,19.1,1001+,28.8,1001+,53.3,1001+,-
1061-1080,Universidade Federal do Paraná,Brazil,46.4,1001+,40.5,=870,28.7,1001+,32.7,1001+,66.7,=730,43.1,1001+,44.5,1001+,57.6,1001+,4.2,1001+,61.7,=422,53.9,1001+,-
1181-1200,Universidade Federal do Ceará,Brazil,44.3,1001+,35.1,1001+,27,1001+,44.9,1001+,64.1,=810,38.8,1001+,34.9,1001+,44.6,1001+,7.5,1001+,51.9,=603,44.9,1001+,-
1201-1250,Pontifícia Universidade Católica do Paraná,Brazil,45.7,1001+,26.8,1001+,44,1001+,53.2,1001+,46.4,1001+,60.8,=730,26.7,1001+,57,1001+,11.3,1001+,26.8,1001+,43.6,1001+,-
1201-1250,Universidade Federal de Pernambuco,Brazil,44.3,1001+,33.8,1001+,32,1001+,40.8,1001+,64.3,=799,41.1,1001+,35.9,1001+,48.4,1001+,3.7,1001+,46.5,=711,50.6,1001+,-
1201-1250,Universidade Federal do Pará,Brazil,41.9,1001+,36,1001+,26.5,1001+,50.9,1001+,58.5,=996,28.7,1001+,26.3,1001+,52.6,1001+,3.7,1001+,52.3,=591,50.7,1001+,-
1301-1350,Fundação Getulio Vargas,Brazil,49.9,1001+,21.7,1001+,29.5,1001+,42.2,1001+,52.8,1001+,60.7,=732,51.4,=887,51.4,1001+,13.1,1001+,15,1001+,39.6,1001+,-
1301-1350,Pontifícia Universidade Católica de Minas Gerais,Brazil,33.5,1001+,28.6,1001+,67,=691,34.6,1001+,44.8,1001+,35.9,1001+,18.8,1001+,51.2,1001+,19.1,1001+,30.2,1001+,37.2,1001+,-
1351-1400,Universidade do Estado do Rio de Janeiro,Brazil,43.3,1001+,26.4,1001+,28.5,1001+,30.1,1001+,69.3,=658,44.4,1001+,35.1,1001+,52.6,1001+,4.1,1001+,31.5,1001+,44.9,1001+,-
