rank,name,Location,Social Impact – Score,Social Impact – Rank,Environmental Impact – Score,Environmental Impact – Rank,Good Governance – Score,Good Governance – Rank,Equality – Score,Equality – Rank,Knowledge Exchange – Score,Knowledge Exchange – Rank,Impact of Education – Score,Impact of Education – Rank,Employability & Opportunities – Score,Employability & Opportunities – Rank,Health & Wellbeing – Score,Health & Wellbeing – Rank,Environmental Sustainability – Score,Environmental Sustainability – Rank,Environmental Education – Score,Environmental Education – Rank,Environmental Research – Score,Environmental Research – Rank,Overall Sustainability Score
1351-1400,Universidade Federal do Rio Grande do Norte,Brazil,38.2,1001+,30.9,1001+,26.5,1001+,29.2,1001+,64.1,=810,38.5,1001+,25.5,1001+,49,1001+,3.7,1001+,39.8,=863,49.3,1001+,-
1401-1450,Universidade de Fortaleza (UNIFOR),Brazil,38.2,1001+,26.1,1001+,38.5,1001+,53.2,1001+,49.9,1001+,28.4,1001+,20.1,1001+,46,1001+,31.1,=970,18.5,1001+,29.8,1001+,-
1401-1450,Universidade Federal da Paraíba,Brazil,39.1,1001+,25.2,1001+,36.7,1001+,26.1,1001+,63.9,=818,52.3,=971,27.7,1001+,42.6,1001+,3.7,1001+,25.2,1001+,49,1001+,-
1401-1450,Universidade Federal de Goiás,Brazil,39.6,1001+,28.4,1001+,26.8,1001+,30.4,1001+,64.9,=782,35.4,1001+,32.8,1001+,45.2,1001+,4.1,1001+,35,=976,47.2,1001+,-
1401-1450,Universidade Federal do ABC,Brazil,40.3,1001+,25.2,1001+,34.6,1001+,35.7,1001+,51.7,1001+,35,1001+,34.9,1001+,59.2,=983,11.3,1001+,17.3,1001+,51.7,1001+,-
1451-1500,Universidade Federal de Pelotas,Brazil,46.9,1001+,17.4,1001+,30,1001+,49,1001+,59.2,=974,47.4,1001+,30.7,1001+,62.6,=871,3.7,1001+,11,1001+,41.1,1001+,-
1451-1500,Universidade Tecnológica Federal do Paraná,Brazil,39.1,1001+,25.7,1001+,25.3,1001+,28.7,1001+,57.7,1001+,38.5,1001+,36.7,1001+,47,1001+,3.7,1001+,26.7,1001+,48.9,1001+,-
1501+,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,41.7,1001+,21.4,1001+,26.5,1001+,39.8,1001+,49.3,1001+,52.7,=963,35,1001+,42.8,1001+,16.8,1001+,15.6,1001+,34.2,1001+,-
1501+,Universidade Federal de Alagoas,Brazil,36.7,1001+,19.4,1001+,25.5,1001+,36.6,1001+,60.3,=942,31.8,1001+,19.3,1001+,52.6,1001+,3.7,1001+,15,1001+,42.3,1001+,-
1501+,Universidade Federal de Juiz de Fora,Brazil,34.6,1001+,19.6,1001+,25.8,1001+,21.6,1001+,57.4,1001+,46.4,1001+,23.4,1001+,45,1001+,3.7,1001+,21,1001+,35.4,1001+,-
1501+,Universidade Federal de Ouro Preto,Brazil,32.3,1001+,29.7,1001+,26.2,1001+,28.7,1001+,47.1,1001+,22.5,1001+,29.2,1001+,50.2,1001+,3.7,1001+,40.9,=836,44.2,1001+,-
1501+,Universidade Federal do Espírito Santo,Brazil,36.7,1001+,19.6,1001+,26.3,1001+,30.9,1001+,61.5,=897,27.2,1001+,29.4,1001+,46.6,1001+,3.7,1001+,9.6,1001+,50.8,1001+,-
1501+,Universidade Federal do Rio Grande,Brazil,34.2,1001+,26.8,1001+,25.1,1001+,30.8,1001+,56.7,1001+,33.4,1001+,18.3,1001+,50.8,1001+,3.7,1001+,29.4,1001+,49.2,1001+,-
