rank,name,Location,Social Impact – Score,Social Impact – Rank,Environmental Impact – Score,Environmental Impact – Rank,Good Governance – Score,Good Governance – Rank,Equality – Score,Equality – Rank,Knowledge Exchange – Score,Knowledge Exchange – Rank,Impact of Education – Score,Impact of Education – Rank,Employability & Opportunities – Score,Employability & Opportunities – Rank,Health & Wellbeing – Score,Health & Wellbeing – Rank,Environmental Sustainability – Score,Environmental Sustainability – Rank,Environmental Education – Score,Environmental Education – Rank,Environmental Research – Score,Environmental Research – Rank,Overall Sustainability Score
=90,Universidade de São Paulo,Brazil,89.8,=151,87.7,=75,99.8,=3,85.4,=294,98.3,=39,79.2,=348,92.2,=182,92.1,=263,72.4,154,98.8,=17,89.6,280,90.7
=208,Universidade Estadual de Campinas,Brazil,84.1,=294,78.1,=194,94.1,=137,76,=511,96.8,=85,72.1,=550,86.6,294,88.5,=337,73,=147,75.3,=280,86.2,=343,83
=277,Universidade Federal do Rio de Janeiro,Brazil,82.7,=329,70.1,=317,94,=141,84.4,=310,96.8,=85,59.4,=1045,79,=430,88.9,=330,25,1251+,95.9,46,87.2,=328,78.7
=316,Universidade Federal de Minas Gerais,Brazil,77.2,=439,71.6,=289,94,=141,83.3,=339,95.5,=119,51,1251+,64.1,805,88.3,=343,62.1,=256,70.4,=427,82.8,=430,76.9
=455,Universidade de Brasília,Brazil,66.3,=748,68.9,=344,92.7,=172,75.9,=519,83.8,=426,42.3,1251+,51.2,1251+,78.6,=541,42.6,=787,89.2,108,71.6,901,70.6
=467,Universidade Federal de Santa Catarina,Brazil,67.7,=699,67.4,=382,89.8,=243,70.9,=669,85,=389,51.4,1251+,53.6,=1204,82.5,=452,30.5,=1218,86.1,=144,84.3,=389,70.3
=542,Universidade Federal de São Paulo,Brazil,70.5,=611,56.9,=653,94.3,=132,79,=433,83.5,=443,53.2,1251+,57.7,=1044,78,=559,29.7,=1243,69,=451,71.3,=912,67.2
=548,Universidade Federal do Rio Grande do Sul,Brazil,75.3,=481,55.8,=686,74.2,=745,76.4,506,97.6,=66,53.9,1251+,62.7,=845,84.1,=426,27,1251+,66,=530,74.5,=772,66.9
=548,Universidade Federal Fluminense,Brazil,66.5,=737,60.7,=544,92,=183,72.5,=610,85.1,=385,61.1,=970,45.2,1251+,72.8,=798,50.5,=502,57.4,=742,75.6,=709,66.9
=709,Universidade Federal de São Carlos,Brazil,64.2,=819,51.7,=808,87.9,=333,65.5,=863,76.6,=643,43.1,1251+,59.5,=962,79.4,=517,13.9,1251+,66.9,=502,74.7,=765,61.4
=741,UNESP,Brazil,72.3,=560,49.3,=901,52.9,=1167,63.2,=940,92.8,=174,40,1251+,78,=454,85.9,=388,9.5,1251+,56.1,=783,85.9,=352,60.4
=768,Universidade Federal do Paraná,Brazil,58.7,=1020,58.2,=619,65.4,=938,51.4,1251+,79.6,=551,45.4,1251+,50,1251+,76.4,=620,13.3,1251+,85,154,74.2,=784,59.5
=774,Universidade Federal de Viçosa,Brazil,58.5,=1033,54.9,=708,79,=602,53.2,1251+,83.4,=446,38.3,1251+,46.4,1251+,81.9,=462,25.3,1251+,64.8,=562,75.5,=712,59.3
=784,Universidade Federal de Pernambuco,Brazil,59.4,=996,51.1,=837,89.4,=260,63.2,=940,75.6,673,46.1,1251+,43.4,1251+,75.4,=675,20.8,1251+,64.3,=572,68.2,=1065,59
=844,Universidade Federal de Santa Maria,Brazil,60.1,=958,49.9,=881,75.3,=710,64.1,=909,74.1,=720,62.1,=925,38.3,1251+,74.2,=736,30.7,=1210,53.8,=858,67.2,=1112,57.3
=890,Universidade Federal de Lavras,Brazil,52.5,1251+,52.4,=778,84.2,=440,62.6,=967,68.3,=927,20.5,1251+,38,1251+,81.9,=462,32.9,=1138,53.5,=868,73,=841,55.9
=910,Universidade Federal de Uberlândia,Brazil,58.7,=1020,44.1,=1082,86.5,=375,64.5,=903,71.8,=789,54.3,1251+,40.9,1251+,69.4,=943,31,=1192,48.1,=1039,53.2,1251+,55.2
