rank,name,Location,Social Impact – Score,Social Impact – Rank,Environmental Impact – Score,Environmental Impact – Rank,Good Governance – Score,Good Governance – Rank,Equality – Score,Equality – Rank,Knowledge Exchange – Score,Knowledge Exchange – Rank,Impact of Education – Score,Impact of Education – Rank,Employability & Opportunities – Score,Employability & Opportunities – Rank,Health & Wellbeing – Score,Health & Wellbeing – Rank,Environmental Sustainability – Score,Environmental Sustainability – Rank,Environmental Education – Score,Environmental Education – Rank,Environmental Research – Score,Environmental Research – Rank,Overall Sustainability Score
=951,Universidade Federal do Rio Grande do Norte,Brazil,53.2,1251+,46.6,=991,86.9,=367,49.6,1251+,77.1,=628,44.1,1251+,34,1251+,75.8,=656,32,=1162,40.1,1251+,71.2,=919,53.9
1021-1030,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,59.2,=1003,49.3,=901,26.6,1251+,51.7,1251+,65.8,=1022,59.5,=1039,66.7,=733,52.6,1251+,32.6,=1146,57.5,=738,57.2,1251+,
1021-1030,Universidade Federal de Itajubá,Brazil,45.5,1251+,51.5,=818,77.6,=635,41.5,1251+,64.5,=1083,26.7,1251+,42.9,1251+,58.9,1251+,24,1251+,57.4,=742,74.5,=772,
1071-1080,Universidade Estadual de Maringá,Brazil,48.1,1251+,44.8,=1052,83.6,=459,54.2,1251+,71.2,=810,25.7,1251+,29.2,1251+,69.4,=943,24.1,1251+,52.8,=898,58,1251+,
1101-1150,Universidade Federal do Mato Grosso do Sul,Brazil,49.7,1251+,42.3,=1158,78.2,=623,61.1,=1019,70.3,=847,22,1251+,29.7,1251+,74,=742,44.7,=704,22.4,1251+,65.5,=1205,
1101-1150,Pontifícia Universidade Católica do Paraná,Brazil,52.7,1251+,35.6,1251+,86.5,=375,56.1,1249,58.8,1251+,61.6,=951,32.5,1251+,72,=825,23.8,1251+,31.8,1251+,53.6,1251+,
1151-1200,Universidade Estadual de Londrina,Brazil,51.8,1251+,35.4,1251+,84.5,=435,64.1,=909,66.9,=987,32.7,1251+,33.6,1251+,65.9,=1091,23.9,1251+,27.7,1251+,58.4,1251+,
1201-1250,Universidade Federal da Bahia,Brazil,55.7,=1155,41.2,=1195,30.8,1251+,51.6,1251+,73.9,=725,53.2,1251+,44.2,1251+,63.7,=1222,2.4,1251+,63.5,=587,55.8,1251+,
1251-1300,Universidade Federal do ABC,Brazil,46.9,1251+,37,1251+,73.6,=757,39.1,1251+,69.4,=888,36.3,1251+,39.8,1251+,61.7,1251+,24.7,1251+,27.7,1251+,63.1,1251+,
1301-1400,Fundação Getulio Vargas,Brazil,57.3,=1083,32.3,1251+,32.1,1251+,47.2,1251+,58.9,1251+,60.4,=1004,63.5,=818,66.3,=1061,9.9,1251+,37.6,1251+,50.8,1251+,
1401-1500,Universidade Federal do Pará,Brazil,45.1,1251+,41.2,=1195,26.9,1251+,52.9,1251+,61.7,=1209,28.9,1251+,29.9,1251+,60.3,1251+,2.4,1251+,63.2,=595,56.6,1251+,
1501+,Universidade Tecnológica Federal do Paraná,Brazil,44.4,1251+,27.8,1251+,26.5,1251+,37.9,1251+,63.2,=1151,36.3,1251+,42.4,1251+,49.8,1251+,3.8,1251+,31.2,1251+,50.9,1251+,
1501+,Pontifícia Universidade Católica de Minas Gerais,Brazil,39.1,1251+,34.3,1251+,77.5,=640,42.5,1251+,50,1251+,34.1,1251+,23,1251+,64.7,=1163,23.9,1251+,37.2,1251+,42.2,1251+,
1501+,Universidade de Fortaleza (UNIFOR),Brazil,41.6,1251+,29.2,1251+,54,=1153,56.6,=1210,51.5,1251+,38.1,1251+,20.7,1251+,46.6,1251+,30.9,=1199,24.3,1251+,33.8,1251+,
1501+,Universidade do Estado do Rio de Janeiro,Brazil,46.5,1251+,34.3,1251+,28.5,1251+,35.3,1251+,69.3,=892,47.4,1251+,37.8,1251+,55.2,1251+,2.4,1251+,52.1,=919,46.8,1251+,
1501+,Universidade Federal da Paraíba,Brazil,43.5,1251+,24.7,1251+,38.5,1251+,30.4,1251+,65.4,=1041,49.7,1251+,36.7,1251+,50.6,1251+,2,1251+,23.3,1251+,52.4,1251+,
1501+,Universidade Federal de Goiás,Brazil,44.4,1251+,29.4,1251+,28.3,1251+,33.3,1251+,71.1,=813,35.8,1251+,37.3,1251+,56,1251+,5.4,1251+,33.8,1251+,51.2,1251+,
1501+,Universidade Federal de Ouro Preto,Brazil,38.8,1251+,32.3,1251+,24.9,1251+,37.9,1251+,55.8,1251+,20.4,1251+,34,1251+,57.9,1251+,2,1251+,45.5,=1135,49.8,1251+,
1501+,Universidade Federal de Pelotas,Brazil,52.9,1251+,23.1,1251+,29.8,1251+,52.4,1251+,67.3,=975,52.6,1251+,38.2,1251+,66.1,=1075,2,1251+,25.1,1251+,44.3,1251+,
1501+,Universidade Federal do Ceará,Brazil,48.1,1251+,33.4,1251+,27.3,1251+,49,1251+,64.3,=1090,37.1,1251+,42,1251+,51.6,1251+,5.7,1251+,42.8,=1229,52,1251+,
